,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,763760.000,980884.000,1723458.000,1788465.000
AccountsReceivableNet,95354.000,143135.000,157607.000,93136.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1899658.000,1448248.000,718463.000,672800.000
AdditionalPaidInCapital,32908888.000,32908888.000,33881863.000,33881863.000
Assets,61404457.000,60567624.000,61648625.000,61169046.000
AvailableForSaleSecurities,4347513.000,3896103.000,1473950.000,1428287.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,1905149.000,1453783.000,718463.000,672800.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,5491.000,5535.000,,
AvailableForSaleSecuritiesAmortizedCost,2447855.000,2447855.000,755487.000,755487.000
BusinessCombinationContingentConsiderationLiability,,,900000.000,
CashAndCashEquivalentsAtCarryingValue,21606751.000,6997216.000,2911640.000,2902048.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,19900000.000,19900000.000,19900000.000,19900000.000
CommonStockSharesIssued,7416766.000,7416766.000,7619469.000,7619469.000
CommonStockSharesOutstanding,7416766.000,7416766.000,7619469.000,7619469.000
CommonStockValue,74168.000,74168.000,76195.000,76195.000
DebtInstrumentCarryingAmount,20000000.000,20000000.000,20000000.000,20000000.000
DebtInstrumentCollateralAmount,35000000.000,34300000.000,36300000.000,34300000.000
DevelopmentInProcess,1286194.000,2458737.000,,
FairValueAssetsLevel1ToLevel2TransfersAmount,0.000,0.000,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,,0.000,0.000,0.000
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,0.000,0.000,0.000
Goodwill,,,694121.000,694121.000
IntangibleAssetsNetIncludingGoodwill,,248307.000,317140.000,218590.000
Land,3464406.000,4764406.000,5493814.000,5493814.000
Liabilities,20031209.000,20345247.000,21098429.000,21174045.000
LiabilitiesAndStockholdersEquity,61404457.000,60567624.000,61648625.000,61169046.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,18763612.000,18763612.000,18291759.000,18291759.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,494518.000,494518.000,513857.000,513857.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,474251.000,474251.000,492797.000,492797.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,267619.000,267619.000,472600.000,472600.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,228987.000,228987.000
NotesPayable,19267449.000,19364363.000,19374971.000,19385580.000
OperatingLeasesFutureMinimumPaymentsDue,15035.000,15035.000,45684.000,45684.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,15288.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,15288.000,15288.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,1157.000,1157.000,15288.000,15288.000
OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,13878.000,13878.000,,15288.000
PrepaidExpenseAndOtherAssets,192599.000,246630.000,265045.000,235340.000
RealEstateAccumulatedDepreciation,,,872987.000,
RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,,,50831333.000,
RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,,,5493814.000,
RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionCarryingCosts,,,2590647.000,
RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,,,49129195.000,
RealEstateAndAccumulatedDepreciationInitialCostOfLand,,,5493814.000,
RealEstateGrossAtCarryingValue,,,56325147.000,
RealEstateInvestmentPropertyAccumulatedDepreciation,358975.000,583785.000,875447.000,1226131.000
RealEstateInvestmentPropertyAtCost,30770615.000,42310207.000,51156701.000,51278591.000
RealEstateInvestmentPropertyNet,35162240.000,48949565.000,55775068.000,55546274.000
RestrictedCashAndCashEquivalents,,86668.000,54054.000,51250.000
RetainedEarningsAccumulatedDeficit,6490534.000,5791073.000,5873675.000,5364143.000
StockholdersEquity,41373248.000,40222377.000,40550196.000,39995001.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,41373248.000,40222377.000,40550196.000,39995001.000
UnamortizedDebtIssuanceExpense,732551.000,635637.000,625029.000,614420.000
UnrecognizedTaxBenefits,0.000,0.000,0.000,0.000
