,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableCurrent,3481000.000,2665000.000,16408000.000,6337000.000,8228000.000,6212000.000,12033000.000,6561000.000,9610000.000,10623000.000,13320000.000,23668000.000,16953000.000,19605000.000,18975000.000,17135000.000,28374000.000,26824000.000,28182000.000
AccountsReceivableNetCurrent,61099000.000,67437000.000,60345000.000,66972000.000,86961000.000,92184000.000,99136000.000,100534000.000,118943000.000,188357000.000,128493000.000,156282000.000,170851000.000,293407000.000,193100000.000,248658000.000,268945000.000,383908000.000,297894000.000
AccruedLiabilitiesAndOtherLiabilities,14925000.000,13558000.000,13915000.000,14619000.000,17890000.000,17999000.000,30098000.000,30180000.000,34508000.000,24132000.000,31336000.000,31706000.000,45995000.000,43122000.000,66372000.000,58880000.000,66075000.000,61582000.000,71161000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,29656000.000,34755000.000,40426000.000,47396000.000,55236000.000,60782000.000,63869000.000,74458000.000,86650000.000,94123000.000,108851000.000,124537000.000,133817000.000,150403000.000,169093000.000,187450000.000,206209000.000,230761000.000,248724000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,32000.000,68000.000,65000.000,111000.000,184000.000,269000.000,481000.000,-37000.000,64000.000,-140000.000,-279000.000,320000.000,-54000.000,799000.000,-9032000.000,-2588000.000,2622000.000,2071000.000,-190000.000
AdditionalPaidInCapital,986245000.000,993933000.000,1006446000.000,1109332000.000,1131453000.000,1761156000.000,1788551000.000,1841688000.000,1891872000.000,1948300000.000,2000047000.000,2084815000.000,2156551000.000,2247454000.000,2329904000.000,2444172000.000,2549639000.000,2681200000.000,2791520000.000
AllowanceForDoubtfulAccountsReceivableCurrent,778000.000,613000.000,,,,783000.000,,,,1262000.000,,,,1592000.000,,,,2102000.000,
Assets,950148000.000,959080000.000,981255000.000,1505973000.000,1528185000.000,2176265000.000,2206690000.000,2194898000.000,2232318000.000,2358633000.000,2382561000.000,2443884000.000,2511153000.000,2730094000.000,2776153000.000,2829804000.000,2922569000.000,3166424000.000,3308741000.000
AssetsCurrent,881654000.000,884302000.000,893684000.000,1395395000.000,1405602000.000,2023658000.000,2013893000.000,1980810000.000,2009746000.000,2109039000.000,2120993000.000,2140528000.000,2157075000.000,2362308000.000,2372131000.000,2430090000.000,2294595000.000,2496526000.000,2533820000.000
AvailableForSaleSecurities,,,,1255514000.000,1236545000.000,1827175000.000,1808835000.000,1764269000.000,1765614000.000,1816637000.000,1817389000.000,1817594000.000,1817670000.000,1818333000.000,1900708000.000,1904802000.000,1775959000.000,1737985000.000,2015706000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,317000.000,404000.000,540000.000,422000.000,289000.000,198000.000,233000.000,687000.000,1035000.000,640000.000,269000.000,42000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,316000.000,101000.000,30000.000,57000.000,116000.000,262000.000,565000.000,128000.000,68000.000,323000.000,989000.000,1537000.000
AvailableForSaleSecuritiesAmortizedCost,786186000.000,769656000.000,769982000.000,1255327000.000,1236317000.000,1826844000.000,1808331000.000,1764268000.000,1765311000.000,1816127000.000,1817024000.000,1817421000.000,1817734000.000,1818665000.000,1900149000.000,1903835000.000,1775642000.000,1738705000.000,2017201000.000
AvailableForSaleSecuritiesFairValueDisclosure,,,770123000.000,,,,,,,,,,,,,,,,
