,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilities,,,109500.000,85605.000,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,4375.000,,,,,224822.000,322290.000,313209.000,353420.000,433127.000,488362.000,544940.000,600757.000
AccountsReceivableNetCurrent,,,,,,307.000,,0.000,,,,380.000,304.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,-9184.000,-10177.000,-11170.000,-14747.000,-16247.000,-19380.000,-20863.000,-22347.000
AdditionalPaidInCapital,,109014.000,574080.000,576020.000,,505220.000,505220.000,505220.000,1217544.000,1558250.000,1419828.000,1712283.000,1734697.000
Assets,30326.000,198551.000,433047.000,339002.000,,211763.000,196948.000,200430.000,289972.000,344267.000,230081.000,260464.000,134433.000
AssetsCurrent,10680.000,179328.000,414592.000,321590.000,,197272.000,183477.000,187979.000,269362.000,308667.000,180453.000,212881.000,88897.000
CashAndCashEquivalentsAtCarryingValue,1180.000,174363.000,217065.000,123219.000,,12734.000,1298.000,4580.000,172634.000,187880.000,44186.000,22798.000,877.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,300000000.000,300000000.000,300000000.000,300000000.000,,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,3100000.000,116454000.000,117248000.000,117248000.000,,117248000.000,117248000.000,117248000.000,118581149.000,50118493.000,50473563.000,50813093.000,50896385.000
CommonStockSharesOutstanding,,3100000.000,117248000.000,117248000.000,,117248000.000,117248000.000,117248000.000,118581149.000,50118493.000,50473563.000,50813093.000,50896385.000
CommonStockSharesSubscriptions,,,,,,,,,0.000,,,,
CommonStockValue,3100.000,116454.000,117248.000,117248.000,,117248.000,117248.000,117248.000,118582.000,50118.000,50473.000,50813.000,50896.000
ConvertibleDebt,,,31140.000,48791.000,,90366.000,118769.000,150027.000,0.000,0.000,4348.000,93343.000,189313.000
ConvertibleDebtNoncurrent,,,,,,,,,,,,,5274.000
DebtInstrumentUnamortizedDiscount,,,,,,109634.000,126231.000,168973.000,0.000,0.000,95652.000,241656.000,135687.000
DepositAssets,,,,,,60000.000,60000.000,60000.000,7000.000,10537.000,7000.000,7000.000,7000.000
Deposits,,100000.000,,,,,,,,,,,
DerivativeLiabilitiesCurrent,,,,,,301000.000,321540.000,440494.000,668355.000,148285.000,240853.000,442118.000,467865.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,-462611.000,-652404.000,,,,,,,,,
DueToAffiliateCurrent,,,,,,150000.000,144000.000,163000.000,336000.000,336000.000,,284133.000,276156.000
DueToRelatedPartiesCurrent,202576.000,,,,,88880.000,77401.000,77401.000,77401.000,77401.000,,77401.000,77401.000
FurnitureAndFixturesGross,,,,,,14073.000,14073.000,14073.000,14073.000,30590.000,14073.000,13000.000,13000.000
IntangibleAssetsNetExcludingGoodwill,,,,,,2022.000,1995.000,1968.000,1886.000,1859.000,15296.000,14734.000,14171.000
InterestPayableCurrent,,,,,,,,,,,,27683.000,23845.000
InventoryFinishedGoods,,,,,,122269.000,120270.000,121490.000,87819.000,97847.000,21545.000,23761.000,14922.000
InventoryGross,9500.000,,,,,,,,,,,,
InventoryNet,,,191411.000,191151.000,,122269.000,120270.000,121490.000,87819.000,97847.000,21545.000,23761.000,34826.000
InventoryRawMaterials,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
InventoryValuationReserves,,,,,,,,,,,0.000,0.000,0.000
InventoryWorkInProcess,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19904.000
Liabilities,206951.000,228367.000,204330.000,298138.000,,867092.000,991405.000,1149290.000,1435116.000,1041970.000,1162361.000,1527950.000,1706935.000
LiabilitiesAndStockholdersEquity,30326.000,198551.000,433047.000,339002.000,,211763.000,196948.000,200430.000,289972.000,344267.000,230081.000,260464.000,134433.000
LiabilitiesCurrent,,,173190.000,249347.000,,867092.000,991405.000,1149290.000,1435116.000,1041970.000,1162361.000,1527950.000,1701661.000
LiabilitiesNoncurrent,,,,,,,,,,,,,5274.000
LineOfCredit,,,,,,,,,,,,,10000.000
MachineryAndEquipmentGross,,,,,,3418.000,3418.000,3418.000,13418.000,13418.000,29935.000,33192.000,33192.000
NotesPayableCurrent,,,,,,,,,,15000.000,,,
OtherAssetsCurrent,,4965.000,6116.000,7220.000,,1962.000,1909.000,1909.000,1909.000,12403.000,107722.000,158942.000,45890.000
OtherLiabilitiesCurrent,,430.000,301.000,172.000,,12000.000,2000.000,,,,2130.000,6348.000,502.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,,,,,,,,,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PropertyPlantAndEquipmentNet,19646.000,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,-179725.000,,,,,-1277797.000,-1416925.000,-1571328.000,-2481270.000,-2306071.000,-2402581.000,-3030582.000,-3358095.000
SecurityDeposit,,,,,,,,,,,3724.000,3724.000,3724.000
SharesIssued,,-29816.000,,,,,,,,,,,
ShortTermNonBankLoansAndNotesPayable,,,,,,,5000.000,5000.000,,,,,
StockholdersEquity,-176625.000,,,,,-655329.000,-794457.000,-948860.000,-1145144.000,-697703.000,-932280.000,-1267486.000,-1572502.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-176625.000,-29816.000,228717.000,40864.000,,-655329.000,-794457.000,-948860.000,-1145144.000,-697703.000,-932280.000,-1267486.000,-1572502.000
