,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,4000000.000,4878000.000,4031000.000,4906000.000,4178000.000,5356000.000,5599000.000,6444000.000,4584000.000
AccountsPayableCurrent,,,,1252000.000,,,,469000.000,
AccountsReceivableNetCurrent,,,,,,,,5003000.000,
AccruedLiabilitiesCurrent,,,,700000.000,,,,700000.000,
AccruedSalariesCurrent,,,,947000.000,,,,1024000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,478000.000,,,,605000.000,
AdditionalPaidInCapitalCommonStock,1780000.000,89337000.000,89873000.000,94702000.000,96275000.000,98322000.000,101601000.000,102643000.000,103732000.000
Assets,14118000.000,66539000.000,61416000.000,55723000.000,111939000.000,104634000.000,94544000.000,84887000.000,75641000.000
AssetsCurrent,10322000.000,64830000.000,59616000.000,54078000.000,111387000.000,84568000.000,65261000.000,74357000.000,63018000.000
AssetsFairValueDisclosureRecurring,,,,19002000.000,33668000.000,73984000.000,70034000.000,59203000.000,58405000.000
CapitalLeaseObligationsCurrent,32000.000,32000.000,32000.000,26000.000,18000.000,103000.000,105000.000,157000.000,162000.000
CapitalLeaseObligationsNoncurrent,18000.000,11000.000,3000.000,,,,,,
CapitalLeasedAssetsGross,,,,94000.000,,,,867000.000,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,72000.000,,,,836000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,27000.000,,,,965000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,27000.000,,,,214000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,0.000,,,,127000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,0.000,,,,208000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,0.000,,,,208000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,0.000,,,,208000.000,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,0.000,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,1000.000,,,,152000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,26000.000,,,,813000.000,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,22000.000,,,,31000.000,
CashAndCashEquivalentsAtCarryingValue,10269000.000,64223000.000,59009000.000,32318000.000,77333000.000,27510000.000,20846000.000,16762000.000,12880000.000
ClassOfWarrantOrRightOutstanding,15499324.000,,,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,11256668.000,7347857.000,7392574.000,7124961.000,12780729.000,12585586.000,12247951.000,12114618.000,12699698.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,143200000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,2391202.000,14228401.000,14241562.000,14490954.000,14498930.000,14646982.000,14646982.000,14646982.000,14646982.000
CommonStockSharesOutstanding,2391202.000,14228401.000,14241562.000,14490954.000,14498930.000,14646982.000,14646982.000,14646982.000,14646982.000
CommonStockValue,2000.000,3000.000,3000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
ConvertibleLongTermNotesPayable,7393000.000,7550000.000,7708000.000,7865000.000,90086000.000,90389000.000,90779000.000,91170000.000,91560000.000
ConvertibleNotesPayableCurrent,,,1097000.000,1369000.000,1649000.000,1932000.000,,,
DeferredIncomeTaxLiabilities,,,,80000.000,,,,,
DeferredOfferingCosts,,,,,,,320000.000,,
DeferredTaxAssetsGross,,,,29103000.000,,,,48865000.000,
DeferredTaxAssetsLiabilitiesNet,,,,0.000,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,26617000.000,,,,44984000.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,2254000.000,,,,3166000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,232000.000,,,,715000.000,
DeferredTaxAssetsValuationAllowance,,,,29023000.000,,,,48776000.000,
DeferredTaxLiabilitiesOther,,,,,,,,89000.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,80000.000,,,,89000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,10600000.000,
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,41097000.000,37839000.000,27479000.000,6043000.000,7342000.000,4618000.000,11834000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisWithUnobservableInputs,17728000.000,39279000.000,,,,,,,
InterestPayableCurrent,,,,698000.000,,,,2222000.000,
Liabilities,40260000.000,63076000.000,67162000.000,65844000.000,123421000.000,104301000.000,104346000.000,103583000.000,109570000.000
LiabilitiesAndStockholdersEquity,14118000.000,66539000.000,61416000.000,55723000.000,111939000.000,104634000.000,94544000.000,84887000.000,75641000.000
LiabilitiesCurrent,4032000.000,4910000.000,6792000.000,8342000.000,5845000.000,7391000.000,5704000.000,6642000.000,4808000.000
LiabilitiesFairValueDisclosureRecurring,,,41097000.000,37839000.000,27479000.000,6043000.000,7342000.000,4618000.000,11834000.000
LineOfCredit,50000.000,50000.000,50000.000,,,,,,
LongTermInvestments,,,,,,18850000.000,27355000.000,8200000.000,10162000.000
LossContingencyAccrualAtCarryingValue,,,,,,,,0.000,
MarketableSecuritiesCurrent,,,,19002000.000,33668000.000,55134000.000,42679000.000,51003000.000,48243000.000
MediumtermNotesCurrent,,,1632000.000,2041000.000,,,,,
MediumtermNotesNoncurrent,11089000.000,11326000.000,11562000.000,11798000.000,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,7691000.000,,,,4493000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,440000.000,,,,555000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,428000.000,,,,449000.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,485000.000,,,,499000.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,497000.000,,,,569000.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,487000.000,,,,585000.000,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,5354000.000,,,,1836000.000,
OperatingLossCarryforwards,,,,62405000.000,,,,103364000.000,
OtherAccruedLiabilitiesCurrent,,,,1309000.000,,,,1383000.000,
OtherAssetsNoncurrent,2058000.000,56000.000,199000.000,109000.000,109000.000,111000.000,472000.000,360000.000,260000.000
OtherLiabilitiesCurrent,,,,,,,,41000.000,62000.000
OtherLiabilitiesNoncurrent,,,,,11000.000,478000.000,521000.000,1153000.000,1368000.000
OtherReceivablesNetCurrent,,,,2375000.000,,,,58000.000,
PreferredStockParOrStatedValuePerShare,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,,,,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,53000.000,607000.000,607000.000,2758000.000,386000.000,824000.000,636000.000,489000.000,795000.000
PrepaidInsurance,,,,290000.000,,,,333000.000,
PropertyPlantAndEquipmentGross,,,,881000.000,,,,2575000.000,
PropertyPlantAndEquipmentNet,354000.000,352000.000,386000.000,403000.000,443000.000,1105000.000,1456000.000,1970000.000,2201000.000
RedeemableNoncontrollingInterestEquityPreferredCarryingAmount,28210000.000,,,,,,,,
RestrictedCashAndCashEquivalentsAtCarryingValue,,,,,,1100000.000,1100000.000,1100000.000,1100000.000
RestructuringReserveCurrent,,,,,,,,646000.000,
RetainedEarningsAccumulatedDeficit,-56134000.000,-85877000.000,-95622000.000,-104824000.000,-107758000.000,-97990000.000,-111404000.000,-121340000.000,-137662000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,384087.000,,,,637492.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,6.710,,,,10.770,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,9204403.000,,,,26400.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,1397511.000,,,,1990260.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,13.280,,,,13.640,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,,,8614743.000,,,,26400.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,,,,1254325.000,,,,1978260.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,,,,13.000,,,,13.620,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,5057062.000,,,,26400.000,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,,,,1013424.000,,,,1352768.000,
StockRepurchaseProgramAuthorizedAmount1,100000.000,,,,,,,,
StockholdersEquity,-54352000.000,3463000.000,-5746000.000,-10121000.000,-11482000.000,333000.000,-9802000.000,-18696000.000,-33929000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-26142000.000,3463000.000,-5746000.000,-10121000.000,-11482000.000,333000.000,-9802000.000,-18696000.000,-33929000.000
TemporaryEquityLiquidationPreference,374596.000,,,,,,,,
TemporaryEquitySharesAuthorized,112683000.000,10000000.000,,,,,,,
TemporaryEquitySharesIssued,3200000.000,,,,,,,,
TemporaryEquitySharesOutstanding,44940253.000,0.000,,,,,,,
TradingSecurities,,,,,,,,50400000.000,
UnamortizedDebtIssuanceExpense,1384000.000,1301000.000,1215000.000,1133000.000,4200000.000,4000000.000,,,
UnrecognizedTaxBenefits,,,0.000,0.000,,,,0.000,
