,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,2466000.000,1153000.000,1912000.000,1231000.000,1325000.000,675000.000,897000.000,1476000.000,1303000.000,1164000.000,2222000.000,2906000.000,1661000.000,1159000.000,870000.000,1141000.000,1036000.000,1990000.000,2523000.000,2053000.000,2021000.000
AccountsReceivableNetCurrent,21598000.000,20117000.000,21359000.000,22962000.000,23818000.000,22790000.000,22675000.000,24140000.000,24362000.000,27103000.000,24322000.000,23704000.000,21889000.000,19942000.000,17618000.000,15807000.000,15016000.000,17209000.000,17240000.000,15434000.000,13959000.000
AccruedBonusesCurrent,,11158000.000,8071000.000,,,,,,,,,,,,,,,,,,
AccruedProfessionalFeesCurrent,,1085000.000,1140000.000,1080000.000,,,,,,,,,,,,,,,,,
AccruedSalesCommissionCurrent,,6277000.000,6483000.000,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,4518000.000,,,,5897000.000,,,,7439000.000,,,,8671000.000,,11400000.000,11600000.000,11630000.000,11900000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,12000.000,1000.000,1000.000,0.000,0.000,0.000,0.000,-1000.000,0.000,0.000,0.000,0.000,-1000.000,-1000.000,-2000.000,-3000.000,0.000,3000.000,4000.000,-13000.000,-19000.000
AdditionalPaidInCapitalCommonStock,188645000.000,191966000.000,194354000.000,198117000.000,201137000.000,203704000.000,206323000.000,208988000.000,208297000.000,209912000.000,213070000.000,209284000.000,204975000.000,205271000.000,205479000.000,205760000.000,205974000.000,203809000.000,203885000.000,200158000.000,198435000.000
Assets,186848000.000,195933000.000,203271000.000,218180000.000,240081000.000,232135000.000,240251000.000,252604000.000,245575000.000,247039000.000,251286000.000,257473000.000,209285000.000,218790000.000,210628000.000,230796000.000,227535000.000,231316000.000,234566000.000,220599000.000,223056000.000
AssetsCurrent,129024000.000,139085000.000,149578000.000,165149000.000,187090000.000,179004000.000,188134000.000,201016000.000,197106000.000,195331000.000,199179000.000,205902000.000,158634000.000,169112000.000,159205000.000,176548000.000,174566000.000,165511000.000,169754000.000,165367000.000,169120000.000
AssetsFairValueDisclosure,,7931000.000,12630000.000,,,,,,,,,,,,,,,,,,
AssetsNoncurrent,57824000.000,56848000.000,53693000.000,53031000.000,52991000.000,53131000.000,52117000.000,,,,,,,,,,,,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,606000.000,606000.000,607000.000,607000.000,607000.000,607000.000,607000.000,605000.000,605000.000,,,,,,,,,,,
AvailableForSaleSecurities,,,,,,,,,605000.000,605000.000,,,,,,,,,,21844000.000,29230000.000
AvailableForSaleSecuritiesFairValueDisclosure,,609000.000,608000.000,608000.000,608000.000,608000.000,607000.000,607000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesRestricted,,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000,600000.000
AvailableforsaleSecuritiesGrossUnrealizedGain,,3000.000,2000.000,1000.000,1000.000,1000.000,0.000,0.000,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,,,,,,,,3500000.000,3000000.000,0.000,0.000
CapitalLeaseObligations,,,,200000.000,,,,600000.000,,,,400000.000,,,,400000.000,,,,300000.000,
CashAndCashEquivalentsAtCarryingValue,81410000.000,95127000.000,96957000.000,108324000.000,131686000.000,126106000.000,126294000.000,125250000.000,118707000.000,112074000.000,118857000.000,124992000.000,80377000.000,94600000.000,94183000.000,117591000.000,126970000.000,117664000.000,123708000.000,100819000.000,100568000.000
DeferredIncomeTaxLiabilities,,,,450000.000,,,,290000.000,,,,270000.000,,,,217000.000,,,,184000.000,
DeferredRevenueCurrent,10903000.000,10429000.000,11136000.000,10342000.000,12054000.000,11312000.000,12451000.000,12007000.000,13611000.000,12913000.000,13955000.000,12812000.000,13495000.000,12361000.000,12777000.000,10938000.000,11066000.000,10469000.000,10871000.000,10210000.000,10122000.000
DeferredTaxAssetsGross,,,,52082000.000,,,,50143000.000,,,,46253000.000,,,,46866000.000,,,,42089000.000,
DeferredTaxAssetsLiabilitiesNet,,,,51632000.000,,,,49853000.000,,,,45983000.000,,,,46649000.000,,,,41905000.000,
DeferredTaxAssetsNetNoncurrent,53249000.000,52101000.000,49154000.000,48571000.000,48571000.000,48827000.000,47553000.000,46164000.000,42686000.000,43632000.000,43839000.000,42581000.000,41848000.000,41267000.000,43619000.000,46649000.000,45755000.000,44855000.000,44437000.000,41905000.000,40856000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsOther,,,,46000.000,,,,0.000,,,,59000.000,,,,172000.000,,,,330000.000,
DeferredTaxLiabilitiesOther,,,,,,,,10000.000,,,,0.000,,,,,,,,,
DeferredTaxLiabilitiesPrepaidExpenses,,,,308000.000,,,,119000.000,,,,138000.000,,,,103000.000,,,,133000.000,
DerivativeAssets,,,,,,,28000.000,217000.000,37000.000,154000.000,176000.000,416000.000,431000.000,401000.000,406000.000,288000.000,,,,,
DerivativeFinancialInstrumentsLiabilitiesFairValueDisclosure,,,,,,,38000.000,66000.000,,,,,,,,,,,,,
DerivativeLiabilities,,,,,,,,,56000.000,241000.000,263000.000,169000.000,419000.000,295000.000,441000.000,232000.000,,,,,
DividendsPayableCurrent,,2173000.000,2173000.000,2173000.000,2173000.000,2181000.000,2181000.000,3272000.000,2184000.000,2193000.000,2193000.000,3291000.000,2194000.000,2364000.000,2361000.000,2361000.000,2358000.000,2405000.000,2405000.000,2397000.000,1199000.000
DueFromAffiliateCurrent,,,,,,,,,,,,,,,,,,,6630000.000,6761000.000,6534000.000
DueFromCorrespondentBrokers,,,,,,,5850000.000,5816000.000,5567000.000,5713000.000,5567000.000,5391000.000,,,,,,,0.000,0.000,
EmployeeRelatedLiabilitiesCurrentAndNoncurrent,,,,2960000.000,1265000.000,2338000.000,2124000.000,2970000.000,1522000.000,2602000.000,2817000.000,3424000.000,2545000.000,2879000.000,3528000.000,2844000.000,2298000.000,2654000.000,3481000.000,3430000.000,2910000.000
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,,,,,,,,,,,,,,,,3500000.000,3000000.000,0.000,0.000
