,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,258929.000,290027.000,315968.000,362445.000,311124.000,274669.000,365597.000,312270.000,233462.000,228128.000,736151.000,613415.000,603968.000,576931.000,317459.000,322046.000,325872.000
AllowanceForDoubtfulAccountsReceivableChargeOffs,1400000.000,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,204293.000,199882.000,163274.000,167816.000,171291.000,168164.000,210627.000,157575.000,145000.000,142789.000,143599.000,141728.000,142138.000,145880.000,143692.000,138681.000,136427.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,8559665.000,10443435.000,16156239.000,-25764095.000,15648241.000,10588565.000,12143876.000,-26263293.000,12985556.000,11673467.000,10440006.000,-23241283.000,8784615.000,4960758.000,4688237.000,-13106917.000,4695737.000
CapitalExpendituresIncurredButNotYetPaid,197445.000,,,,50401.000,,,,38609.000,,,,30667.000,,,,64259.000
ComprehensiveIncomeNetOfTax,260030.000,338239.000,-682172.000,203215.000,-792203.000,1509357.000,276967.000,1857259.000,1454195.000,1935940.000,40706.000,6594936.000,1833135.000,1202671.000,2213883.000,19678350.000,1448352.000
CostOfServices,5977936.000,5927590.000,5973396.000,6405634.000,6233414.000,5620178.000,5835935.000,6197434.000,5826144.000,,,,,,,,
CostsAndExpenses,,,,,,,,,,,,,,,,,10660478.000
DepreciationDepletionAndAmortization,735606.000,,,,746313.000,,,,725173.000,,,,608990.000,,,,552982.000
EarningsPerShareBasic,0.010,0.010,-0.020,0.000,-0.010,0.020,0.010,0.030,0.030,0.030,0.000,0.110,0.030,0.020,0.040,0.370,0.030
EarningsPerShareDiluted,0.010,0.000,-0.020,0.010,-0.010,0.020,0.010,0.030,0.030,0.030,0.000,0.110,0.030,0.020,0.040,0.350,0.030
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,0.000,,,,0.000,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,13624.000,,,,10352.000,,,,10711.000,,,,6366.000,,,,5921.000
GainLossOnSaleOfPropertyPlantEquipment,-2950.000,,,,-3157.000,,,,,,,,,,,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,4149.000
GoodwillTranslationAdjustments,-10440.000,,,,-368.000,,,,-34344.000,,,,11803.000,,,,
GrossProfit,8842269.000,8632951.000,7418817.000,8756239.000,8058447.000,8993949.000,8309727.000,9557462.000,8931795.000,9405479.000,6150091.000,2563259.000,7492621.000,6844564.000,7961862.000,8887003.000,7421203.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,372509.000,372665.000,-842171.000,159872.000,-785300.000,1709119.000,580668.000,2456361.000,1822039.000,1980647.000,198645.000,2390757.000,1997655.000,1431781.000,2514956.000,3697954.000,1952598.000
IncomeTaxExpenseBenefit,593.000,67974.000,-33617.000,5919.000,-6010.000,199705.000,112543.000,494225.000,110413.000,105319.000,92674.000,-4278766.000,237350.000,149058.000,289543.000,-16105607.000,535058.000
IncomeTaxesPaid,103227.000,,,,180835.000,,,,199364.000,,,,295589.000,,,,295755.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-1590373.000,,,,-1112427.000,,,,454979.000,,,,-215331.000,,,,33022.000
IncreaseDecreaseInOtherOperatingCapitalNet,19876.000,,,,10979.000,,,,81947.000,,,,-34365.000,,,,-23894.000
IncreaseDecreaseInRestrictedCash,,,,,230094.000,,,,-119.000,,,,-2038.000,,,,57731.000
IncreaseDecreaseInRestrictedCashForOperatingActivities,-780213.000,,,,-1496906.000,,,,-486539.000,,,,-117192.000,,,,294389.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,2026896.000,1738025.000,,,,964504.000,835816.000,,647776.000,748238.000,1023633.000,-1694333.000,1291048.000,2385489.000,2074627.000,-3662878.000,2436206.000
InsuranceRecoveries,,300000.000,,,,,,,517930.000,,,,,,,,
InterestExpense,13146.000,15765.000,21394.000,16600.000,16170.000,15816.000,15201.000,17935.000,14613.000,13830.000,10372.000,18760.000,14676.000,83021.000,88669.000,87507.000,116332.000
InterestPaid,14454.000,,,,18272.000,,,,18837.000,,,,8544.000,,,,87825.000
