,2016-09-30,2017-03-31
CashPeriodIncreaseDecrease,,-83632.000
CostOfGoodsSold,81784.000,80556.000
CostOfRevenue,202927.000,141068.000
CostOfServices,121143.000,60512.000
Depreciation,4077.000,1862.000
EarningsPerShareBasicAndDiluted,-0.010,-0.010
GeneralAndAdministrativeExpense,79315.000,103465.000
GrossProfit,26637.000,48190.000
IncomeLossFromContinuingOperations,,-80807.000
IncomeLossFromDiscontinuedOperationsNetOfTax,-72059.000,
IncomeTaxExpenseBenefit,10456.000,-10016.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,1822.000
IncreaseDecreaseInAccountsReceivable,,1490.000
IncreaseDecreaseInIncomeTaxesReceivable,,-10016.000
IncreaseDecreaseInIntangibleAssetsCurrent,,-15000.000
IncreaseDecreaseInPrepaidExpense,,1500.000
InvestmentIncomeInterest,56.000,42.000
NetCashProvidedByUsedInFinancingActivities,,6000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,6000.000
NetCashProvidedByUsedInInvestingActivities,,-15000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-15000.000
NetCashProvidedByUsedInOperatingActivities,,-74632.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-74632.000
NetIncomeLoss,-61383.000,-70141.000
NetIncomeLossAttributableToNoncontrollingInterest,,-259.000
OperatingExpenses,95696.000,128997.000
OperatingLeasesRentExpenseNet,8040.000,9189.000
OtherIncome,633.000,608.000
OtherNonoperatingIncomeExpense,,650.000
OtherOperatingIncomeExpenseNet,220.000,
ProfessionalFees,12304.000,23670.000
ProfitLoss,-61383.000,
Revenues,227197.000,189866.000
SalesRevenueGoodsGross,115961.000,100906.000
SalesRevenueNet,226564.000,189258.000
SalesRevenueServicesGross,110603.000,88352.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,9332631.000,9537266.000
