,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-217035.000,,-223043.000,,,,-146353.000,,,,-70416.000,,
CostOfGoodsAndServicesSold,302679.000,419489.000,405975.000,542607.000,230150.000,412683.000,344147.000,304327.000,276209.000,334956.000,297831.000,272701.000,153172.000,171624.000,246125.000
Depreciation,,,,,,,,,23000.000,22000.000,23000.000,22467.000,13000.000,13000.000,13500.000
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.010,0.000,-0.010,0.010,-0.000,0.010,-0.000,0.000,0.000,-0.010,-0.010,0.000,0.000
GainLossOnDispositionOfAssets,,,,,-842.000,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,-5600.000,,
GeneralAndAdministrativeExpense,433085.000,355796.000,459688.000,382887.000,442580.000,393256.000,376724.000,371925.000,298408.000,326469.000,313693.000,622060.000,267634.000,277039.000,267103.000
GrossProfit,448595.000,367406.000,298048.000,458518.000,233102.000,535795.000,256006.000,353658.000,262057.000,401166.000,324824.000,213347.000,108172.000,327633.000,144466.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,15091.000,,-162064.000,,-205704.000,140912.000,,,,,,,,,
InterestExpense,617.000,582.000,633.000,226.000,1584.000,1672.000,2796.000,3241.000,4204.000,5380.000,3047.000,1866.000,3624.000,3407.000,3370.000
InterestPaid,,,633.000,,194.000,,,,3081.000,,,,254.000,,
InvestmentIncomeInterest,198.000,277.000,209.000,47.000,77.000,45.000,12.000,4.000,667.000,22.000,13.000,3.000,26.000,8.000,1.000
NetCashProvidedByUsedInFinancingActivities,,,-22021.000,,-1242.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-22021.000,,-1242.000,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,-21193.000,,-3866.000,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-21193.000,,-3866.000,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-173821.000,,-217935.000,,,,-139152.000,,,,-72352.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-173821.000,,-217935.000,,,,-139152.000,,,,-72352.000,,
NetIncomeLoss,,,-162064.000,97905.000,-205704.000,140912.000,-122871.000,-29265.000,-39888.000,69339.000,8508.000,-410276.000,-168660.000,47195.000,-126006.000
NonoperatingIncomeExpense,-419.000,-305.000,-424.000,22274.000,3774.000,-1627.000,-2153.000,,-3537.000,-5358.000,-2623.000,,-9198.000,-3399.000,-3369.000
OperatingIncomeLoss,15510.000,11610.000,-161640.000,75631.000,-209478.000,142539.000,-120718.000,-18267.000,-36351.000,74697.000,11131.000,-408713.000,-159462.000,50594.000,-122637.000
OtherIncome,,,,,6123.000,,631.000,,,,,,,,
OtherNonoperatingIncome,,,,,,,,,,,411.000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,21193.000,,3866.000,,,,,,,,,,
ProceedsFromSaleOfPropertyHeldForSale,,,,,,,,,,,,,106700.000,,
ProfitLoss,15091.000,11305.000,,,,,,,,,,,,,
RepaymentsOfLongTermDebt,,,22021.000,,1242.000,,,,7201.000,,,,104764.000,,
Revenues,751274.000,786895.000,704023.000,1001125.000,469375.000,948478.000,600784.000,657985.000,538266.000,736122.000,622655.000,486048.000,261344.000,499257.000,390591.000
SalesRevenueNet,751274.000,786895.000,704023.000,1001125.000,463252.000,948478.000,600153.000,657985.000,538266.000,736122.000,622655.000,486048.000,261344.000,499257.000,390591.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,23838852.000,23838852.000,23838852.000,24717973.000,26338852.000,-49577373.000,26338852.000,26338852.000,26338852.000,-51931807.000,37438852.000,37438852.000,37438852.000
