,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,13074.000,,3794.000,,2117.000,,,,-5327.000,,,
ConcentrationRiskPercentage1,,,,,,,1.000,,,,,,,
ContractsRevenue,106827.000,90559.000,129923.000,121047.000,95282.000,43532.000,3276.000,3380.000,,,,,,
CostOfRevenue,76177.000,65956.000,90926.000,77942.000,61992.000,33126.000,2728.000,1819.000,,,,,,
DebtConversionConvertedInstrumentAmount1,,,,,,,142769.000,,,,,,,
DebtInstrumentPeriodicPayment,,,,,2698.000,,24732.000,,,,,,,
DepreciationAndAmortization,288.000,287.000,287.000,287.000,,,,,,,,,,
DepreciationDepletionAndAmortization,,,287.000,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.010,-0.020,-0.020,-0.010,-0.010,-0.010,-0.010,-0.010,0.000,-0.020,0.001,-0.002,-0.007,-0.002
EntityWideRevenueMajorCustomerPercentage,,,,,0.810,,,,,,,,,
EquityIssuancePerShareAmount,,,,,,,0.500,,,,,,,
GainsLossesOnRestructuringOfDebt,,,,,,,,,,,85402.000,,,
GeneralAndAdministrativeExpense,105516.000,240914.000,107118.000,174940.000,119981.000,100409.000,90551.000,126770.000,44674.000,161798.000,71718.000,23708.000,80233.000,28104.000
GrossProfit,30650.000,24603.000,38997.000,43105.000,33290.000,10406.000,548.000,1561.000,,,,,,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,-80444.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-80444.000,-222504.000,-77789.000,-135792.000,-101248.000,-94726.000,-117157.000,-128049.000,-48281.000,-163093.000,13684.000,-23708.000,-80233.000,-45632.000
IncreaseDecreaseInAccountsPayable,,,20296.000,,32732.000,,6897.000,,,,-2242.000,,,
IncreaseDecreaseInAccountsReceivable,,,21199.000,,-11307.000,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,29132.000,,6027.000,,12377.000,,,,-6367.000,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,,-60000.000,,,
InterestExpense,5290.000,5906.000,9381.000,3670.000,,,,,,,,,,
InterestExpenseLongTermDebt,,,,,2107.000,,1921.000,,,,,,,
InterestExpenseOther,,,,,14557.000,4723.000,27429.000,6640.000,3607.000,1683.000,,,,
InterestExpenseShortTermBorrowings,,,,,,,,,,,0.000,,,
InterestPaid,,,2039.000,,14557.000,,27429.000,,,,,,,
