,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AcquisitionCosts,4463000.000,84000.000,253000.000,380000.000,,520000.000,56000.000,4750000.000,3858000.000,1614000.000
AllocatedShareBasedCompensationExpense,,590000.000,,300000.000,,1454000.000,,,,1733000.000
AmortizationOfFinancingCosts,200000.000,200000.000,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,-2523000.000,,,,847000.000,,,,877000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,-0.040,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,-0.040,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,-1889000.000,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,191098000.000,,,,,,,,,
BusinessCombinationConsiderationTransferred1,,,,,,72500000.000,,,,
CapitalExpendituresIncurredButNotYetPaid,,247000.000,,,,95000.000,,,,2312000.000
CasinoExpenses,34596000.000,86818000.000,91066000.000,90398000.000,89290000.000,96262000.000,100374000.000,103272000.000,90417000.000,90453000.000
CasinoRevenue,63457000.000,147662000.000,156788000.000,156357000.000,153420000.000,169078000.000,178459000.000,184604000.000,160872000.000,162784000.000
ComprehensiveIncomeNetOfTax,-4118000.000,-6164000.000,4795000.000,5399000.000,110078000.000,3370000.000,10791000.000,9682000.000,959000.000,1021000.000
CostsAndExpenses,72943000.000,154766000.000,160430000.000,161610000.000,,,,,,
DebtIssuanceCosts,,,,,,26000000.000,,,,
DeferredIncomeTaxExpenseBenefit,,634000.000,,,,,,,,
DepreciationAndAmortization,5283000.000,14469000.000,14031000.000,13954000.000,14467000.000,16204000.000,15583000.000,15810000.000,15852000.000,15604000.000
DepreciationDepletionAndAmortization,,14469000.000,,,,,,,,
EarningsPerShareBasic,-0.160,-0.130,0.100,0.120,2.360,0.070,0.230,0.210,0.020,0.020
EarningsPerShareBasicAndDiluted,,-0.130,,,,,,,,
EarningsPerShareDiluted,-0.160,,0.100,0.120,,0.070,0.230,0.200,0.020,0.020
ExtinguishmentOfDebtGainLossNetOfTax,,,,,,-66000.000,-89000.000,,,
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,16000.000,,,,-1000.000,,,,-16000.000
FoodAndBeverageCostOfSales,8462000.000,11921000.000,12002000.000,12461000.000,16222000.000,19728000.000,20783000.000,21046000.000,20321000.000,17421000.000
FoodAndBeverageRevenue,15972000.000,22182000.000,23495000.000,24040000.000,28023000.000,33739000.000,36967000.000,38029000.000,33297000.000,29513000.000
GainLossOnSaleOfPropertyPlantEquipment,-3000.000,1000.000,3000.000,-6000.000,-4000.000,71000.000,-836000.000,25000.000,-96000.000,32000.000
GainsLossesOnExtinguishmentOfDebt,,,,-1790000.000,,,,,,
GeneralAndAdministrativeExpense,14387000.000,27704000.000,26954000.000,26937000.000,15275000.000,31655000.000,32380000.000,34094000.000,32043000.000,31775000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-2869000.000,-5148000.000,5827000.000,7820000.000,36104000.000,5206000.000,16771000.000,15520000.000,549000.000,1479000.000
IncomeLossFromEquityMethodInvestments,1238000.000,-518000.000,1106000.000,2548000.000,324000.000,,,,,-222000.000
IncomeTaxExpenseBenefit,1195000.000,1016000.000,1032000.000,2421000.000,-74049000.000,1836000.000,5980000.000,5838000.000,-410000.000,458000.000
IncomeTaxReconciliationChangeInEnactedTaxRate,700000.000,,,,,,,,,
IncomeTaxReconciliationNondeductibleExpenseAmortization,300000.000,,,,,,,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes,900000.000,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,-2655000.000,,,,3591000.000,,,,-5551000.000
IncreaseDecreaseInAccountsReceivable,,-1438000.000,,,,-302000.000,,,,-5647000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,286000.000,,,,130000.000,,,,67000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,-1706000.000,,,,-414000.000
IncreaseDecreaseInInterestPayableNet,,-12497000.000,,,,-7258000.000,,,,-10006000.000
IncreaseDecreaseInInventories,,-85000.000,,,,-423000.000,,,,251000.000
