,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,18629.000,,,
AccountsPayableCurrent,,,,,,,,552430.000,3290727.000
AccountsReceivableGrossCurrent,,,,,,,,744332.000,2607880.000
AccountsReceivableNetCurrent,,,,,,,,699806.000,2562565.000
AccruedLiabilitiesCurrent,8406.000,7890.000,9301.000,9301.000,9301.000,,9301.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,-677671.000,-728444.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,56996.000,60148.000
AdditionalPaidInCapital,10755.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,864235.000,864235.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,44526.000,45315.000
Assets,4149.000,24998.000,27090.000,29686.000,29686.000,8059.000,4711.000,12120835.000,16482587.000
AssetsCurrent,,,,,,,,10676055.000,10267982.000
CashAndCashEquivalentsAtCarryingValue,149.000,148.000,240.000,125.000,125.000,8059.000,,51953.000,4867.000
ClassOfWarrantOrRightOutstanding,,,,,,0.000,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,25695000.000,29500000.000,29500000.000,29500000.000,29500000.000,29500000.000,29500000.000,190000000.000,190000000.000
CommonStockSharesOutstanding,25695000.000,29500000.000,29500000.000,29500000.000,29500000.000,29500000.000,29500000.000,190000000.000,190000000.000
CommonStockValue,,,,,,,,190000.000,190000.000
CommonStockValueOutstanding,25695.000,29500.000,29500.000,29500.000,29500.000,29500.000,29500.000,,
ConstructionInProgressGross,,,,,,,,,2922903.000
ConvertibleNotesPayable,,,,,,100000.000,,,
CustomerAdvancesCurrent,,,,,,,,962533.000,995802.000
DebtInstrumentConvertibleConversionPrice1,,,,,,0.003,,,
DebtInstrumentInterestRateStatedPercentage,0.100,0.100,0.100,0.100,,0.030,,,
DeferredTaxAssetsNet,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
DeferredTaxAssetsNetCurrent,,,,,,,,48243.000,32407.000
DeferredTaxAssetsOperatingLossCarryforwards,47896.000,77918.000,94208.000,96025.000,96025.000,64775.000,79090.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,,8909.000,16034.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,,39334.000,16374.000
DeferredTaxAssetsValuationAllowance,47896.000,77918.000,94208.000,96025.000,96025.000,64775.000,96025.000,,
DepositLiabilityCurrent,100.000,12795.000,12795.000,16095.000,16095.000,0.000,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,47896.000,77918.000,94208.000,96025.000,96025.000,185070.000,79090.000,,
DueFromRelatedPartiesCurrent,,,,,,,,2062853.000,547935.000
DueFromRelatedPartiesNoncurrent,,,,,,,,,427889.000
EquityMethodInvestmentOwnershipPercentage,,,,,,,,0.400,1.000
FiniteLivedIntangibleAssetsNet,,,,,,,,8976.000,8419.000
InterestPayableCurrent,419.000,595.000,916.000,1509.000,1509.000,0.000,,,
InventoryFinishedGoods,,,,,,,,290514.000,124967.000
InventoryNet,,,,,,,,358327.000,399965.000
InventoryRawMaterials,,,,,,,,67410.000,211656.000
InventoryRawMaterialsAndSupplies,,,,,,,,403.000,403.000
Liabilities,15595.000,28415.000,46797.000,51211.000,51211.000,118629.000,9301.000,,
LiabilitiesAndStockholdersEquity,4149.000,24998.000,27090.000,29686.000,29686.000,8059.000,4711.000,12120835.000,16482587.000
LiabilitiesCurrent,,,,,,,,9155759.000,12693397.000
LiabilitiesNoncurrent,,,,,,118629.000,,,
NotesPayableCurrent,6670.000,7135.000,23785.000,24306.000,24306.000,100000.000,,806582.000,483871.000
OperatingLossCarryforwards,47896.000,77918.000,94208.000,61298.000,96025.000,185070.000,79090.000,,
OtherAssetsCurrent,,,,,,,,1343198.000,572496.000
OtherInventoryInTransit,,,,,,,,,62939.000
OtherLiabilitiesCurrent,,,,,,,,908991.000,1311691.000
OtherReceivables,,,,,,,,1331746.000,565620.000
OtherRestrictedAssetsCurrent,,,,,,,,806582.000,564516.000
PrepaidExpenseCurrent,4000.000,24850.000,26850.000,29561.000,29561.000,0.000,4711.000,,
PrepaidExpenseCurrentAndNoncurrent,,,,,,,,11452.000,6876.000
PropertyPlantAndEquipmentNet,,,,,,,,1435804.000,1384691.000
RestrictedCashAndCashEquivalents,,,,,,,,806582.000,564516.000
RetainedEarningsAccumulatedDeficit,,,,,,,,1554882.000,2317976.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,,0.000,,,
ShortTermBankLoansAndNotesPayable,,,,,,,,4678174.000,4516129.000
StatutoryAccountingPracticesStatutoryCapitalAndSurplusRequired,,,,,,,,298963.000,356831.000
StockholdersEquity,-11446.000,-3418.000,-19708.000,-21525.000,-21525.000,-110570.000,-4590.000,2965076.000,3789190.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-11446.000,-3417.000,-19707.000,-21525.000,-21525.000,-110570.000,-4590.000,,
TaxesPayableCurrent,,,,,,,,1247049.000,2095177.000
