,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-10700000.000,,,,-13400000.000,,,,-22000000.000,,,,-27000000.000,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,163200000.000,,,,210700000.000,,,,182400000.000,,,,192500000.000,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,600000.000,400000.000,1200000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,2.950,2.950,2.650,-5.900,2.650,2.650,2650000.000,,2650000.000,,2650000.000,,2650000.000,2650000.000,2650000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,,,-53400000.000,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,,,-109400000.000,,,,,,
BenefitsLossesAndExpenses,407300000.000,443100000.000,441700000.000,451000000.000,461500000.000,476900000.000,473700000.000,458200000.000,472900000.000,460600000.000,451400000.000,463900000.000,471700000.000,495500000.000,509300000.000,514800000.000,519500000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,36900000.000,,,,170400000.000,,,,32500000.000,,,,72700000.000,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,2900000.000,,,,1400000.000,,,,8900000.000,,
CommonStockDividendsPerShareDeclared,0.060,0.060,0.070,0.070,0.070,0.070,0.080,0.080,0.090,0.090,0.100,0.100,0.100,1.400,0.110,0.110,0.610
ComprehensiveIncomeNetOfTax,,,48200000.000,231700000.000,271500000.000,-2100000.000,-12100000.000,-465500000.000,-18300000.000,-61000000.000,290000000.000,257800000.000,-43500000.000,147100000.000,201000000.000,-369900000.000,24400000.000
CurrentIncomeTaxExpenseBenefit,31100000.000,26000000.000,-6300000.000,18600000.000,-300000.000,3900000.000,15700000.000,19600000.000,11300000.000,15100000.000,10100000.000,17400000.000,10800000.000,26200000.000,6500000.000,7500000.000,-1400000.000
DeferredIncomeTaxExpenseBenefit,-6200000.000,-25500000.000,32200000.000,-5000000.000,12600000.000,9000000.000,1700000.000,-9600000.000,-3400000.000,3000000.000,4700000.000,-5700000.000,-9500000.000,-8500000.000,-4900000.000,-18500000.000,-16500000.000
DeferredPolicyAcquisitionCostAmortizationExpense,20000000.000,19000000.000,15800000.000,15400000.000,17900000.000,16900000.000,18900000.000,17200000.000,20200000.000,16100000.000,19900000.000,16600000.000,17600000.000,24000000.000,21600000.000,22700000.000,19400000.000
