,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsPayableCurrent,523797000.000,464521000.000,469025000.000,455654000.000,411203000.000,438870000.000,426713000.000,489631000.000,402709000.000,427234000.000,397093000.000,422929000.000,412698000.000,427396000.000,409894000.000,431761000.000,419996000.000,424083000.000,445048000.000,453653000.000,452984000.000
AccountsPayableRelatedPartiesCurrent,27106000.000,30720000.000,33421000.000,32682000.000,32858000.000,32781000.000,34650000.000,34838000.000,32570000.000,24817000.000,34339000.000,30941000.000,31742000.000,31173000.000,29610000.000,29651000.000,31120000.000,30514000.000,29646000.000,29729000.000,30129000.000
AccountsReceivableNetCurrent,478588000.000,280065000.000,298409000.000,295277000.000,251653000.000,283296000.000,281023000.000,325064000.000,248518000.000,256389000.000,270256000.000,283079000.000,253127000.000,287285000.000,281213000.000,277526000.000,249852000.000,286057000.000,279705000.000,266383000.000,260979000.000
AccountsReceivableRelatedPartiesCurrent,5486000.000,19841000.000,12228000.000,6818000.000,1869000.000,1857000.000,2946000.000,3156000.000,11991000.000,2673000.000,2251000.000,1520000.000,2544000.000,1660000.000,2276000.000,1732000.000,1084000.000,1096000.000,1089000.000,767000.000,2066000.000
AccountsReceivableRelatedPartiesNoncurrent,3433000.000,,,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,605233000.000,576482000.000,595398000.000,,535701000.000,507029000.000,495540000.000,,468638000.000,471295000.000,468007000.000,,490824000.000,530066000.000,556132000.000,,534588000.000,583482000.000,604586000.000,,479383000.000
AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,,,,,,88193000.000,88950000.000,73920000.000,71531000.000,38625000.000,38148000.000,42602000.000,46650000.000,50147000.000,54259000.000,58651000.000,63106000.000,67208000.000,71736000.000,76355000.000,8930000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,8927652000.000,8880203000.000,9068547000.000,9221694000.000,9374807000.000,9334179000.000,9526384000.000,9543337000.000,9302246000.000,9224430000.000,9189319000.000,9264848000.000,9457664000.000,9356863000.000,9380805000.000,9454315000.000,9543360000.000,9515072000.000,9590437000.000,9625348000.000,9559157000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-23007000.000,-23370000.000,-23151000.000,-21468000.000,-21419000.000,-21266000.000,-21166000.000,-30763000.000,-30553000.000,-30344000.000,-30064000.000,-42694000.000,-47518000.000,-43127000.000,-40524000.000,-42235000.000,-32248000.000,-25146000.000,-33548000.000,-37672000.000,-40582000.000
AcquiredIndefiniteLivedIntangibleAssetAmount,,,,55895000.000,,,,36782000.000,,,,,,,,,,,,,
