,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,197447.000,173848.000,143156.000,161200.000,134293.000,178835.000,292341.000,128389.000,226834.000,174236.000,246605.000,416427.000,203356.000,145557.000,165798.000,206049.000,173103.000,297761.000,192211.000,260749.000,190718.000,733388.000,629669.000,786541.000
AccountsReceivableNetCurrent,660804.000,722731.000,566386.000,511656.000,465240.000,702846.000,1129405.000,727095.000,703766.000,638316.000,510450.000,453384.000,1531183.000,1172268.000,486258.000,593265.000,752677.000,1101554.000,441720.000,397971.000,793935.000,1354199.000,1059757.000,1585503.000
AccruedIncomeTaxesCurrent,,47786.000,,,,44559.000,,,,44691.000,,,,48342.000,,,,,,,,31000.000,8000.000,
AccruedLiabilitiesCurrent,187682.000,205208.000,199312.000,202378.000,211259.000,306475.000,323365.000,383226.000,364949.000,395426.000,323199.000,332987.000,456576.000,178815.000,94882.000,310968.000,374204.000,183390.000,60725.000,500890.000,472268.000,528996.000,596738.000,630835.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3587483.000,3613913.000,3641412.000,3657006.000,3684504.000,3688266.000,3714001.000,3739735.000,3765468.000,3752452.000,3768832.000,3785212.000,3801592.000,3800551.000,3816931.000,3833311.000,3849691.000,3646937.000,3678437.000,3709937.000,3741437.000,3771268.000,3813214.000,3888340.000
AdditionalPaidInCapital,1198111.000,1862652.000,1328096.000,1297144.000,1299543.000,1662981.000,1413306.000,1437264.000,1461222.000,1738521.000,1486388.000,1486931.000,1487474.000,1741358.000,1488560.000,1488560.000,1488560.000,1741901.000,1488560.000,1488560.000,1488560.000,1741901.000,1741901.000,1741901.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,10000.000,,,,10000.000,,,,10000.000,10000.000,10141.000
AllowanceForDoubtfulAccountsReceivableCurrent,,10000.000,,,,10000.000,,,,10000.000,,,,,,,,,,,,,,
Assets,3411868.000,3440600.000,3722466.000,3446149.000,3216865.000,3205971.000,3588517.000,3511817.000,3443740.000,3504683.000,3181813.000,3064199.000,4204703.000,3699657.000,3346365.000,3100294.000,3255966.000,3866575.000,3566691.000,3393132.000,3596957.000,15434755.000,15806527.000,16097093.000
AssetsCurrent,2958909.000,3016871.000,3318007.000,3063976.000,2853421.000,2823971.000,3233152.000,3178786.000,3126016.000,3199326.000,2852708.000,2714048.000,3837570.000,3314781.000,2968277.000,2722723.000,2868975.000,3486491.000,3215923.000,2828226.000,3051823.000,7766817.000,8054773.000,8392493.000
AssetsNoncurrent,40250.000,37450.000,36650.000,35750.000,34850.000,32750.000,31850.000,31250.000,30350.000,5850.000,5850.000,5850.000,5850.000,5850.000,5850.000,5850.000,5850.000,4850.000,4850.000,4850.000,4850.000,6364015.000,6334924.000,6301733.000
BuildingsAndImprovementsGross,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1429718.000,1440138.000,1440138.000,1440138.000,1440138.000,1448978.000,1477312.000,1477312.000
CapitalLeaseObligations,,,,,,,,,,,,,,,,,,,,218035.000,206591.000,204366.000,,
CapitalLeaseObligationsCurrent,,,,,,,,,,,,,,,,,,,,54627.000,54627.000,59369.000,56450.000,51825.000
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,,,,,,,,,163408.000,151964.000,144997.000,133292.000,119825.000
CapitalLeasedAssetsGross,,,,,,,,,,,,,,,,,,,,,,247811.000,,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,,,,,,,,,,,,,,,220138.000,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,,,,,,,,,,,230994.000,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,,,,,,,,,,,,70082.000,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,,,,,,,,,17141.000,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,,,,,,,,,,,46345.000,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,,,,,,,,,,,,46654.000,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,,,,,,,,,,,,50772.000,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,,,,,,,,,,,,,,,,26628.000,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,,,,,,,,,,,,,,,,204366.000,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,,,,,,,,,,,,,,,,,27673.000,,
CashAndCashEquivalentsAtCarryingValue,112269.000,274530.000,826348.000,654713.000,591857.000,258798.000,156212.000,883341.000,785499.000,938852.000,571424.000,153048.000,129731.000,390327.000,683826.000,282401.000,364649.000,346405.000,752798.000,381843.000,256051.000,3060734.000,3607452.000,3174522.000
CashEquivalentsAtCarryingValue,,,,,,258798.000,,,,938852.000,,,,,,,,,,,,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,2.500,,,,,,,,,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,42000.000,,,,,,,,,,,,,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,1008170.000,,,,,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,,,,,,,1000000.000,,1000000.000,,,,,,,,,,,,,,,
ConvertibleLongTermNotesPayable,,,,,,,,,,,,,,200000.000,,,,200000.000,,,,200000.000,,
ConvertibleNotesPayableCurrent,,,233441.000,442032.000,442032.000,208591.000,,,,,,,200000.000,,200000.000,200000.000,200000.000,,200000.000,200000.000,200000.000,,200000.000,200000.000
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,,0.002,,,,,,,,0.003,,,,,
DeferredRevenueCurrent,,,,,,,,,,,,,,,,,,,,,,,578000.000,631992.000
DeferredRevenueNoncurrent,,,,,,,,,,,,,,,,,,,,,,,722000.000,510451.000
DeferredTaxAssetsGross,,,,,,332800.000,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsGrossCurrent,,,,,,,,,,334200.000,,,,107700.000,,,,142100.000,,,,3830600.000,,
DeferredTaxAssetsGrossNoncurrent,,,,,,3903900.000,,,,3788100.000,,,,4059000.000,,,,4106800.000,,,,,,
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,,,-8500.000,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsInventory,,,,,,295300.000,,,,277300.000,,,,128900.000,,,,81500.000,,,,302600.000,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,,,,,,,,,,0.000,,,,,,,,3330600.000,3330600.000,3330600.000
DeferredTaxAssetsNet,,,,,,,,,,,,,,0.000,,,,,,,,3330600.000,,
DeferredTaxAssetsNetCurrent,,,,,,,,,,,,,,,,,,0.000,,,,,,
DeferredTaxAssetsNetNoncurrent,,,,,,,,,,,,,,,,,,0.000,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,1934200.000,,,,1817200.000,,,,1880200.000,,,,1914300.000,,,,1303000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,5689000.000,,,,5345000.000,,,,,,,,,,,,,,
DeferredTaxAssetsOther,,,,,,-2052.000,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsOtherTaxCarryforwards,,,,,,,,,,26000.000,,,,,,,,,,,,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,,42700.000,,,,45100.000,,,,46700.000,,,,93000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsOther,,,,,,163200.000,,,,8900.000,,,,8900.000,,,,,,,,,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,1716300.000,,,,1830600.000,,,,1903800.000,,,,1980200.000,,,,2019700.000,,
