,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,,,,,,,,-36000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,2316000.000,,,,675000.000,,,,1478000.000,
AllocatedShareBasedCompensationExpense,,100000.000,1200000.000,,,,,,,11000000.000,1000000.000,,,1800000.000
AmortizationOfDebtDiscountPremium,,,,,,,,,-1651000.000,,,,,
AmortizationOfFinancingCosts,,,,,,29000.000,30000.000,,490000.000,,,,,
AmortizationOfIntangibleAssets,,,,,,,5893000.000,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,6339000.000,12031000.000,9492000.000,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,249820000.000,213685000.000,216971000.000,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,0.000,0.000,,,29914000.000,-307000.000,,,0.000
BusinessCombinationIntegrationRelatedCosts,,,,,20810000.000,4903000.000,2448000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,3443000.000,,,,146848000.000,,,,-24994000.000,,,,35178000.000,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,62000.000,,,,6500000.000,,,,400000.000,
CommonStockDividendsPerShareCashPaid,,,,,0.250,,,,0.250,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,,0.250,,0.250,0.250
ComprehensiveIncomeNetOfTax,,,,,-7632000.000,11776000.000,1097000.000,-88822000.000,702000.000,16624000.000,7811000.000,45194000.000,14782000.000,137244000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,-2360000.000,1783000.000,-660000.000,-17267000.000,-487000.000,2532000.000,872000.000,7969000.000,2191000.000,25206000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,-9992000.000,13559000.000,437000.000,-106089000.000,215000.000,19156000.000,8683000.000,53163000.000,16973000.000,162450000.000
ConversionOfStockSharesConverted1,,,,,1.000,,,,,,,,,
ConversionOfStockSharesIssued1,,,,,1.000,,,,,,,,,
CostOfPropertyRepairsAndMaintenance,7150000.000,4934000.000,5169000.000,6178000.000,9488000.000,7846000.000,6435000.000,8145000.000,,,,,,
CostsAndExpenses,103062000.000,142821000.000,114578000.000,123504000.000,,,,,,,,,,
DebtInstrumentPeriodicPaymentPrincipal,,,,,,,,,3658000.000,,,,,
DepreciationAndAmortization,45968000.000,47288000.000,49307000.000,55327000.000,92184000.000,91453000.000,77008000.000,71824000.000,71403000.000,69232000.000,71287000.000,69228000.000,67511000.000,66620000.000
DepreciationDepletionAndAmortization,,,,,90574000.000,,,,70377000.000,,,,66994000.000,
DerivativeInstrumentsGainRecognizedInOtherComprehensiveIncomeEffectivePortion,,,,,593000.000,,,,,,,,,
DerivativeInstrumentsLossRecognizedInOtherComprehensiveIncomeEffectivePortion,,,,,,4800000.000,,,,,,,,
DerivativeNetHedgeIneffectivenessGainLoss,,,,,0.000,0.000,193000.000,0.000,2300000.000,600000.000,1700000.000,-4312000.000,100000.000,0.000
DilutiveSecurities,,0.000,0.000,,,,,,,,,,,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,26140000.000,26219000.000,29268000.000,28088000.000,41079000.000,42483000.000,39939000.000,40556000.000,43934000.000,39525000.000,41295000.000,41936000.000,37244000.000,35164000.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,-2209000.000,-88000.000,181000.000,116000.000,51000.000,125385000.000
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,,,50000.000,,,,,,,,,
DividendsCommonStock,,,,,50549000.000,,,,55149000.000,,,,55471000.000,
DividendsPreferredStock,,,,,5349000.000,,,,-3508000.000,,,,3508000.000,
EarningsPerShareBasic,,,,,-0.070,0.020,0.020,-0.520,0.050,0.100,0.010,0.130,0.050,0.730
EarningsPerShareBasicAndDiluted,,0.450,0.210,,-0.070,0.020,0.020,-0.520,0.050,0.100,0.010,0.130,0.050,
EarningsPerShareDiluted,,,,,-0.070,0.020,0.020,-0.520,0.050,,,,0.050,0.720
EquityMethodInvestmentDividendsOrDistributions,414000.000,,,,99000.000,,,,53000.000,,,,80000.000,
EquityMethodInvestmentSummarizedFinancialInformationCostOfSales,,,,,,9934000.000,18678000.000,,19306000.000,19257000.000,19730000.000,20392000.000,20591000.000,24404000.000
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,,,-1934000.000,1827000.000,,-927000.000,280000.000,-10000.000,3091000.000,349000.000,649000.000
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,,,21168000.000,46394000.000,,46312000.000,47494000.000,47530000.000,50495000.000,48434000.000,58852000.000
GainLossOnDispositionOfAssets,,,,,,,,,-2209000.000,,,,324000.000,
GainLossOnSaleOfProperties,242000.000,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,34078000.000,0.000,,,21221000.000
