,2011-06-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AdvertisingExpense,3399355.000,6156353.000,7976078.000,9385016.000,5507634.000,3645454.000,2708324.000,5486702.000
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,985786.000,,,,1763952.000,,
AllowanceForLoanAndLeaseLossesForeignCurrencyTranslation,,,,,,100807.000,,
AmortizationOfDeferredCharges,,218552.000,,,,97680.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,0.000,,,,,
BasicEarningsPerShareProForma,,,,,,-0.580,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,4675519.000,,,,-681482.000,,
ComprehensiveIncomeNetOfTax,11858829.000,-14565141.000,-24391645.000,18447733.000,-35137180.000,-20432526.000,-6139911.000,-18636863.000
CostOfRevenue,28206945.000,18063454.000,24254680.000,23037097.000,35386582.000,16505888.000,15238203.000,14828508.000
CurrentForeignTaxExpenseBenefit,,,,,,259496.000,,
DeferredForeignIncomeTaxExpenseBenefit,,,,,,91749.000,,
DeferredIncomeTaxExpenseBenefit,,64512.000,,,,91749.000,,
Depreciation,,,,,,1611228.000,,
DepreciationAndAmortization,1784380.000,2080699.000,1578733.000,1803167.000,1783711.000,1864207.000,1855076.000,1720678.000
DepreciationDepletionAndAmortization,,2987211.000,,,,3035131.000,,
EarningsPerShareBasic,0.050,-0.430,-0.660,0.510,-0.980,,,-0.580
EarningsPerShareBasicAndDiluted,,,,,,-0.580,-0.350,
EarningsPerShareDiluted,0.050,-0.430,-0.660,0.500,-0.970,,,-0.580
EffectOfExchangeRateOnCashAndCashEquivalents,,362836.000,,,,-1001734.000,,
ExtinguishmentOfDebtGainLossNetOfTax,,,,,,,,0.000
GainLossOnSaleOfEquityInvestments,1417878.000,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,0.000,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,40413555.000,,,,
GrossProfit,25844851.000,7681822.000,3192246.000,6456362.000,27027384.000,4500875.000,4985934.000,3107900.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,6740158.000,-16743691.000,-25257368.000,19620051.000,-35119900.000,-20763612.000,-12141818.000,-20917994.000
IncomeLossFromEquityMethodInvestments,551461.000,-191450.000,-1297597.000,-267470.000,-1056718.000,-968232.000,-1004141.000,-1005915.000
IncomeTaxExpenseBenefit,3169813.000,443068.000,510897.000,487280.000,783244.000,351245.000,699081.000,258611.000
IncomeTaxHolidayIncomeTaxBenefitsPerShare,,,,,,0.000,,
IncomeTaxReconciliationEquityInEarningsLossesOfUnconsolidatedSubsidiary,,,,,,2147901.000,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,,,,,488773.000,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,,-5190903.000,,
IncomeTaxReconciliationMinorityInterestIncomeExpense,,,,,,323917.000,,
IncomeTaxReconciliationNondeductibleExpense,,,,,,1022724.000,,
IncomeTaxReconciliationNondeductibleExpenseOther,,,,,,-34890.000,,
IncomeTaxReconciliationTaxHolidays,,,,,,1593723.000,,
IncomeTaxesPaid,,192133.000,,,,495052.000,,
IncreaseDecreaseInAccountsPayable,,1300082.000,,,,-1423722.000,,
IncreaseDecreaseInAccountsReceivable,,574204.000,,,,11689541.000,,
