,2011-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,1288068.000
AccountsPayableRelatedPartiesCurrent,220734.000
AccountsReceivableNetCurrent,6986.000
AdditionalPaidInCapital,2860302.000
Assets,3311533.000
AssetsCurrent,71586.000
CashAndCashEquivalentsAtCarryingValue,63760.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,5000000000.000
CommonStockSharesIssued,4987033932.000
CommonStockSharesOutstanding,4987033932.000
CommonStockValue,4987034.000
ConvertibleNotesPayable,100000.000
ConvertibleNotesPayableCurrent,1491434.000
CustomerAdvancesCurrent,50000.000
DebtInstrumentUnamortizedDiscount,137343.000
DebtInstrumentUnamortizedDiscountPremiumNet,0.000
DepositsAssets,50000.000
DerivativeLiabilitiesCurrent,1736540.000
DividendsPayableAmount,726287.000
DueToRelatedPartiesCurrent,41831.000
IntangibleAssetsNetExcludingGoodwill,3177665.000
LiabilitiesAndStockholdersEquity,3311533.000
LiabilitiesCurrent,9052522.000
NotesPayableCurrent,2025640.000
NotesPayableRelatedPartiesClassifiedCurrent,518388.000
PrepaidExpenseCurrent,840.000
PropertyPlantAndEquipmentNet,12282.000
RetainedEarningsAccumulatedDeficit,-13588333.000
StockholdersEquity,-5740989.000
