,2011-06-26,2011-09-25,2011-12-25,2012-03-25,2012-06-24,2012-09-23,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-31
AccountsPayableCurrent,20360000.000,18969000.000,20516000.000,20174000.000,21467000.000,21979000.000,26861000.000,21454000.000,23211000.000,20042000.000,22154000.000,21784000.000,23228000.000,25447000.000,24930000.000
AccruedIncomeTaxesCurrent,651000.000,312000.000,2740000.000,344000.000,1767000.000,1667000.000,3756000.000,229000.000,1433000.000,112000.000,3286000.000,7508000.000,6209000.000,3105000.000,5487000.000
AccruedSalariesCurrent,10403000.000,9104000.000,11888000.000,7721000.000,11505000.000,9658000.000,10715000.000,9307000.000,8916000.000,11742000.000,9134000.000,9526000.000,8390000.000,11341000.000,11665000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,231742000.000,236730000.000,239725000.000,243988.000,249172000.000,251347000.000,247782000.000,252897000.000,257634000.000,251867000.000,246531000.000,248344000.000,251666000.000,251890000.000,256269000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-31901000.000,-31704000.000,-52982000.000,-52598000.000,-52212000.000,-51826000.000,-55739000.000,-55348000.000,-54958000.000,-54567000.000,-39654000.000,-39369000.000,-39080000.000,-38790000.000,-56856000.000
AdditionalPaidInCapital,261402000.000,259792000.000,257552000.000,254815000.000,254831000.000,255198000.000,254437000.000,255369000.000,256067000.000,256367000.000,256734000.000,257077000.000,257723000.000,258194000.000,258366000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,2468000.000,2420000.000,2287000.000,2575000.000,1688000.000,2252000.000,2284000.000,2029000.000,1807000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,1974000.000,2204000.000,,,,,,,,,
Assets,412854000.000,406652000.000,417725000.000,406386000.000,404006000.000,412283000.000,625803000.000,612254000.000,613390000.000,608511000.000,596018000.000,575775000.000,572158000.000,569172000.000,580480000.000
AssetsCurrent,68097000.000,67035000.000,71671000.000,65262000.000,70421000.000,72022000.000,80118000.000,74221000.000,76576000.000,76369000.000,86450000.000,75558000.000,77757000.000,81684000.000,90435000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,7048000.000,0.000,0.000,0.000,0.000
