,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AdvertisingExpense,,3963.000,1383.000,,,200.000,,,,
AmortizationOfFinancingCosts,,,,147889.000,,,,144335.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-935.000,,27411.000,,,,1936.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,-1517655.000,-1877565.000,
CostOfGoodsSold,,3792.000,21441.000,11022.000,9722.000,8007.000,2904.000,3569.000,3133.000,28463.000
CostOfRevenue,,,,,,,,,,28463.000
DebtorReorganizationItemsGainLossOnSettlementOfOtherClaimsNet,,,,,,,,,-218297.000,
EarningsPerShareBasicAndDiluted,,,,,,,,,,-0.000
GainLossOnSaleOfDerivatives,,,39269.000,-192044.000,-210313.000,43844.000,,-27126.000,238609.000,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,105695.000,,
GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,,,,322492.000,,,,156896.000,,
GeneralAndAdministrativeExpense,6721.000,3638.000,807399.000,53158.000,401512.000,30941.000,-421703.000,1347205.000,1891720.000,340093.000
GrossProfit,,381.000,9476.000,2418.000,1995.000,5447.000,-12032.000,859.000,-877.000,-5874.000
IncomeLossFromContinuingOperations,-24526.000,-22890.000,-849036.000,-50740.000,-399517.000,-129195.000,-249911.000,-1346346.000,-1892597.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-24526.000,-22890.000,-912984.000,-394208.000,-716864.000,,,-1517655.000,-1877565.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,-79923.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000,-0.000,-0.000,-0.000,0.390,-0.030,-0.360,-0.030,-0.000,
IncomeTaxExpenseBenefit,,,,-28.000,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,6425.000,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,-1753.000,,-5330.000,,,,,,
IncreaseDecreaseInAssetsHeldForSale,,10512.000,,,,,,,,
IncreaseDecreaseInDerivativeLiabilities,,,,192044.000,,,,27126.000,,
IncreaseDecreaseInDueToRelatedParties,,,,130661.000,,,,-35500.000,,
IncreaseDecreaseInInterestPayableNet,,,,3535.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,-6719.000,,-2272.000,,,,,,
InterestExpense,,,-103217.000,-151424.000,-102934.000,-39147.000,-124735.000,-144183.000,-5280.000,46137.000
NetCashProvidedByUsedInFinancingActivities,,3938.000,,85781.000,,,,64731.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,3938.000,,85781.000,,,,64731.000,,
NetCashProvidedByUsedInOperatingActivities,,-4873.000,,-58370.000,,,,-62795.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-4873.000,,-58370.000,,,,-62795.000,,
NetIncomeLoss,,-22890.000,-912984.000,-394236.000,-716864.000,-124498.000,-125213.000,,,
OperatingExpenses,,23271.000,858512.000,53158.000,401512.000,134642.000,237879.000,1347205.000,1891720.000,340093.000
OperatingIncomeLoss,,,,,,,,,,-345967.000
OtherExpenses,,,-63948.000,-343468.000,-317347.000,,,-171309.000,15032.000,
OtherGeneralExpense,,,,,-4100.000,,,,,
OtherIncome,,,,,,4697.000,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,-316376.000
OtherOperatingIncomeExpenseNet,24526.000,9552.000,,,,,,,,
PaidInKindInterest,,,,,,,,60000.000,,
PartnersCapitalAccountContributions,,,,13000.000,,,,,,
ProceedsFromConvertibleDebt,,,,57500.000,,,,,,
ProceedsFromNotesPayable,,,,,,,,45000.000,,
ProceedsFromRelatedPartyDebt,,,,,,,,57083.000,,
ProfessionalFees,17805.000,15670.000,49730.000,,,103501.000,,,,
ProfitLoss,-24526.000,-22890.000,,-394236.000,,,,-1517655.000,,
RepaymentsOfDebt,,-9062.000,,-102380.000,,,,-37352.000,,
Revenues,,4173.000,30917.000,13440.000,11717.000,13454.000,-9128.000,4428.000,2256.000,22589.000
SalesRevenueNet,,4173.000,30917.000,13440.000,11717.000,8757.000,-9128.000,4428.000,2256.000,22589.000
StockIssuedDuringPeriodSharesIssuedForServices,,,,,,,,16056.000,,
WeightedAverageNumberOfSharesCommonStockSubjectToRepurchaseOrCancellation,,,,3000.000,,,,,,
WeightedAverageNumberOfSharesIssuedBasic,,100921429.000,693560891.000,886443321.000,1819399.000,4302213.000,-308380443.000,48362958.000,537235215.000,
