,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AccretionExpense,3772727.000,1299495.000,0.000,
AdditionsToNoncurrentAssets,,654135.000,,
AdjustmentsToAdditionalPaidInCapitalOther,,,7636.000,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,106219.000
AmortizationOfDebtDiscountPremium,186248.000,59611.000,65796.000,129635.000
AmortizationOfFinancingCosts,391485.000,137343.000,0.000,242498.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,10089315.000,8777494.000,20286861.000
AssetRetirementObligationAccretionExpense,-50078.000,,495.000,10913.000
AssetRetirementObligationLiabilitiesIncurred,,,,1266659.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,11737.000,-27755.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-198681.000,1473569.000,-1390658.000,112271.000
ComprehensiveIncomeNetOfTax,,-5730511.000,-2676629.000,-4629534.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-5795526.000,-2676629.000,-4629534.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,2999573.000,,,
CostsAndExpenses,87971998.000,2445410.000,,
CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves,,,0.000,9500000.000
CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,,518682.000,970336.000,118244.000
CostsIncurredDevelopmentCosts,,100065.000,768117.000,1256941.000
CostsIncurredExplorationCosts,,,0.000,
CurrentFederalTaxExpenseBenefit,,-163642.000,0.000,0.000
CurrentIncomeTaxExpenseBenefit,,-185868.000,64829.000,0.000
CurrentStateAndLocalTaxExpenseBenefit,,-22226.000,64829.000,0.000
DeferredFederalIncomeTaxExpenseBenefit,,165467.000,0.000,0.000
DeferredIncomeTaxExpenseBenefit,331718.000,165467.000,0.000,0.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,0.000,0.000
DepreciationDepletionAndAmortization,8830660.000,33205.000,99713.000,459981.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,-1470007.000,-31892.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,-8728028.000,-110537.000,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,-1383317.000,-175758.000,
Dividends,530354.000,643829.000,0.000,
DividendsStock,,487127.000,0.000,
EarningsPerShareBasic,0.610,-0.200,-0.100,-0.150
EarningsPerShareBasicUndistributed,,-0.220,-0.100,
EarningsPerShareDiluted,0.230,-0.200,-0.100,
EarningsPerShareDilutedUndistributed,,-0.200,-0.100,
ExplorationExpense,,,,112763.000
FairValueAssumptionsExpectedVolatilityRate,,,,1.292
FairValueAssumptionsRiskFreeInterestRate,,,,0.011
GainLossOnDispositionOfAssets,,-11653786.000,0.000,
GainLossOnSaleOfOilAndGasProperty,,2006922.000,276092.000,62262.000
GainLossOnSaleOfPropertyPlantEquipment,-71566.000,,,
GainLossRelatedToLitigationSettlement,-1069065.000,,,
GeneralInsuranceExpense,,173493.000,,
ImpairmentOfLongLivedAssetsHeldForUse,,,355865.000,453968.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,17311759.000,3678228.000,-2645129.000,-4629534.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,3657827.000,-2709958.000,-4629534.000
IncomeLossFromContinuingOperationsPerBasicShare,,0.140,-0.100,
IncomeLossFromContinuingOperationsPerDilutedShare,,0.140,-0.100,
IncomeLossFromDiscontinuedOperationsNetOfTax,,-8814718.000,33329.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,-0.340,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,-0.340,0.000,
IncomeTaxExpenseBenefit,559267.000,20401.000,64829.000,0.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,1258769.000,2205544.000,-1722208.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-1287380.000,-925795.000,1620337.000
IncomeTaxReconciliationOtherAdjustments,,32519.000,-1283175.000,0.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,-22226.000,64829.000,0.000
IncomeTaxesPaidNet,,189372.000,70000.000,22677.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,3822767.000,1652020.000,-145666.000,1182803.000
IncreaseDecreaseInAccountsPayableRelatedParties,,,,480000.000
IncreaseDecreaseInAccountsReceivable,3777570.000,-729599.000,-1913463.000,41137.000
IncreaseDecreaseInAccruedLiabilities,,,,308229.000
IncreaseDecreaseInCustomerDeposits,,-30496.000,-369.000,-206563.000
IncreaseDecreaseInDeferredRevenue,,,,61711.000
IncreaseDecreaseInInventories,259917.000,219055.000,0.000,59385.000
IncreaseDecreaseInOtherOperatingLiabilities,23381.000,73910.000,-223110.000,0.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1082700.000,-1405491.000,1775.000,9453.000
IncreaseDecreaseInRestrictedCash,,6250361.000,-1193650.000,311.000
IncreaseDueToPurchasesOfMineralsInPlace,,,,4848130.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,413732.000,0.000,
InterestExpense,5096015.000,324932.000,71685.000,557006.000
InterestPaid,,250455.000,6040.000,167920.000
InvestmentIncomeInterest,1229.000,13885.000,11029.000,1025.000
InvestmentIncomeInterestAndDividend,,13885.000,,
LaborAndRelatedExpense,,1804332.000,,
LeaseOperatingExpense,70096.000,104642.000,86740.000,770312.000
LoansAssumed1,,342500.000,0.000,
MarketableSecuritiesRealizedGainLoss,,,,0.000
MinorityInterestDecreaseFromRedemptions,,3000.000,,
NetCashProvidedByUsedInFinancingActivities,1919686.000,-6446889.000,-2403090.000,12602427.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1919686.000,-6446889.000,-2403090.000,12602427.000
NetCashProvidedByUsedInInvestingActivities,-4252401.000,3984119.000,1222534.000,-10590100.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-4252401.000,3984119.000,1222534.000,-10590100.000
NetCashProvidedByUsedInOperatingActivities,2134034.000,3936339.000,-210102.000,-1900056.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2134034.000,3936339.000,-210102.000,-1900056.000
NetIncomeLoss,16752492.000,-5091876.000,-2676629.000,
NetIncomeLossAttributableToNoncontrollingInterest,,-65015.000,0.000,
NetIncomeLossAvailableToCommonStockholdersBasic,16222138.000,-5735705.000,-2676629.000,-4629534.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,-5091876.000,-2676629.000,
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,,,0.000,
NonoperatingIncomeExpense,20022516.000,-308672.000,-88411.000,-220812.000
OilAndGasSalesRevenue,349707.000,182473.000,219160.000,662290.000
OperatingCostsAndExpenses,,2136738.000,3486876.000,5320577.000
OperatingIncomeLoss,-2710757.000,3986900.000,-2556718.000,-4408722.000
OperatingLeasesRentExpenseNet,,87973.000,85352.000,108447.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,5194.000,-10388.000,-5194.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,5194.000,0.000,0.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,,,-10388.000,-5194.000
OtherIncome,,4885.000,,
OtherNonoperatingIncomeExpense,-13037.000,4885.000,0.000,
OtherSalesRevenueNet,357863.000,,,
OtherSellingGeneralAndAdministrativeExpense,,83948.000,,
PaymentOfFinancingAndStockIssuanceCosts,50530.000,,,
PaymentsForRepurchaseOfCommonStock,,,343.000,0.000
PaymentsForRepurchaseOfRedeemableConvertiblePreferredStock,,,2039865.000,0.000
PaymentsToAcquireAvailableForSaleSecurities,,509050.000,8136.000,0.000
PaymentsToAcquireOilAndGasProperty,,,,9500000.000
PaymentsToAcquireOilAndGasPropertyAndEquipment,,618747.000,1738453.000,1066015.000
PaymentsToAcquireOtherPropertyPlantAndEquipment,5761498.000,317039.000,41295.000,221550.000
PreferredStockDividendsIncomeStatementImpact,530354.000,643829.000,0.000,
ProceedsFromConvertibleDebt,936000.000,,,1950000.000
ProceedsFromIssuanceOfConvertiblePreferredStock,420000.000,,,
ProceedsFromLongTermLinesOfCredit,85917747.000,29345714.000,0.000,
ProceedsFromNotesPayable,4087219.000,348341.000,273535.000,409682.000
ProceedsFromSaleOfAvailableForSaleSecurities,,,494625.000,0.000
ProceedsFromSaleOfPropertyPlantAndEquipment,1509097.000,28530.000,1322143.000,197776.000
ProceedsFromSecuredNotesPayable,,,,9650000.000
ProfitLoss,,-5156891.000,-2676629.000,-4629534.000
ProvisionForDoubtfulAccounts,212715.000,-42895.000,549818.000,0.000
RepaymentsOfLongTermLinesOfCredit,86436464.000,31112386.000,0.000,
RepaymentsOfNotesPayable,2966786.000,1820544.000,636417.000,408993.000
ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,,12058.000,27875.000,435158.000
ResultsOfOperationsExplorationExpense,,,0.000,112763.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,,65773.000,104545.000,-655943.000
ResultsOfOperationsIncomeTaxExpense,,22226.000,64829.000,0.000
ResultsOfOperationsOilAndGasProducingActivitiesNetIncomeExcludingCorporateOverheadAndInterestCosts,,43547.000,39716.000,-655943.000
ResultsOfOperationsProductionOrLiftingCosts,,104642.000,86740.000,770312.000
ResultsOfOperationsRevenueFromOilAndGasProducingActivities,,182473.000,219160.000,662290.000
RevenueOilAndGasServices,74273049.000,,,
Revenues,85261241.000,6128523.000,930158.000,911855.000
RevisionsOfPreviousQuantityEstimates,,,,-714781.000
SalesRevenueGoodsNet,10280622.000,,,
SalesRevenueNet,85261241.000,6123638.000,930158.000,911855.000
SalesRevenueServicesGross,,117433.000,,
SellingGeneralAndAdministrativeExpense,74931038.000,2733173.000,2944064.000,3389447.000
ShareBasedCompensation,742541.000,106948.000,68742.000,221765.000
StandardizedMeasureOfDiscountedFutureNetCashFlowOfProvedOilAndGasReservesPeriodIncreaseDecrease,,,400858.000,-24970.000
StockIssued1,,33000.000,0.000,
StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,,0.000,0.000,0.000
StockIssuedDuringPeriodSharesNewIssues,,45000.000,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,114999.000,33000.000,,
StockIssuedDuringPeriodValueOther,,,,1001738.000
StockIssuedDuringPeriodValueShareBasedCompensation,846541.000,,,
StockIssuedDuringPeriodValueStockDividend,,1130956.000,,
StockRepurchasedDuringPeriodShares,,,1450.000,1450.000
StockRepurchasedDuringPeriodValue,,,343.000,343.000
TreasuryStockAcquiredAverageCostPerShare,,,0.240,0.240
TreasuryStockValueAcquiredCostMethod,,2732342.000,343.000,
