,2013-12-31,2014-12-31,2015-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-1071000.000,-1278000.000,-2376000.000
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,18701000.000,26594000.000,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,2019000.000,9183000.000,6170000.000
AllocatedShareBasedCompensationExpense,19115000.000,26594000.000,28793000.000
AllocatedShareBasedCompensationExpenseNetOfTax,17580000.000,25906000.000,28175000.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,651000.000,0.000,227000.000
AmortizationOfDebtDiscountPremium,0.000,0.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1367000.000,3626000.000,4498000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,0.000,0.000,
CapitalizedComputerSoftwareAdditions,,,3900000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-42104000.000,-35199000.000,13604000.000
ComprehensiveIncomeNetOfTax,1787000.000,8095000.000,4595000.000
ConversionOfStockAmountConverted1,0.000,0.000,
CostOfGoodsAndServicesSold,88188000.000,103105000.000,120055000.000
CostOfGoodsSold,78344000.000,90651000.000,105314000.000
CostOfServices,9844000.000,12454000.000,14741000.000
CurrentFederalTaxExpenseBenefit,1880000.000,8224000.000,6994000.000
CurrentForeignTaxExpenseBenefit,1006000.000,1257000.000,1341000.000
CurrentIncomeTaxExpenseBenefit,3029000.000,10480000.000,8393000.000
CurrentStateAndLocalTaxExpenseBenefit,143000.000,999000.000,58000.000
DeferredFederalIncomeTaxExpenseBenefit,-3445000.000,-2936000.000,-4527000.000
DeferredForeignIncomeTaxExpenseBenefit,-311000.000,-345000.000,-221000.000
DeferredIncomeTaxExpenseBenefit,-4928000.000,-4540000.000,-5482000.000
DeferredIncomeTaxesAndTaxCredits,-2909000.000,4644000.000,1075000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-1172000.000,-1259000.000,-734000.000
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,1.000,1.000,1.000
DepreciationDepletionAndAmortization,6591000.000,9616000.000,11550000.000
DepreciationNonproduction,5300000.000,7300000.000,8600000.000
EarningsPerShareBasic,0.020,0.100,0.050
EarningsPerShareDiluted,0.020,0.090,0.050
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,1535000.000,688000.000,618000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,2019000.000,9183000.000,6170000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,2019000.000,9183000.000,6170000.000
FairValueAdjustmentOfWarrants,0.000,0.000,
GainLossOnDispositionOfAssets,-175000.000,,
GainLossOnSaleOfPropertyPlantEquipment,,0.000,-294000.000
GainLossRelatedToLitigationSettlement,,800000.000,1600000.000
GeneralAndAdministrativeExpense,33752000.000,33622000.000,41799000.000
GoodwillAcquiredDuringPeriod,914000.000,,
GoodwillImpairmentLoss,0.000,,
GoodwillPeriodIncreaseDecrease,,0.000,6445000.000
GrossProfit,174879000.000,223814000.000,253321000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-1015000.000,13107000.000,5900000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-110000.000,14130000.000,7601000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,905000.000,1023000.000,1701000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-110000.000,14130000.000,7601000.000
IncomeTaxExpenseBenefit,-1899000.000,5940000.000,2911000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.000,0.000,
IncomeTaxReconciliationChangeInEnactedTaxRate,0.000,0.000,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,324000.000,393000.000,407000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,-38000.000,4945000.000,2660000.000
IncomeTaxReconciliationNondeductibleExpenseOther,209000.000,246000.000,363000.000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,1535000.000,2209000.000,1498000.000
IncomeTaxReconciliationOtherAdjustments,-4000.000,200000.000,108000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,86000.000,602000.000,378000.000
IncomeTaxReconciliationTaxCredits,4020000.000,2502000.000,2246000.000
IncomeTaxesPaid,915000.000,740000.000,1612000.000
IncreaseDecreaseInAccountsPayable,2792000.000,4426000.000,5187000.000
IncreaseDecreaseInAccountsReceivable,4253000.000,15315000.000,10959000.000
IncreaseDecreaseInAccruedLiabilities,2715000.000,-731000.000,2556000.000
