,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableCurrent,460000000.000,592000000.000,496000000.000,498000000.000,408000000.000,458000000.000,451000000.000,464000000.000,515000000.000,577000000.000,428000000.000,440000000.000,611000000.000,518000000.000,478000000.000,458000000.000,420000000.000,557000000.000,648000000.000,511000000.000,493000000.000,709000000.000,736000000.000,828000000.000
AccrualForEnvironmentalLossContingencies,13000000.000,13000000.000,14000000.000,16000000.000,15000000.000,13000000.000,14000000.000,13000000.000,12000000.000,12000000.000,,11000000.000,,,,10000000.000,,,,8000000.000,,,,6000000.000
AccruedIncomeTaxesCurrent,80000000.000,58000000.000,83000000.000,82000000.000,87000000.000,72000000.000,52000000.000,67000000.000,89000000.000,86000000.000,58000000.000,72000000.000,87000000.000,103000000.000,104000000.000,91000000.000,125000000.000,108000000.000,82000000.000,78000000.000,88000000.000,80000000.000,73000000.000,86000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,5411000000.000,5582000000.000,5484000000.000,5674000000.000,5897000000.000,6005000000.000,6268000000.000,6352000000.000,6366000000.000,6359000000.000,6577000000.000,6627000000.000,6673000000.000,6963000000.000,6936000000.000,6904000000.000,6790000000.000,6969000000.000,6865000000.000,6925000000.000,7271000000.000,7296000000.000,7399000000.000,7347000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1803000000.000,1867000000.000,1274000000.000,1273000000.000,1440000000.000,1332000000.000,1593000000.000,1509000000.000,1340000000.000,1102000000.000,1266000000.000,1241000000.000,1008000000.000,1236000000.000,943000000.000,662000000.000,185000000.000,276000000.000,-62000000.000,-269000000.000,32000000.000,86000000.000,13000000.000,-146000000.000
AdditionalPaidInCapital,4740000000.000,4791000000.000,4793000000.000,4814000000.000,4822000000.000,4830000000.000,4844000000.000,5297000000.000,5298000000.000,5347000000.000,5314000000.000,4869000000.000,4880000000.000,4918000000.000,4939000000.000,4956000000.000,4963000000.000,4990000000.000,5024000000.000,5053000000.000,5431000000.000,5944000000.000,5977000000.000,5995000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,14000000.000,,,,13000000.000,,,,10000000.000,,,,11000000.000,,,,11000000.000,,,,10000000.000
AssetRetirementObligation,,,,173000000.000,,,,188000000.000,,,,350000000.000,,,,400000000.000,,,,418000000.000,,,,405000000.000
Assets,27151000000.000,27939000000.000,27215000000.000,28138000000.000,28359000000.000,28375000000.000,29582000000.000,30587000000.000,32538000000.000,32660000000.000,35353000000.000,33533000000.000,33384000000.000,33946000000.000,34001000000.000,34040000000.000,32920000000.000,33044000000.000,33259000000.000,32923000000.000,34091000000.000,35047000000.000,35937000000.000,36842000000.000
AssetsCurrent,1517000000.000,1942000000.000,1608000000.000,1764000000.000,1437000000.000,1395000000.000,1621000000.000,1663000000.000,1736000000.000,1727000000.000,1921000000.000,2081000000.000,2172000000.000,2205000000.000,2252000000.000,2332000000.000,2063000000.000,1737000000.000,1839000000.000,1648000000.000,1475000000.000,1637000000.000,1750000000.000,1772000000.000
AssetsFairValueDisclosure,,166000000.000,156000000.000,,,,,,,,,,,,,,,,,,,,,
AssetsFairValueDisclosureRecurring,,,,,,,,,,,,,,,,,,,,,,267000000.000,439000000.000,250000000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,,,,,,,225000000.000,,
AvailableForSaleSecurities,17000000.000,,,,,,,,,,,19000000.000,27000000.000,25000000.000,25000000.000,24000000.000,23000000.000,22000000.000,20000000.000,31000000.000,29000000.000,30000000.000,37000000.000,35000000.000
AvailableForSaleSecuritiesFairValueDisclosure,188000000.000,37000000.000,36000000.000,35000000.000,21000000.000,12000000.000,24000000.000,165000000.000,158000000.000,342000000.000,2020000000.000,,,,,,,,,,,,,
CapitalLeaseObligations,,,,,,,,,,,,,,,,24000000.000,,,,19000000.000,,,,14000000.000
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,,,,,,,,,,,,,0.000,,,,0.000
