,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfFinancingCosts,,,,,,,35000.000,35000.000,35000.000,-5000.000,35000.000,35000.000,35000.000,-5000.000,35000.000,35000.000,35000.000,-5000.000,35000.000,35000.000,35000.000,-5000.000,35000.000
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,,,,,,,,,35000.000
AssetRetirementObligationAccretionExpense,,,,,,,,,,,,,,,,,,,,,,,29000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,,,,,,,1087000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-430000.000,,,,1177000.000,,,,323000.000,,,,590000.000,,,,-636000.000,,,,788000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,-131000.000,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfOilAndGasProperty,-25000.000,,,,50000.000,,,,,,2585000.000,17000.000,-3000.000,0.000,,,,,,,,,
GeneralAndAdministrativeExpense,133000.000,41000.000,55000.000,63000.000,79000.000,129000.000,69000.000,80000.000,55000.000,67000.000,61000.000,57000.000,44000.000,41000.000,52000.000,34000.000,43000.000,17000.000,35000.000,37000.000,38000.000,40000.000,43000.000
IncreaseDecreaseInAccountsPayable,,,-71000.000,,,,6000.000,,,,20000.000,,,,-15000.000,,,,62000.000,,,,60000.000
IncreaseDecreaseInAccountsReceivable,,,2000.000,,,,-444000.000,,,,-330000.000,,,,-260000.000,,,,,,,,-50000.000
IncreaseDecreaseInAccruedLiabilities,,,5000.000,,,,,,,,1000.000,,,,,,,,-106000.000,,,,183000.000
IncreaseDecreaseInOperatingLiabilities,,,,,,,,,,,139000.000,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,-20000.000,,,,-29000.000,,,,-20000.000,,,,-18000.000,,,,,,,,-98000.000
InterestCostsCapitalized,,,,,,,,,,,,,,,11000.000,,,,300000.000,,,,
