,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,4332.000,6920.000,23851.000,24991.000,26127.000,,,,,235.000,,,,235.000,,
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,,,,19276.000,,,,,,,,,,,,,,,
AccountsPayableCurrent,,,,247736.000,336639.000,,,,425346.000,432538.000,400362.000,403828.000,467759.000,500677.000,543336.000,596495.000,673111.000,690488.000,777965.000
AccountsPayableInterestBearingInterestRate,,,,,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,,,,,,,
AccountsPayableInterestBearingNoncurrent,,,,,25695.000,,,,41356.000,30051.000,14461.000,14461.000,19949.000,12950.000,13050.000,13050.000,28150.000,29150.000,28150.000
AccountsPayableOther,491686.000,,,,,,,,,,,,,,,,,,
AccountsPayableOtherCurrent,,736935.000,725914.000,719284.000,571424.000,582144.000,520517.000,531642.000,524746.000,524202.000,526688.000,514430.000,518349.000,519204.000,514692.000,512725.000,510285.000,507164.000,510951.000
AccountsPayableRelatedPartiesCurrent,547971.000,111702.000,152095.000,247736.000,336639.000,339449.000,345905.000,365303.000,425346.000,432538.000,405362.000,403828.000,467759.000,500677.000,543336.000,596495.000,673111.000,690488.000,777965.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,39208.000,34215.000,339449.000,345905.000,365303.000,52048.000,40039.000,22861.000,27786.000,29771.000,23049.000,23438.000,23733.000,42541.000,48477.000,57164.000
AccountsReceivableNetCurrent,0.000,0.000,0.000,,,,,,,,,,,,,,,,
AccruedBonusesCurrent,,,,,984.000,,,,3048.000,,,,410.000,,,,1915.000,,
AccruedIncomeTaxesCurrent,,,,,,0.000,0.000,0.000,,,,,,,,,,,
AccruedInvestmentIncomeReceivable,,,,,743.000,,,,,,,,32324.000,,,,32324.000,,
AccruedLiabilitiesAndOtherLiabilities,,,,6356.000,9301.000,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,62934.000,104231.000,156731.000,259669.000,298463.000,352309.000,400000.000,453846.000,500000.000,553846.000,600000.000,653846.000,700000.000,753846.000,800000.000,800000.000,800000.000,800000.000,800000.000
