,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AmortizationOfFinancingCostsAndDiscounts,,,0.000,,,,0.000,,,,0.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-2956193.000,,,,-1545588.000,,,,5907147.000,,,,-821087.000,,
ComprehensiveIncomeNetOfTax,-8797506.000,-36185111.000,13992917.000,-5493412.000,-15299625.000,-4978630.000,-8933264.000,-2173373.000,1396180.000,,244322.000,-574520.000,-2731215.000,-3500676.000,-1077285.000,-989318.000,-755895.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-8797506.000,-36185111.000,13992917.000,-5493412.000,-15299625.000,-4978630.000,-8933264.000,-2173373.000,1396180.000,,244322.000,-574520.000,,,,,
CostsIncurredExplorationCosts,,,,,,,0.000,,,,-106735.000,,,,-3055.000,,
Depreciation,9047.000,13490.000,14220.000,11336.000,12572.000,14715.000,11930.000,13858.000,23655.000,,12150.000,12120.000,12487.000,10594.000,9486.000,9490.000,9371.000
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,,,0.000,,,,0.000,,,,0.000,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,72000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,
EarningsPerShareBasic,-0.050,-0.210,0.080,-0.030,-0.090,-0.030,-0.050,-0.010,0.010,,0.000,0.000,-0.020,-0.020,-0.010,-0.010,0.000
EarningsPerShareDiluted,-0.050,-0.210,0.080,-0.030,-0.090,-0.030,-0.050,-0.010,0.010,,0.000,0.000,-0.020,-0.020,-0.010,-0.010,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,29612.000,,,,-24010.000,,,,22265.000,,,,59223.000,,
ExplorationExpense,373027.000,1700656.000,277515.000,960175.000,3720565.000,826022.000,175098.000,359657.000,468191.000,,292428.000,369636.000,516405.000,635006.000,139000.000,90323.000,-23895.000
ForeignCurrencyTransactionGainLossBeforeTax,-20929.000,-12111.000,29612.000,-12814.000,46859.000,-61094.000,-24010.000,-11712.000,-52786.000,,-26479.000,-18779.000,-144126.000,-130903.000,54040.000,48.000,13233.000
GainLossOnSaleOfOtherAssets,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,
GainOrLossOnSaleOfStockInSubsidiary,,,,,-3507397.000,,0.000,0.000,0.000,,0.000,0.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,
GeneralAndAdministrativeExpense,512109.000,579223.000,398369.000,460568.000,392214.000,413894.000,374443.000,349125.000,280780.000,,310561.000,422742.000,315092.000,381255.000,294572.000,260593.000,190895.000
