,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,53426000.000,51279000.000,63674000.000,57139000.000,56139000.000,69854000.000,59246000.000,56666000.000,65829000.000,85206000.000,67849000.000,68956000.000,80764000.000,70579000.000,56802000.000,63578000.000,77099000.000,62610000.000,60140000.000,74077000.000
AccountsReceivableNetCurrent,91685000.000,90229000.000,103405000.000,90433000.000,99806000.000,102268000.000,101938000.000,89952000.000,100802000.000,107674000.000,101868000.000,103008000.000,110478000.000,106263000.000,91977000.000,99204000.000,103974000.000,103206000.000,99183000.000,113894000.000
AccruedIncomeTaxesCurrent,5558000.000,3693000.000,4919000.000,2644000.000,1573000.000,1638000.000,3603000.000,5332000.000,4917000.000,4926000.000,7643000.000,7531000.000,10285000.000,9100000.000,9049000.000,7716000.000,4695000.000,5166000.000,3264000.000,6256000.000
AccruedLiabilitiesCurrent,44318000.000,42993000.000,51007000.000,51795000.000,42466000.000,46981000.000,50844000.000,49638000.000,47811000.000,51038000.000,48398000.000,43875000.000,47742000.000,46044000.000,49957000.000,46643000.000,50785000.000,50441000.000,53588000.000,53125000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,139209000.000,,,,153137000.000,,,144375000.000,,,,138246000.000,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,-1698000.000,-1502000.000,-1380000.000,-1168000.000,-1058000.000,-919000.000,-792000.000,-651000.000,-402000.000,-496000.000,-436000.000,-658000.000,-323000.000,-766000.000,-641000.000,-467000.000,-110000.000,-2194000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,80031000.000,78694000.000,77133000.000,67857000.000,67332000.000,66524000.000,65851000.000,64968000.000,62771000.000,61574000.000,79248000.000,78229000.000,77249000.000,76391000.000,92698000.000,91558000.000,90342000.000,89517000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,10600000.000,10996000.000,7279000.000,3745000.000,8274000.000,8717000.000,7772000.000,9800000.000,-5733000.000,-17921000.000,-13333000.000,-19471000.000,-24252000.000,-19093000.000,-24636000.000,-25802000.000,-36242000.000,-31744000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-51216000.000,-47480000.000,-71129000.000,-69200000.000,-71234000.000,-65280000.000,-60116000.000,-58726000.000,-58871000.000,-55819000.000,-68906000.000,-79991000.000,-93017000.000,-98358000.000,-101824000.000,-96250000.000,-117975000.000,-117827000.000,-126694000.000,-123455000.000
AdditionalPaidInCapital,32805000.000,34119000.000,34665000.000,35546000.000,36474000.000,37199000.000,37732000.000,39001000.000,42247000.000,43388000.000,45126000.000,46311000.000,47254000.000,49151000.000,50085000.000,51063000.000,52374000.000,53563000.000,55096000.000,56178000.000
