,2011-11-30,2012-12-31,2013-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-9046.000,,
EarningsPerShareBasicAndDiluted,-0.010,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.275,0.275
GeneralAndAdministrativeExpense,1901.000,,
IncomeLossFromContinuingOperations,-103466.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-103466.000,,
IncomeTaxesPaid,0.000,,
IncreaseDecreaseInAccruedInterestReceivableNet,1343.000,,
InterestExpense,-1343.000,,
InterestPaid,0.000,,
NetCashProvidedByUsedInOperatingActivities,-9046.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-9046.000,,
NetIncomeLoss,-103466.000,,
OperatingExpenses,102123.000,,
OperatingIncomeLoss,-102123.000,,
ProfessionalFees,100222.000,,
ProfitLoss,-103466.000,,
Revenues,0.000,,
SalesRevenueNet,0.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,34260659.000,40151261.000
