,2011-06-29,2011-09-28
AccountsPayableCurrent,13123000.000,16212000.000
AccountsReceivableNetCurrent,5906000.000,6326000.000
AccruedLiabilitiesCurrent,22325000.000,24289000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,575000.000,20000.000
AdditionalPaidInCapitalCommonStock,149646000.000,149765000.000
Assets,147969000.000,153396000.000
AssetsCurrent,20915000.000,24738000.000
CapitalLeaseObligationsNoncurrent,3438000.000,3349000.000
CashAndCashEquivalentsAtCarryingValue,6450000.000,8730000.000
CommonStockParOrStatedValuePerShare,0.001,0.001
CommonStockSharesAuthorized,120000000.000,120000000.000
CommonStockSharesIssued,14870000.000,14890000.000
CommonStockSharesOutstanding,14870000.000,14890000.000
CommonStockValue,15000.000,15000.000
DeferredTaxLiabilitiesCurrent,603000.000,699000.000
DeferredTaxLiabilitiesNoncurrent,1688000.000,1621000.000
IncomeTaxesReceivable,113000.000,387000.000
InventoryNet,5788000.000,5438000.000
LeaseIncentiveReceivableCurrent,14000.000,8000.000
Liabilities,80716000.000,89087000.000
LiabilitiesAndStockholdersEquity,147969000.000,153396000.000
LiabilitiesCurrent,36051000.000,41200000.000
LongTermLineOfCredit,3000000.000,7000000.000
OtherAssetsNoncurrent,7277000.000,7094000.000
OtherLiabilitiesNoncurrent,36539000.000,35917000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001
PreferredStockSharesAuthorized,100000.000,100000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,2644000.000,3849000.000
PropertyPlantAndEquipmentNet,119777000.000,121564000.000
RetainedEarningsAccumulatedDeficit,-82983000.000,-85491000.000
StockholdersEquity,67253000.000,64309000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,67253000.000,64309000.000
