,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,,,,48000.000,,,,-26000.000
AllocatedShareBasedCompensationExpense,267000.000,424000.000,1231000.000,1813000.000,1407000.000,1846000.000,2335000.000,2246000.000,2326000.000,2376000.000,2247000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,13547580.000,,2308886.000,,,,3545825.000,,,,4398226.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,20000.000,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,0.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-15124000.000,,,,-58159000.000,,,,-17296000.000
ComprehensiveIncomeNetOfTax,,,,,,,-12274000.000,-14337000.000,-12466000.000,-14477000.000,-12643000.000
CostOfGoodsSold,18000.000,31000.000,79000.000,44000.000,298000.000,353000.000,22000.000,253000.000,72000.000,134000.000,37000.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,,72000.000,,,,0.000,,,,
DepreciationDepletionAndAmortization,,,52000.000,,,,76000.000,,,,79000.000
EarningsPerShareBasicAndDiluted,-16.570,-0.550,-0.560,-0.540,-0.370,-0.590,-0.610,-0.710,-0.600,-0.550,-0.500
FairValueAdjustmentOfWarrants,1439000.000,127000.000,0.000,0.000,0.000,0.000,,,,,
GeneralAndAdministrativeExpense,1850000.000,4082000.000,3802000.000,3778000.000,3506000.000,4048000.000,3914000.000,3948000.000,9554000.000,4443000.000,4135000.000
IncreaseDecreaseInAccountsPayable,,,-4480000.000,,,,-1309000.000,,,,-1245000.000
IncreaseDecreaseInAccountsReceivable,,,-392000.000,,,,-959000.000,,,,86000.000
IncreaseDecreaseInAccruedLiabilities,,,-2571000.000,,,,169000.000,,,,-772000.000
IncreaseDecreaseInInventories,,,2000.000,,,,692000.000,,,,-31000.000
IncreaseDecreaseInOtherDeferredLiability,,,-9000.000,,,,-96000.000,,,,
IncreaseDecreaseInOtherReceivables,,,,,,,,,,,-3010000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,,-635000.000
IncreaseDecreaseInPrepaidExpense,,,148000.000,,,,1240000.000,,,,
IncreaseDecreaseInRestrictedCashForOperatingActivities,,,,,,,,,,,6000000.000
IncreaseDecreaseInSecurityDeposits,,,,,,,,,,,-200000.000
LicensesRevenue,1000000.000,3500000.000,,0.000,3500000.000,,,,7000000.000,,
NetCashProvidedByUsedInFinancingActivities,,,-51000.000,,,,0.000,,,,286000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-51000.000,,,,0.000,,,,286000.000
NetCashProvidedByUsedInInvestingActivities,,,-132000.000,,,,-46019000.000,,,,-201000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-132000.000,,,,-46019000.000,,,,-201000.000
NetCashProvidedByUsedInOperatingActivities,,,-14941000.000,,,,-12140000.000,,,,-17381000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-14941000.000,,,,-12140000.000,,,,-17381000.000
NetIncomeLoss,,,-9406000.000,,,,-12294000.000,,,,-12620000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-6126000.000,-6682000.000,-9406000.000,-10517000.000,-7407000.000,-12115000.000,-12294000.000,-14347000.000,-12443000.000,-14446000.000,-12620000.000
OperatingExpenses,5751000.000,10101000.000,11344000.000,12305000.000,12067000.000,13279000.000,14506000.000,15587000.000,20799000.000,16582000.000,18210000.000
OperatingIncomeLoss,-4687000.000,-6557000.000,-9406000.000,-10525000.000,-7414000.000,-12140000.000,-12643000.000,-14454000.000,-12593000.000,-14524000.000,-12745000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,,,20000.000,10000.000,-23000.000,-31000.000,-23000.000
OtherNonoperatingIncomeExpense,0.000,2000.000,0.000,8000.000,7000.000,25000.000,349000.000,107000.000,150000.000,78000.000,125000.000
OtherSalesRevenueNet,0.000,,1849000.000,1761000.000,329000.000,,1856000.000,400000.000,780000.000,,5204000.000
PaymentsOfStockIssuanceCosts,,,128000.000,,,,0.000,,,,
PaymentsToAcquireAvailableForSaleSecurities,,,,,,,46000000.000,,,,8999000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,132000.000,,,,19000.000,,,,202000.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,,,,,,0.000,,,,286000.000
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,,,,,,,,,,,9000000.000
ProceedsFromStockOptionsExercised,,,77000.000,,,,,,,,
ResearchAndDevelopmentExpense,3883000.000,5988000.000,7463000.000,8483000.000,8263000.000,8878000.000,10570000.000,11386000.000,11173000.000,12005000.000,14038000.000
Revenues,1064000.000,3544000.000,1938000.000,1780000.000,4653000.000,1139000.000,1863000.000,1133000.000,8206000.000,2058000.000,5465000.000
SalesRevenueGoodsNet,64000.000,44000.000,89000.000,19000.000,824000.000,921000.000,7000.000,733000.000,426000.000,461000.000,261000.000
SalesRevenueNet,1064000.000,3544000.000,1938000.000,1780000.000,4653000.000,1139000.000,1863000.000,1133000.000,8206000.000,2058000.000,5465000.000
ShareBasedCompensation,,,1231000.000,,,,2335000.000,,,,2247000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,2600000.000,,,,0.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,,,,,,,,,,26666.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,,,,33752.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,,,,,,73559.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,528660.000,,,,630360.000,,,,722801.000
