,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,13309000.000,17105000.000,25229000.000,,27788000.000,29341000.000,44358000.000,26418000.000,24615000.000,27148000.000,33033000.000,25310000.000,25844000.000
AccountsReceivableNet,,137036.000,250758.000,1465102.000,2813000.000,5248000.000,8513000.000,14440000.000,17416000.000,21653000.000,26414000.000,34929000.000,39073000.000,42550000.000,45977000.000,54782000.000,50608000.000,53427000.000,58602000.000,65446000.000,67660000.000
AccruedLiabilitiesCurrentAndNoncurrent,34062.000,358141.000,751009.000,5042252.000,3678000.000,7224000.000,11707000.000,12675000.000,,,,25355000.000,,,,,,,,,
AccumulatedAmortizationDeferredFinanceCosts,,36703.000,225701.000,524331.000,1050000.000,1758000.000,2913000.000,3580000.000,4357000.000,5175000.000,5968000.000,6781000.000,7706000.000,8841000.000,10139000.000,,,,,,
AccumulatedDistributionsInExcessOfNetIncome,,,,,,,,,,,,,,,,,,,497400000.000,531567000.000,563377000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,-337000.000,-4966000.000,-2252000.000,-2923000.000,-5219000.000,-2265000.000,-4057000.000,-6732000.000,-5174000.000,-13298000.000,-5359000.000,-15502000.000,-18058000.000,-12126000.000,-1024000.000,1959000.000
AdditionalPaidInCapitalCommonStock,199800.000,40434546.000,136190623.000,264340952.000,395241000.000,592805000.000,1113223000.000,1850702000.000,2607451000.000,2607505000.000,2607478000.000,2607448000.000,2607426000.000,2607403000.000,2607386000.000,2607367000.000,2607368000.000,2607368000.000,2607302000.000,2607304000.000,2607306000.000
AllowanceForDoubtfulAccountsReceivable,,,,,17000.000,19000.000,27000.000,50000.000,77000.000,138000.000,191000.000,67000.000,121000.000,96000.000,201000.000,301000.000,216000.000,213000.000,211000.000,221000.000,206000.000
Assets,1174824.000,68103711.000,175735483.000,542200907.000,736130000.000,1278995000.000,1767647000.000,2551649000.000,3343212000.000,3332265000.000,3745900000.000,4039147000.000,4193513000.000,4379952000.000,4500264000.000,4582199000.000,4600147000.000,4608743000.000,4650324000.000,4624335000.000,4660639000.000
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,64282114.000,157042550.000,514701742.000,185439000.000,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationBuildings,,40871535.000,106858231.000,317553125.000,129273000.000,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationLand,,15643667.000,33775775.000,146872903.000,37405000.000,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,551000.000,553000.000,,1585000.000,5342000.000,5342000.000,,0.000,2880000.000,2880000.000,2880000.000,,0.000,332000.000,332000.000,
CashAndCashEquivalentsAtCarryingValue,198874.000,1894117.000,12022794.000,13895153.000,8962000.000,12223000.000,129332000.000,300574000.000,823667000.000,481341000.000,85492000.000,55287000.000,33083000.000,24934000.000,34594000.000,26316000.000,26076000.000,31287000.000,18483000.000,9754000.000,11441000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000,490000000.000
CommonStockSharesIssued,20000.000,4550606.000,15375050.000,29943549.000,44931757.000,67517618.000,126838762.000,211026672.000,297116547.000,299808958.000,302462883.000,304950000.000,307026500.000,309335874.000,310902853.000,312093211.000,312067172.000,311914402.000,311883192.000,311817004.000,311666010.000
CommonStockSharesOutstanding,20000.000,4550606.000,15375050.000,29943549.000,44931757.000,67517618.000,126838762.000,211026672.000,297116547.000,299808958.000,302462883.000,304950000.000,307026500.000,309335874.000,310902853.000,312093211.000,312067172.000,311914402.000,311883192.000,311817004.000,311666010.000
