,2011-07-31,2011-10-31,2012-01-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,44049.000,47654.000,40835.000,117068.000,128828.000,41912.000,262578.000,434704.000
AccountsPayableRelatedPartiesCurrent,,,,,,128590.000,466021.000,
AccountsReceivableNet,,,,13336.000,43748.000,59356.000,,7629.000
AdditionalPaidInCapital,42.000,42.000,42.000,-307500.000,-307500.000,-24000.000,-24000.000,40000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,0.000,7629.000
Assets,2.000,2.000,2.000,20955.000,48248.000,72084.000,29243.000,9117.000
AssetsCurrent,2.000,2.000,2.000,20955.000,48248.000,72084.000,29243.000,
BankOverdrafts,,,,,4563.000,,,
Cash,2.000,2.000,2.000,95.000,,12728.000,333.000,
CashAndCashEquivalentsAtCarryingValue,,,,,,,,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,90000000.000,90000000.000,90000000.000,500000000.000,500000000.000,90000000.000,90000000.000,90000000.000
CommonStockSharesIssued,7750000.000,7750000.000,7750000.000,307500000.000,307500000.000,61500000.000,61500000.000,61700000.000
CommonStockValue,7750.000,7750.000,7750.000,307500.000,307500.000,61500.000,61500.000,61700.000
ConvertibleDebtCurrent,,,,,,115788.000,117877.000,158500.000
CostsInExcessOfBillingsOnUncompletedContractsOrPrograms,,,,,,,28910.000,1488.000
DebtInstrumentUnamortizedDiscount,,,,,,,,71500.000
DeferredRevenue,,,,,,,,23704.000
DerivativeLiabilitiesCurrent,,,,,,,,84422.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-75190.000,-78795.000,-87779.000,,,,,
DueToRelatedPartiesCurrent,,,,,,,,320320.000
InterestPayableCurrent,,,,,,,237101.000,276278.000
Liabilities,67400.000,71005.000,79989.000,,,,1438276.000,1625266.000
LiabilitiesAndStockholdersEquity,2.000,2.000,2.000,20955.000,48248.000,72084.000,29243.000,9117.000
LiabilitiesCurrent,67400.000,71005.000,79989.000,575051.000,739095.000,850669.000,1438276.000,
LinesOfCreditCurrent,,,,,,,,34819.000
LoansPayableCurrent,23351.000,23351.000,39154.000,,,,,
NotesPayable,,,,206548.000,247597.000,243742.000,190759.000,190759.000
OtherAssetsCurrent,,,,7524.000,,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,,50000000.000,50000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
PreferredStockValue,,,0.000,,,,,
PrepaidExpenseCurrent,,,,,4500.000,,,
RetainedEarningsAccumulatedDeficit,,,,-554096.000,-690847.000,-816085.000,-1446533.000,-1717849.000
StockholdersEquity,-67398.000,-71003.000,-79987.000,-554096.000,-690847.000,-778585.000,-1409033.000,-1616149.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-67398.000,-71003.000,-79987.000,,,,-1409033.000,-1616149.000
TaxesPayableCurrent,,,,10597.000,12476.000,15732.000,,
