,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsPayableCurrent,10564.000,4007.000,15639.000,28835.000,35884.000
AccountsReceivableNetCurrent,,3242.000,5673.000,5645.000,3434.000
AccruedLiabilitiesCurrent,,,8370.000,4320.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,-10983.000,,,
AdditionalPaidInCapital,586640.000,390366.000,413178.000,478033.000,456063.000
Assets,462652.000,251706.000,246183.000,273853.000,211858.000
AssetsCurrent,32399.000,21989.000,17428.000,52757.000,7427.000
CapitalizedComputerSoftwareGross,,12227.000,,,
CapitalizedExploratoryWellCosts,,2400.000,,2400.000,2400.000
Cash,7605.000,15476.000,8952.000,11.000,814.000
CashAndCashEquivalentsAtCarryingValue,,15476.000,8952.000,11.000,814.000
CashUninsuredAmount,,0.000,0.000,0.000,0.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,29988000.000,29893000.000,30121334.000,30770557.000,30358000.000
CommonStockSharesOutstanding,29988000.000,29893000.000,30121334.000,30770557.000,30358000.000
CommonStockValue,2999.000,2989.000,3011.000,3077.000,3035.000
DebtInstrumentCarryingAmount,,-52415.000,-45863.000,39311.000,-32760.000
DeferredTaxAssetsGross,,86000.000,,,
DeferredTaxAssetsTaxDeferredExpense,,,2803.000,47101.000,3179.000
FiniteLivedIntangibleAssetAcquiredInPlaceLeases,,166650.000,,,
FiniteLivedIntangibleAssetsNet,,,,220133.000,203609.000
InterestPayable,603.000,,,,
InterestPayableCurrent,,404.000,596.000,1512.000,273.000
Liabilities,319573.000,256696.000,278667.000,296420.000,308406.000
LiabilitiesAndStockholdersEquity,462652.000,251706.000,246183.000,273853.000,211858.000
LiabilitiesCurrent,319573.000,256696.000,278667.000,296420.000,308406.000
NotesPayable,,252285.000,254062.000,261753.000,272249.000
NotesPayableCurrent,,304700.000,299925.000,301064.000,305009.000
NotesPayableRelatedPartiesClassifiedCurrent,,252285.000,254062.000,261753.000,272249.000
NotesPayableRelatedPartiesCurrent,308406.000,,,,
OperatingLossCarryforwards,,322000.000,,,
OtherIntangibleAssetsNet,428804.000,228473.000,227652.000,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000
PropertyPlantAndEquipmentNet,1449.000,1244.000,1103.000,963.000,822.000
RetainedEarningsAccumulatedDeficit,-446560.000,-398345.000,-448673.000,-503677.000,-555646.000
SharesIssued,143079.000,,,,
StockholdersEquity,143079.000,-4990.000,-32484.000,-22567.000,-96548.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,143079.000,-4990.000,-32484.000,-22567.000,-96548.000
TradeReceivablesHeldForSaleAmount,,3242.000,5673.000,,
TradeReceivablesHeldForSaleNet,,3242.000,5673.000,,
