,2013-04-30,2014-04-30,2015-12-31
AmortizationOfDebtDiscountPremium,,,6365.000
AmortizationOfIntangibleAssets,,,499425.000
CashAndCashEquivalentsPeriodIncreaseDecrease,166.000,-160.000,31672.000
CostOfRevenue,,,2332194.000
CostsAndExpenses,37912.000,51353.000,1821626.000
DebtConversionConvertedInstrumentAmount1,,,100000.000
DebtConversionConvertedInstrumentSharesIssued1,,30500000.000,1000000.000
DebtConversionOriginalDebtInterestRateOfDebt,0.040,0.040,
DeferredFederalIncomeTaxExpenseBenefit,,,-454300.000
DeferredOtherTaxExpenseBenefit,,,454300.000
DepreciationAndAmortization,108.000,159.000,501091.000
DepreciationDepletionAndAmortization,,,501091.000
DilutiveSecurities,,0.000,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,1130.000,2890.000,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,19630.000,30660.000,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,3250.000,6810.000,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts1,,-23850.000,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,2120.000,3920.000,
EarningsPerShareBasicAndDiluted,-0.000,0.000,-0.040
EffectiveIncomeTaxRateContinuingOperations,,,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,-0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,0.340
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,0.000
FeesAndCommissionsCreditAndDebitCards,,,500000.000
GeneralAndAdministrativeExpense,36624.000,50008.000,
GrossProfit,,,500659.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,23600.000,20900.000,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,-21200.000,-18900.000,
IncomeTaxReconciliationOtherAdjustments,100.000,200.000,
IncomeTaxReconciliationStateAndLocalIncomeTaxes,-2500.000,-2200.000,
IncreaseDecreaseInAccountsPayable,-48062.000,4441.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,176322.000
IncreaseDecreaseInAccountsReceivable,-123.000,123.000,86040.000
IncreaseDecreaseInAccruedLiabilities,36544.000,40677.000,
IncreaseDecreaseInDeferredRevenue,,,229520.000
IncreaseDecreaseInFutureIncomeTaxExpenseEstimatesOnFutureCashFlowsRelatedToProvedOilAndGasReserves,-2047.000,1083.000,
IncreaseDecreaseInOtherCurrentLiabilities,,,121038.000
IncreaseDecreaseInPrepaidExpense,,,-3000.000
InterestAndOtherIncome,,,65.000
InterestExpense,37494.000,40629.000,15201.000
InterestPaid,,,7158.000
