,2011-09-30,2012-03-31,2012-09-30,2013-06-30,2013-09-30,2014-06-30,2014-09-30
AdvertisingExpense,0.000,0.000,30700.000,,,,
AmortizationOfDeferredCharges,,-2500.000,,,,,
CapitalLeaseObligationsIncurred,,0.000,,,,,
CashPeriodIncreaseDecrease,,-129952.000,,,,,
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments,,,,-7738.000,,,
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,,,,,-66646.000,-177138.000,90844.000
DebtConversionConvertedInstrumentAmount1,,0.000,,,,,
DebtInstrumentConvertibleEffectiveInterestRate,,,0.436,,,,
Depreciation,6760.000,8804.000,6342.000,,,,
DepreciationAndAmortization,,31000.000,,,,,
DevelopmentCosts,112149.000,5782.000,,,,,
DividendsPreferredStock,-5049.000,5049.000,-5049.000,-5049.000,-5049.000,5049.000,5049.000
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.000
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,,,6297.000,,,,
EquipmentExpense,,0.000,,,,,
GainsLossesOnExtinguishmentOfDebt,25000.000,0.000,-750.000,,,,
GainsLossesOnRestructuringOfDebt,,0.000,,,,,
GeneralAndAdministrativeExpense,,,,65946.000,30647.000,168975.000,23098.000
IncomeTaxExpenseBenefit,0.000,0.000,,250.000,,800.000,
IncomeTaxesPaid,,0.000,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-50979.000,,,,,
IncreaseDecreaseInAccountsReceivable,,9783.000,,,,,
IncreaseDecreaseInDepositsOutstanding,,0.000,,,,,
IncreaseDecreaseInPrepaidExpense,,1435.000,,,,,
InterestAndOtherIncome,,0.000,,,,,
InterestExpense,-1783.000,17567.000,26753.000,,,,
InterestExpenseOther,,0.000,,14015.000,27755.000,18952.000,22821.000
InterestPaid,,17567.000,,,,,
InvestmentIncomeInterest,0.000,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,12500.000,,,,,
LeaseAndRentalExpense,4200.000,4200.000,1400.000,,,,
LegalFees,22696.000,182.000,545.000,,,,
MarketingExpense,4668.000,8907.000,2965.000,,,,
NetCashProvidedByUsedInFinancingActivities,,37540.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,37540.000,,,,,
NetCashProvidedByUsedInInvestingActivities,,0.000,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,0.000,,,,,
NetCashProvidedByUsedInOperatingActivities,,-167492.000,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-167492.000,,,,,
NetIncomeLoss,-300991.000,-209485.000,-240525.000,-172527.000,-173477.000,-454377.000,-4863.000
NetIncomeLossAvailableToCommonStockholdersBasic,-306040.000,-214537.000,-245574.000,-177576.000,-178523.000,-459426.000,-9912.000
NonoperatingIncomeExpense,23217.000,-58321.000,-13559.000,-14265.000,-27755.000,-19752.000,-22821.000
OperatingExpenses,333818.000,151164.000,227341.000,158262.000,145722.000,434625.000,-17958.000
OperatingIncomeLoss,-324208.000,-151164.000,-226966.000,-158262.000,-145722.000,-434625.000,17958.000
OriginationOfNotesReceivableFromRelatedParties,,0.000,,,,,
OtherCostAndExpenseOperating,87359.000,30598.000,108921.000,,,,
OtherDeferredCostAmortizationExpense,,,5864.000,,,,
PaymentsOfStockIssuanceCosts,,0.000,,,,,
PaymentsToAcquireIntangibleAssets,,0.000,,,,,
ProceedsFromContributedCapital,,0.000,,,,,
ProceedsFromInsuranceSettlementInvestingActivities,,0.000,,,,,
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,0.000,,,,,
ProceedsFromIssuanceOrSaleOfEquity,,5000.000,,,,,
ProceedsFromLoanOriginations1,,,10000.000,,,,
ProceedsFromRelatedPartyDebt,,0.000,,,,,
ProfessionalAndContractServicesExpense,0.000,0.000,,,,,
ProfessionalFees,16907.000,20360.000,12879.000,,,,
RepaymentsOfLongTermCapitalLeaseObligations,,0.000,,,,,
RepaymentsOfRelatedPartyDebt,,0.000,,,,,
ResearchAndDevelopmentExpense,0.000,0.000,6.000,,,,
Revenues,9610.000,0.000,375.000,,,,
SalariesAndWages,79081.000,72334.000,63583.000,100054.000,48429.000,88512.000,49788.000
SalesRevenueNet,9610.000,0.000,375.000,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,,,72500.000,72500.000,,
StockIssuedDuringPeriodValueIssuedForServices,,,,1204.000,1204.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,29401192.000,31623324.000,32389794.000,53611793.000,71050010.000
