,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsPayableCurrent,27536000.000,28877000.000,30281000.000,29191000.000,28938000.000,22999000.000,23202000.000
AccountsReceivableNetCurrent,73099000.000,55914000.000,71541000.000,73646000.000,61377000.000,73834000.000,54504000.000
AccruedIncomeTaxesCurrent,3217000.000,5456000.000,5297000.000,5331000.000,6853000.000,7082000.000,7917000.000
AccruedLiabilitiesCurrent,30033000.000,29665000.000,31958000.000,30470000.000,26713000.000,26340000.000,30954000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,193651000.000,197285000.000,202652000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,111000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,21513000.000,27082000.000,9283000.000,3096000.000,10332000.000,-896000.000,3536000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities,,,,,4700000.000,,
AdditionalPaidInCapital,144755000.000,143025000.000,122120000.000,121940000.000,123797000.000,121263000.000,118282000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1060000.000,4682000.000,2408000.000,1547000.000,1950000.000,2789000.000,9946000.000
Assets,926530000.000,955915000.000,941498000.000,948131000.000,956552000.000,940140000.000,923114000.000
AssetsCurrent,495605000.000,525626000.000,523470000.000,533440000.000,535367000.000,528454000.000,520745000.000
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,,,,,1700000.000,2900000.000,1800000.000
CashAndCashEquivalentsAtCarryingValue,49085000.000,44463000.000,31541000.000,50275000.000,40285000.000,35261000.000,96984000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,24893158.000,24852780.000,24163124.000,24175051.000,24280505.000,24179414.000,24047187.000
CommonStockSharesOutstanding,24893158.000,24852780.000,24163124.000,24175051.000,24280505.000,24179414.000,24047187.000
CommonStockValueOutstanding,250000.000,248000.000,242000.000,242000.000,243000.000,242000.000,240000.000
DebtInstrumentBasisSpreadOnVariableRate,,,,,,0.010,0.010
DebtInstrumentCarryingAmount,,,,,93100000.000,93100000.000,93100000.000
DebtInstrumentConvertibleCarryingAmountOfTheEquityComponent,,,,,16399000.000,16399000.000,16399000.000
DebtInstrumentInterestRateEffectivePercentage,,,,,0.075,0.075,0.075
DebtInstrumentUnamortizedDiscount,,,,,2836000.000,1859000.000,841000.000
DeferredTaxAssetsNetCurrent,6832000.000,6917000.000,8636000.000,5782000.000,4960000.000,5191000.000,4635000.000
DeferredTaxAssetsValuationAllowance,,,,,,,8300000.000
DeferredTaxLiabilitiesNoncurrent,11776000.000,11687000.000,11164000.000,23461000.000,23613000.000,23429000.000,23253000.000
DefinedBenefitPensionPlanLiabilitiesNoncurrent,23357000.000,24034000.000,22556000.000,24462000.000,24931000.000,24078000.000,24649000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,28023000.000,29103000.000,30312000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,7479000.000,5689000.000,4018000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,13209000.000,13427000.000,13275000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,10745000.000,10921000.000,9826000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,8412000.000,8213000.000,6865000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,6381000.000,6014000.000,5637000.000
FiniteLivedIntangibleAssetsGross,,,,,127646000.000,127239000.000,127354000.000
FiniteLivedIntangibleAssetsNet,105432000.000,103870000.000,102068000.000,100690000.000,99623000.000,98136000.000,97042000.000
Goodwill,50781000.000,51021000.000,51019000.000,42926000.000,43191000.000,42720000.000,42853000.000
GoodwillGross,,,,,54820000.000,54349000.000,54482000.000
GoodwillImpairedAccumulatedImpairmentLoss,,,,,11629000.000,11629000.000,11629000.000
IntangibleAssetsNetExcludingGoodwill,,,,,99623000.000,98136000.000,97042000.000
InventoryFinishedGoods,,,,,44336000.000,38875000.000,38908000.000
InventoryGross,,,,,135936000.000,130130000.000,129050000.000
InventoryNet,101509000.000,111241000.000,110473000.000,117273000.000,135936000.000,130130000.000,129050000.000
InventoryRawMaterialsAndSupplies,,,,,8994000.000,12829000.000,16193000.000
InventorySuppliesNetOfReserves,18831000.000,18314000.000,22486000.000,11792000.000,10406000.000,10833000.000,11380000.000
InventoryWorkInProcess,,,,,82606000.000,78426000.000,73949000.000
LettersOfCreditOutstandingAmount,,,,,,5700000.000,6400000.000
Liabilities,236885000.000,243302000.000,247186000.000,239433000.000,238607000.000,232738000.000,240929000.000
LiabilitiesAndStockholdersEquity,926530000.000,955915000.000,941498000.000,948131000.000,956552000.000,940140000.000,923114000.000
LiabilitiesCurrent,60786000.000,63998000.000,67536000.000,154286000.000,152768000.000,147662000.000,154332000.000
LineOfCreditFacilityInterestRateAtPeriodEnd,,,,,,0.012,0.012
LongTermDebt,,,,,90264000.000,91241000.000,92259000.000
LongTermDebtCurrent,,,,,-90264000.000,,
LongTermDebtFairValue,,,,,93500000.000,,
LongTermDebtNoncurrent,86489000.000,87394000.000,88341000.000,0.000,0.000,,
LongTermInvestments,20186000.000,16903000.000,15997000.000,15026000.000,21834000.000,21785000.000,21770000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,5959000.000,6260000.000,6566000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,2668000.000,2148000.000,1021000.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,0.000,18000.000,
