,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2013-03-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,1685572.000,1779093.000,2139618.000,,,,,,,
AccountsPayableCurrent,257300.000,945083.000,1020051.000,891889.000,,,,990596.000,607032.000,453329.000,482648.000,734158.000,1725772.000,975120.000
AccountsPayableCurrentAndNoncurrent,,,,,,,,2415701.000,5542017.000,6155825.000,5896197.000,6893281.000,,
AccountsReceivableGross,,,,,,,,,,35772544.000,36364280.000,36199455.000,48461904.000,
AccountsReceivableGrossCurrent,,,,,,,,,,,,,,7914459.000
AccountsReceivableNet,,,,,,,,,,15447391.000,14274286.000,16052271.000,18664783.000,32536774.000
AccountsReceivableNetCurrent,,,,,,,,3404998.000,8523170.000,10967648.000,10134743.000,12335330.000,7154771.000,11347242.000
AccountsReceivableNetNoncurrent,,,,,,,,1381142.000,3134858.000,4479743.000,4139543.000,3716941.000,11510012.000,24622315.000
AccruedExchangeFeeRebateCurrent,,,,,,,,,,,,,,64205.000
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,3095644.000,5866345.000
AccruedLiabilitiesCurrent,632261.000,965577.000,1267322.000,1451103.000,,,,2764769.000,714417.000,822162.000,,,1305735.000,
AccruedMarketingCostsCurrent,,,,,,,,,5542017.000,6155825.000,5896197.000,6893281.000,7459601.000,13206440.000
AccruedSalesCommissionCurrent,,,,,,,,,,,,,,322810.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,83967.000,101665.000,119362.000,136760.000,129497.000,142240.000,157916.000,203054.000,41497.000,46293.000,52940.000,62335.000,74764.000,98043.000
AdditionalPaidInCapital,8997518.000,9114465.000,10213363.000,11510240.000,13296829.000,15708596.000,16162323.000,44308808.000,49485468.000,52668036.000,54239832.000,54258591.000,54059350.000,54060109.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,6394089.000,14627928.000,20325153.000,22089994.000,20147184.000,29797121.000,
Assets,728678.000,720507.000,655124.000,709043.000,53206.000,33791.000,12892.000,5977814.000,12575532.000,16483339.000,16704023.000,18940477.000,26004489.000,37948998.000
AssetsCurrent,531667.000,526284.000,478598.000,549915.000,13567.000,6895.000,1672.000,4305241.000,9145008.000,11691818.000,11574447.000,14547434.000,13728292.000,12666792.000
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,,0.630,0.630,0.630,0.630,0.630,0.630,0.630
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,,,,,,,,490196.000,,,490196.000,490196.000,490196.000,490196.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,,,,485012.000,,,485012.000,485012.000,485012.000,485012.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,,,,,,,,362582.000,,,362582.000,362582.000,362582.000,362582.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,,,,,,,,2675974.000,,,2675974.000,2675974.000,2675974.000,2675974.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,,,,-2185778.000,,,-2185778.000,-2185778.000,-2185778.000,-2185778.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,,,5184.000,,,5184.000,5184.000,5184.000,5184.000
BusinessCombinationStepAcquisitionEquityInterestInAcquireePercentage,,,,,,,,0.400,0.400,0.400,0.400,0.400,0.400,0.400
CapitalizedComputerSoftwareGross,,,,,,,,24726.000,26854.000,31473.000,31473.000,36396.000,51599.000,100292.000
CashAndCashEquivalentsAtCarryingValue,23805.000,38256.000,19062.000,118386.000,11967.000,4095.000,1272.000,819996.000,518550.000,593251.000,1222084.000,1896910.000,4839476.000,654252.000
CashEquivalentsAtCarryingValue,,,,,,,0.000,,,,,,,
CashFDICInsuredAmount,,,,,,,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,4000000.000,,,,,,,,,,
CommonStockNoParValue,0.000,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,,0.000,0.000,,,,,,,,,,,
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,350000000.000,110000000.000,1100000000.000,1400000000.000,1400000000.000,1400000000.000,1400000000.000,1400000000.000,1400000000.000,1400000000.000
CommonStockSharesIssued,45607273.000,46201182.000,53782091.000,84392940.000,87550803.000,87567678.000,133876342.000,288744688.000,327454384.000,376308158.000,451889263.000,592782157.000,,
CommonStockSharesOutstanding,45607273.000,46201182.000,53782091.000,84392940.000,87550803.000,87567678.000,133876342.000,288744688.000,327454384.000,376308158.000,451889263.000,592782157.000,625079157.000,633924157.000
ConvertibleDebt,,,,,,,,119594.000,,,,,,
ConvertibleDebtCurrent,,,,,734807.000,664076.000,587014.000,,,,,,,
ConvertibleDebtNoncurrent,,342997.000,412487.000,432535.000,,,,,,,,,,
ConvertibleNotesPayable,,,,,,,,397000.000,,,,,,
DebtCurrent,,,16770.000,35050.000,,,,,,,,,,
DebtInstrumentAnnualPrincipalPayment,,,,,,,,,,,110500.000,,,
DebtInstrumentCarryingAmount,,,,,,,,6330856.000,5805749.000,3333051.000,4102314.000,3887800.000,3609281.000,3573971.000
DebtInstrumentConvertibleConversionPrice1,,,,,,,,,,,2.000,,,
DebtInstrumentFaceAmount,,,,467585.000,734807.000,664076.000,,,,2820575.000,,,,
