,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsAndNotesReceivableNet,,,,,,,,,66000.000,66000.000,66000.000,66000.000,66000.000,66000.000,66000.000
AccountsPayableAndAccruedLiabilities,8016.000,8342.000,3750.000,3055.000,14020.000,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,29239.000,31016.000,1935107.000,12710.000,12365.000,14774.000,57918.000,70576.000,61720.000,57783.000
AccountsPayableCurrent,,,,,,37513.000,,,,,,,,,
AccountsReceivableNet,,,,,,,,,181.000,334.000,485.000,627.000,838.000,999.000,1243.000
AccruedPayrollTaxesCurrent,,,,,,1270411.000,1270411.000,,,,,,,,
AccruedSalariesCurrent,,,,,,287959.000,445493.000,3100.000,,,,,,,
AdditionalPaidInCapital,4872.000,4872.000,4872.000,4872.000,-5157960.000,-293911.000,-293911.000,-293909.000,2001380.000,2001380.000,2001380.000,2001380.000,2001380.000,2001380.000,2001380.000
Assets,,,,,,,7716.000,3248.000,71651.000,849806.000,904982.000,850907.000,816600.000,72948.000,76836.000
AssetsCurrent,470.000,191.000,2285.000,,35000.000,15031.000,7716.000,3248.000,5651.000,334.000,75627.000,41669.000,27042.000,6948.000,10836.000
AssetsDesignatedToClosedBlockFixedMaturityAvailableForSaleAtFairValue,,,,,,1213.000,,,,,,,,,
Capital,,,13402.000,14992.000,29249.000,,,,,,,,,,
Cash,1.000,191.000,2285.000,,1520.000,13818.000,7716.000,3248.000,5470.000,,75142.000,41042.000,26204.000,4799.000,8443.000
CashAndCashEquivalentsAtCarryingValue,1.000,191.000,2285.000,,1520.000,13818.000,7716.000,3248.000,5470.000,,75142.000,41042.000,26204.000,4799.000,8443.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,75000000.000,75000000.000,75000000.000,75000000.000,5200000000.000,5200000000.000,5200000000.000,5200000000.000,5200000000.000,5200000000.000,5200000000.000,5200000000.000,5200000000.000,5200000000.000,5200000000.000
CommonStockSharesIssued,5168000.000,5168000.000,5168000.000,5168000.000,5168000000.000,368000008.000,368000008.000,368000008.000,172000000.000,172000000.000,172000000.000,172000000.000,172000000.000,172000000.000,172000000.000
CommonStockSharesOutstanding,5168000.000,5168000.000,5168000.000,5168000.000,5168000000.000,168000000.000,168000000.000,368000008.000,172000000.000,172000000.000,172000000.000,172000000.000,172000000.000,172000000.000,172000000.000
CommonStockValue,5168.000,5168.000,5168.000,5168.000,5168000.000,368000.000,368000.000,368000.000,172000.000,172000.000,172000.000,172000.000,172000.000,172000.000,172000.000
ConvertibleDebtFairValueDisclosures,,,,,,,,,,818256.000,,677773.000,908938.000,,216.000
ConvertibleNotesPayableCurrent,,,,,,,,,,618256.000,647331.000,477773.000,508938.000,,
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,,0.100,66.770,,,0.100
DebtInstrumentUnamortizedDiscount,,,,,,,,,,381744.000,352669.000,322227.000,291062.000,,
DeferredOfferingCosts,,,,,,,,2000.000,,,,,,,
DeferredTaxAssetsNet,,,,,,,,-716756.000,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-14043.000,-20328.000,-23442.000,-25032.000,-39289.000,-1739049.000,1907538.000,2108105.000,2194528.000,2249689.000,2310997.000,2394374.000,,,
DueToRelatedPartiesCurrent,,,,,,,77515.000,,,,,,,,
DueToRelatedPartiesNoncurrent,,,,,,,,82325.000,44284.000,44284.000,44284.000,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,,,,,54885.000,74564.000,78063.000,78063.000
FiniteLivedIntangibleAssetsNet,,,,,,,,,,,,743238.000,723558.000,743238.000,743238.000
IndefiniteLivedFranchiseRights,,,,,,,,,,14651.000,34768.000,,743238000000.000,,
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,783472.000,763355.000,743238.000,723558.000,,
Liabilities,,,,,,1708261.000,1869435.000,2065532.000,112799.000,946115.000,1062599.000,1091901.000,1135724.000,217930.000,239007.000
LiabilitiesAndStockholdersEquity,470.000,191.000,2285.000,,35000.000,15031.000,7716.000,3248.000,71651.000,849806.000,904982.000,850907.000,816600.000,72948.000,76836.000
LiabilitiesCurrent,9513.000,10479.000,15687.000,14992.000,64249.000,437850.000,599024.000,2065532.000,,327859.000,415268.000,614128.000,626786.000,217930.000,239007.000
LiabilitiesNoncurrent,,,,,,,1270411.000,,,,,,,,
LoansAndLeasesReceivableRelatedParties,,,,,,75652.000,,,,,,,,,
LoansPayable,,,,,,45000.000,45000.000,45000.000,55805.000,271210.000,356210.000,556210.000,556210.000,156210.000,181224.000
LongTermNotesPayable,,,,,,,,,55805.000,71210.000,75000.000,,81210.000,81210.000,81210.000
NotesPayable,,,,,,,,,,,,,,798123.000,798123.000
NotesPayableRelatedPartiesClassifiedCurrent,,,,,,,,,44284.000,44284.000,44284.000,,,,
NotesReceivableNet,,,,,,,20000.000,,,,,,,,
OperatingLossCarryforwards,,,,,,,,716756.000,107148.000,327525.000,339641.000,2314725.000,,,
OperatingLossCarryforwardsValuationAllowance,,,,,,,,269076.000,,,,-787006.000,,,
OtherAssets,,,,,,1213.000,,,,,,,,,
OtherNotesPayable,,,,,,,,66000.000,,1200000.000,,,,,
PrepaidExpense,469.000,,,,,,,,,,,,,,
PrepaidExpenseCurrent,,,,,,,,,,,,,,1150.000,1150.000
ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,,,,,33480.000,,,,,,,,,,
ReceivableWithImputedInterestNetAmount,,,,,,,,,,,,,838.000,999.000,1243.000
RelatedPartyTransactionDueFromToRelatedParty,1497.000,2137.000,11937.000,11937.000,50229.000,75652.000,,,,,,,,,
RetainedEarningsAccumulatedDeficit,,,23442.000,25032.000,39289.000,,,,2194528.000,2249689.000,2310997.000,2394374.000,-2472504.000,-2298362.000,-2315551.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,,,,,50000.000,50000.000,,50000.000,,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedWeightedAverageGrantDateFairValue,,,,,,,,0.001,,,,,,,
SharesIssuedPricePerShare,,,,,,,0.025,,,,,,,,
StockholdersEquity,-9043.000,-10288.000,-13402.000,-14992.000,-29249.000,-1693230.000,-1861719.000,-2062284.000,-41148.000,-96309.000,-157617.000,-240994.000,-319124.000,-144982.000,-162171.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,-1693230.000,-1861719.000,-2062284.000,-41148.000,-96309.000,-157617.000,-240994.000,-319124.000,-144982.000,-162171.000
StockholdersEquityNoteSubscriptionsReceivable,-5040.000,,,,,-28270.000,28270.000,28270.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000,20000.000
TaxCreditCarryforwardAmount,,,,,,,,,,,,787006.000,,,
