,2011-10-31,2012-01-31,2012-04-30,2012-10-31,2013-01-31
AccountsPayableAndAccruedLiabilitiesCurrent,173410.000,94165.000,75250.000,86945.000,79250.000
AdditionalPaidInCapital,4838000.000,4990500.000,5795670.000,7630027.000,7960649.000
Assets,4811928.000,4659337.000,5865.000,121095.000,23649.000
AssetsCurrent,11928.000,9337.000,5865.000,121095.000,23649.000
CashAndCashEquivalentsAtCarryingValue,11928.000,9337.000,5865.000,113360.000,18336.000
ClassOfWarrantOrRightOutstanding,,,,233200.000,233200.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,47000000.000,47500000.000,48830000.000,54192360.000,55527641.000
CommonStockSharesOutstanding,47000000.000,47500000.000,48830000.000,54192360.000,55527641.000
CommonStockSharesSubscriptions,,,,357440.000,
CommonStockValue,47000.000,47500.000,48830.000,54192.000,55527.000
DebtInstrumentUnamortizedDiscount,,,31967.000,0.000,0.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,-765874.000,6179946.000,,
DueToRelatedPartiesCurrent,25100.000,36600.000,41264.000,8175.000,3925.000
Liabilities,363926.000,297211.000,280311.000,95120.000,83175.000
LiabilitiesAndStockholdersEquity,4811928.000,4659337.000,5865.000,121095.000,23649.000
LiabilitiesCurrent,,,280311.000,95120.000,83175.000
MineralPropertiesNet,4800000.000,4650000.000,,0.000,0.000
NotesPayableCurrent,165416.000,66446.000,,,
NotesPayableRelatedPartiesClassifiedCurrent,,100000.000,163797.000,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,,
PrepaidExpenseCurrent,,,,7735.000,5313.000
RetainedEarningsAccumulatedDeficit,-436998.000,,,-8015684.000,-8075702.000
StockholdersEquity,4448002.000,4362126.000,-274446.000,25975.000,-59526.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,4448002.000,4362126.000,-274446.000,25975.000,-59526.000
