,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,13880.000,,,,-6210.000,,,,-646.000,,
CostOfGoodsAndServicesSold,6900.000,23250.000,,,,,,,,,
CostOfGoodsSold,,,13312.000,,8363.000,7775.000,5693.000,8473.000,11269.000,3648.000,6349.000
CurrentIncomeTaxExpenseBenefit,2293.000,-202.000,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,1478.000,,
Depreciation,,,,,399.000,,,,399.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,2293.000,,,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000
EffectiveIncomeTaxRateContinuingOperations,0.150,,,,0.150,,,,0.150,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.150,,,,0.150,,,,0.150,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.000,,,,0.000,,,,0.000,,
FairValueInputsLongTermNetOfTaxOperatingIncomeMarginPercent,-0.000,,,,0.000,,,,0.000,,
GrossProfit,15510.000,7901.000,22188.000,-15211.000,12611.000,629.000,1176.000,1821.000,1354.000,3912.000,1661.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,10199.000,-1350.000,-18705.000,-14525.000,-6609.000,-2478.000,-424.000,64.000,-2522.000,-450.000,341.000
IncomeTaxExpenseBenefit,,,-3569.000,,,,,,,,
IncomeTaxExpenseBenefitContinuingOperationsDiscontinuedOperationsExtraordinaryItems,10199.000,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,3500.000,,,,,,,,,,
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,2293.000,,,,,,,,,,
LeaseAndRentalExpense,3000.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,182.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,182.000,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,13699.000,,,,-6210.000,,,,-646.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,13699.000,,,,-6210.000,,,,-646.000,,
NetIncomeLoss,7905.000,-1148.000,-15136.000,-14523.000,-6609.000,-2478.000,-424.000,64.000,-2522.000,-450.000,341.000
OperatingIncomeLoss,10199.000,-1350.000,-18705.000,-14525.000,-6609.000,-2478.000,-424.000,64.000,-2522.000,-450.000,341.000
ProceedsFromRelatedPartyDebt,182.000,,,,,,,,,,
Revenues,22410.000,31151.000,35500.000,30015.000,20974.000,8403.000,6869.000,10295.000,12623.000,7560.000,8010.000
SalesRevenueNet,22410.000,31151.000,35500.000,30015.000,20974.000,8403.000,6869.000,10295.000,12623.000,7560.000,8010.000
SellingGeneralAndAdministrativeExpense,5311.000,9250.000,40893.000,-685.000,19220.000,3107.000,1600.000,1757.000,3877.000,4362.000,1320.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,5000000.000,,5000000.000,5000000.000,5000000.000,-10000000.000,5000000.000,5000000.000,5000000.000
WeightedAverageNumberOfSharesOutstandingBasic,4000000.000,4032609.000,,,,,,,,,
