,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-1091.000,,,
EarningsPerShareBasicAndDiluted,-0.010,0.000,0.000,0.000,0.000,0.000
ForeignCurrencyTransactionGainLossBeforeTax,1336.000,-398.000,,,,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,,,
IncomeTaxesPaid,,,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-3420.000,,-2000.000,
IncreaseDecreaseInCustomerAdvances,,,-14184.000,,-14184.000,
IncreaseDecreaseInPrepaidExpense,,,0.000,,,
InterestPaid,,,0.000,,,
MarketingExpense,0.000,0.000,0.000,,,
NetCashProvidedByUsedInFinancingActivities,,,8500.000,,7530.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,8500.000,,7530.000,
NetCashProvidedByUsedInInvestingActivities,,,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,0.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-9591.000,,-7530.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-9591.000,,-7530.000,
NetIncomeLoss,-88085.000,-15062.000,8013.000,6594.000,8654.000,-6635.000
NonoperatingIncomeExpense,,,3.000,,,
OperatingIncomeLoss,-89421.000,-14664.000,8010.000,6594.000,8654.000,-6635.000
OtherGeneralAndAdministrativeExpense,377.000,176.000,94.000,90.000,30.000,
ProceedsFromContributedCapital,,,0.000,,,
ProceedsFromIssuanceOfCommonStock,,,0.000,,,
ProfessionalFees,26744.000,3100.000,6000.000,5500.000,3500.000,9000.000
Revenues,11820.000,14184.000,14184.000,14184.000,14184.000,2365.000
SalesRevenueNet,11820.000,14184.000,14184.000,14184.000,14184.000,2365.000
SellingGeneralAndAdministrativeExpense,101241.000,28849.000,6174.000,7590.000,5530.000,9000.000
TravelAndEntertainmentExpense,22206.000,1689.000,0.000,,,
