,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableCurrent,65358000.000,52588000.000,51301000.000,48905000.000,52072000.000,47584000.000,56824000.000,62292000.000,68625000.000,68985000.000,63442000.000,57087000.000,65686000.000
AccountsReceivableGrossCurrent,,,,4511437000.000,4691710000.000,,5201221000.000,5543456000.000,5818544000.000,,6420259000.000,6554996000.000,6689862000.000
AccountsReceivableNetCurrent,,,,878841000.000,913385000.000,,1098540000.000,1084899000.000,1133340000.000,,1296034000.000,1325355000.000,1340820000.000
AccruedBonusesCurrent,,,,25067000.000,33297000.000,32324000.000,24112000.000,26551000.000,31742000.000,33090000.000,32066000.000,30884000.000,36053000.000
AccruedEmployeeBenefitsCurrent,,,,183092000.000,186983000.000,190220000.000,252034000.000,237331000.000,248104000.000,247991000.000,316877000.000,310322000.000,289045000.000
AccruedLiabilitiesCurrent,352604000.000,350936000.000,371570000.000,377853000.000,413685000.000,412657000.000,477936000.000,492181000.000,498243000.000,612445000.000,696098000.000,672722000.000,666794000.000
AccruedProfessionalFeesCurrentAndNoncurrent,,,,2571000.000,3057000.000,3823000.000,3191000.000,2555000.000,1304000.000,3744000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,147201000.000,,,,206702000.000,,,,281563000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-837000.000,-839000.000,-1125000.000,-1227000.000,-1611000.000,-1856000.000,-1719000.000,-1189000.000,-1915000.000,-1649000.000,-3114000.000,-1147000.000,-560000.000
AdditionalPaidInCapitalCommonStock,1580519000.000,1576764000.000,1577521000.000,1579748000.000,1609244000.000,1616747000.000,1632584000.000,1653578000.000,1667325000.000,1677578000.000,1681680000.000,1686302000.000,1690833000.000
Assets,4649950000.000,4300017000.000,4314530000.000,4459377000.000,4594494000.000,4703753000.000,5146919000.000,5240918000.000,5296940000.000,6388191000.000,6468738000.000,6614408000.000,6655808000.000
AssetsCurrent,1409100000.000,1082283000.000,1101775000.000,1126691000.000,1264415000.000,1363239000.000,1289893000.000,1372882000.000,1373617000.000,1598427000.000,1702512000.000,1719149000.000,1703885000.000
AvailableForSaleSecurities,,,7531000.000,6130000.000,24998000.000,30243000.000,31632000.000,24647000.000,24276000.000,23192000.000,21791000.000,28829000.000,47340000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,13000.000,98000.000,125000.000,140000.000,63000.000,43000.000,163000.000,347000.000,768000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,627000.000,261000.000,470000.000,456000.000,968000.000,898000.000,846000.000,722000.000,746000.000
AvailableForSaleSecuritiesAmortizedCost,,,7488000.000,6069000.000,25612000.000,30406000.000,31977000.000,24963000.000,25181000.000,24047000.000,22474000.000,29204000.000,47318000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,627000.000,261000.000,470000.000,456000.000,968000.000,898000.000,846000.000,722000.000,746000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,2090000.000,1909000.000,23372000.000,12853000.000,16546000.000,9370000.000,13766000.000,16449000.000,9982000.000,10302000.000,18440000.000
BankOverdrafts,,5000000.000,,,,0.000,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,150000000.000,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueHigh,,7700000.000,,,,2000000.000,,,,2100000.000,,,
CapitalLeaseObligations,,369000.000,,,,1486000.000,,,,3089000.000,,,
CapitalLeaseObligationsCurrent,,76000.000,,,,-433000.000,,,,1126000.000,,,
CapitalLeaseObligationsNoncurrent,,293000.000,,,,1053000.000,,,,1963000.000,,,
CapitalLeasesFutureMinimumPaymentsDue,,444000.000,,,,1646000.000,,,,3707000.000,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,106000.000,,,,519000.000,,,,1307000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,20000.000,,,,,,,,243000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,106000.000,,,,19000.000,,,,243000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,106000.000,,,,589000.000,,,,338000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,106000.000,,,,519000.000,,,,1009000.000,,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,,,567000.000,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,75000.000,,,,160000.000,,,,618000.000,,,
CashAndCashEquivalentsAtCarryingValue,575761000.000,204712000.000,190996000.000,162603000.000,247170000.000,318895000.000,92875000.000,172605000.000,129890000.000,141677000.000,191657000.000,212745000.000,190033000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,-0.010,0.010,,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000
CommonStockSharesIssued,180382885.000,180382885.000,181131273.000,181205468.000,183381792.000,183679113.000,184586249.000,185695421.000,186337930.000,186924004.000,187121179.000,187169947.000,187240923.000
CommonStockSharesOutstanding,180382885.000,180382885.000,181131273.000,181205468.000,183381792.000,183679113.000,184586249.000,185695421.000,186337930.000,186924004.000,187121179.000,187169947.000,187240923.000
CommonStockValue,1804000.000,1804000.000,1804000.000,1812000.000,1834000.000,1837000.000,1846000.000,1857000.000,1863000.000,1869000.000,1871000.000,1872000.000,1872000.000
CompensatedAbsencesLiability,,,,29732000.000,30115000.000,27156000.000,30542000.000,31798000.000,36375000.000,37669000.000,,,
ContractualObligation,,257097000.000,,,,237339000.000,,,,364244000.000,,,
ContractualObligationDueAfterFifthYear,,41867000.000,,,,40716000.000,,,,62244000.000,,,
ContractualObligationDueInFifthYear,,25247000.000,,,,21155000.000,,,,28068000.000,,,
ContractualObligationDueInFourthYear,,33140000.000,,,,31510000.000,,,,46691000.000,,,
ContractualObligationDueInNextTwelveMonths,,73954000.000,,,,63676000.000,,,,101576000.000,,,
ContractualObligationDueInSecondYear,,44566000.000,,,,41897000.000,,,,68007000.000,,,
ContractualObligationDueInThirdYear,,38323000.000,,,,38385000.000,,,,57658000.000,,,
DebtAndCapitalLeaseObligations,,,,2044653000.000,2041330000.000,2038226000.000,2270012000.000,2236799000.000,2238584000.000,,3023538000.000,3123832000.000,3118389000.000
DebtInstrumentFeeAmount,,4200000.000,,,,3300000.000,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,12075000.000,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,552900000.000,,,
DeferredRevenueCurrent,,,,,,,,,,27461000.000,26285000.000,27976000.000,31833000.000
DeferredTaxAssetsGross,,,,,,,,,,183800000.000,,,
DeferredTaxAssetsLiabilitiesNet,,-186617000.000,,,,-235241000.000,,,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,-35487000.000,,,,-104278000.000,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,-151130000.000,,,,-130963000.000,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,13586000.000,,,,11171000.000,,,,26702000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,,,,7425000.000,,,
DeferredTaxAssetsValuationAllowanceNoncurrent,,7228000.000,,,,11026000.000,,,,15811000.000,,,
DeferredTaxLiabilities,,,,,,,,,,369110000.000,,,
DeferredTaxLiabilitiesCurrent,28226000.000,35487000.000,35639000.000,35615000.000,36383000.000,104278000.000,104890000.000,106046000.000,108031000.000,85765000.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,171315000.000,,,,160186000.000,,,,277705000.000,,,
DeferredTaxLiabilitiesNoncurrent,156761000.000,151130000.000,151225000.000,151225000.000,151225000.000,130963000.000,161451000.000,187265000.000,193535000.000,283345000.000,391248000.000,389926000.000,388661000.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,40729000.000,,,,39927000.000,,,,52685000.000,,,
DeferredTaxesBusinessCombinationValuationAllowanceAvailableToReduceGoodwill,,,,,,4618000.000,,,,134897000.000,,,
DefinedBenefitPlanAccumulatedBenefitObligation,,,,,,,,,,37500000.000,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax,,,,,,,,,,,-1100000.000,,0.000
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,,,,,,,,,,0.048,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,,,,,,,,,,0.020,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,,,,,,,,,,5883000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,,,,,,,,,,210000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive,,,,,,,,,,611000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour,,,,,,,,,,512000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree,,,,,,,,,,395000.000,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo,,,,,,,,,,289000.000,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,,,,34800000.000,34200000.000,34400000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,,5100000.000,,,,1600000.000,,,
FairValueAssetsLevel1ToLevel2TransfersAmount,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5100000.000,4100000.000,0.000,0.000,0.000
FairValueAssetsLevel2ToLevel1TransfersAmount,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000
FairValueLiabilitiesLevel1ToLevel2TransfersAmount,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000
FairValueLiabilitiesLevel2ToLevel1TransfersAmount,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,183814000.000,,,,264374000.000,,,,370735000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,77251000.000,,,,82094000.000,,,,121478000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,58514000.000,,,,58899000.000,,,,99213000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,65317000.000,,,,63696000.000,,,,101342000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,70119000.000,,,,70540000.000,,,,107691000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,77027000.000,,,,75368000.000,,,,114978000.000,,,
FiniteLivedIntangibleAssetsGross,,654631000.000,,,,717800000.000,,,,1343070000.000,,,
Goodwill,2437620000.000,2435670000.000,2444156000.000,2544477000.000,2536156000.000,2538633000.000,2869408000.000,2782934000.000,2808187000.000,3271933000.000,3299231000.000,3351277000.000,3386263000.000
IndefiniteLivedLicenseAgreements,,8240000.000,,,,34110000.000,,,,40910000.000,,,
IndefiniteLivedTradeNames,,33740000.000,,,,36045000.000,,,,37485000.000,,,
IntangibleAssetsGrossExcludingGoodwill,,697512000.000,,,,788856000.000,,,,1422366000.000,,,
