,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableCurrent,931.000,37.000,2015.000,1130.000,2743.000,3658.000,1818.000,1400.000,2525.000,303.000,1413.000,1233.000,,,1182.000,1439.000,1641.000,2454.000,3120.000,2578.000,3162.000,858.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,-161.000,396.000,-631.000,-866.000,-1096.000,1329.000,-1564.000,-1799.000,2027.000
AdditionalPaidInCapital,185619.000,195619.000,195619.000,203119.000,205619.000,215619.000,215619.000,223119.000,225619.000,235619.000,235613.000,235613.000,245613.000,255613.000,260613.000,265613.000,275613.000,280613.000,283113.000,283113.000,283113.000,283113.000
Assets,,,,,,,,7494.000,3045.000,4701.000,2327.000,909.000,1740.000,5877.000,5795.000,3213.000,2627.000,2354.000,1822.000,6142.000,2491.000,2928.000
AssetsCurrent,601.000,5699.000,943.000,1699.000,1276.000,7810.000,3513.000,7494.000,3045.000,4701.000,2327.000,909.000,1740.000,3246.000,3399.000,1052.000,701.000,658.000,359.000,4914.000,1498.000,2163.000
AssetsNet,,,,,,,,,,,,,,,,2161.000,1926.000,,,,,
CashAndCashEquivalentsAtCarryingValue,601.000,5699.000,943.000,1699.000,1276.000,7810.000,3513.000,7494.000,3045.000,4701.000,2327.000,909.000,1740.000,3246.000,3399.000,1052.000,701.000,658.000,359.000,4914.000,1498.000,2163.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,3012000.000,3012000.000,3012000.000,3012000.000,3012000.000,3012000.000,3012000.000,3012000.000,3012000.000,3012000.000,3018000.000,3018000.000,3018000.000,3018000.000,3018000.000,3018000.000,3018000.000,3018000.000,3018000.000,3018000.000,3018000.000,3018000.000
CommonStockSharesOutstanding,3012000.000,3012000.000,3012000.000,3012000.000,,,,,,3012000.000,,,,,,,,3018000.000,3018000.000,,,3018000.000
CommonStockValue,3012.000,3012.000,3012.000,3012.000,3012.000,3012.000,3012.000,3012.000,3012.000,3012.000,3018.000,3018.000,3018.000,3018.000,3018.000,3018.000,3018.000,3018.000,3018.000,3018.000,3018.000,3018.000
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,,,,,,,,,,,,0.020,0.020
DueToOfficersOrStockholdersCurrent,227.000,227.000,227.000,227.000,227.000,227.000,227.000,227.000,227.000,227.000,227.000,,,,,,,,,,,
InterestPayableCurrent,,,,,,,,,,,,,,,,,,,,14.000,59.000,139.000
Liabilities,,,,,,,,1627.000,2752.000,530.000,1640.000,1233.000,,,1182.000,1439.000,1641.000,2454.000,3120.000,9530.000,13201.000,19277.000
LiabilitiesAndStockholdersEquity,601.000,5699.000,943.000,1699.000,1276.000,7810.000,3513.000,7494.000,3045.000,4701.000,2327.000,909.000,1740.000,5877.000,5795.000,3213.000,2627.000,2354.000,1822.000,6142.000,2491.000,2928.000
LiabilitiesCurrent,1158.000,264.000,2242.000,1357.000,2970.000,3885.000,2045.000,1627.000,2752.000,530.000,1640.000,1233.000,,,1182.000,1439.000,1641.000,2454.000,3120.000,9530.000,13201.000,19277.000
MachineryAndEquipmentGross,,,,,,,,,,,,,,2792.000,2792.000,2792.000,2792.000,2792.000,2792.000,2792.000,2792.000,2792.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,,,,,,,,,,,,,,,,,,,0.000
PrepaidExpenseCurrent,,,,,,,,,,,,,,,,,,,,-6938.000,-9980.000,
PropertyPlantAndEquipmentNet,,,,,,,,,,,,,,2631.000,2396.000,,,1696.000,1463.000,1228.000,993.000,765.000
RetainedEarningsAccumulatedDeficit,-189188.000,-193196.000,-199930.000,-205789.000,-210325.000,-214706.000,-217163.000,-220264.000,-228338.000,-234460.000,-237944.000,-238955.000,-246891.000,-252754.000,-259018.000,-266857.000,-277645.000,-283731.000,-287429.000,-289519.000,-296841.000,-302480.000
StockholdersEquity,-557.000,5435.000,-1299.000,342.000,-1694.000,3925.000,1468.000,5867.000,293.000,4171.000,687.000,-324.000,1740.000,5877.000,4613.000,1774.000,986.000,-100.000,-1298.000,-3388.000,-10710.000,-16349.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,5867.000,293.000,4171.000,687.000,-324.000,,,4613.000,1774.000,986.000,-100.000,-1298.000,-3388.000,-10710.000,-16349.000
