,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableCurrent,34843.000,33880.000,29027.000,74538.000,53470.000,65985.000,64168.000,67506.000,5980.000
AccountsPayableRelatedPartiesCurrent,15162.000,42759.000,42759.000,0.000,19852.000,19852.000,19852.000,19852.000,85873.000
AccountsReceivableGross,,,,,187.000,,,,
AccountsReceivableGrossCurrent,,,,,,,,,187.000
AccountsReceivableNet,,,,,187.000,,,,
AccountsReceivableNetCurrent,7200.000,,,,,,,,187.000
AccountsReceivableRelatedPartiesCurrent,,9000.000,187.000,187.000,187.000,187.000,187.000,187.000,187.000
AccruedLiabilitiesCurrent,19624.000,3970.000,1987.000,3828.000,6575.000,9481.000,12898.000,16487.000,20178.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,995.000,4343.000,8290.000,8290.000,,19234.000,22881.000,26529.000,30177.000
AllowanceForDoubtfulAccountsReceivable,,,,,0.000,,,,
Assets,140528.000,119045.000,113720.000,100860.000,93420.000,83539.000,79705.000,75933.000,72247.000
AssetsCurrent,57945.000,21553.000,19874.000,10663.000,6871.000,638.000,451.000,327.000,289.000
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,,,0.505
Cash,,1678.000,9216.000,476.000,6684.000,451.000,264.000,140.000,
CashAndCashEquivalentsAtCarryingValue,45995.000,1678.000,9216.000,476.000,6684.000,451.000,263.000,140.000,102.000
CommonStockNoParValue,0.000,,,,,,,,
CommonStockParOrStatedValuePerShare,,,,0.000,0.000,0.000,0.000,0.000,
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,49125000.000,49100000.000,49100000.000,49100000.000,49100000.000,49100000.000,49100000.000,49100000.000,49100000.000
CommonStockSharesOutstanding,49125000.000,49100000.000,49100000.000,49100000.000,49100000.000,49100000.000,49100000.000,49100000.000,49100000.000
CommonStockValue,545195.000,544972.000,544972.000,544972.000,544972.000,544972.000,544972.000,544972.000,544972.000
DeferredTaxAssetsNet,,,,,0.000,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,221000.000,,,,111200.000
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,,,,,,,,,327000.000
DeferredTaxAssetsValuationAllowance,,,,,-221000.000,,,,-111200.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,551271.000,606867.000,661908.000,697979.000,748889.000,770838.000,788803.000,
DueFromRelatedParties,4000.000,,,,,,,,
DueFromRelatedPartiesCurrent,,875.000,,,0.000,,,,
InventoryNet,,10000.000,,,,,,,
Liabilities,,,,,246427.000,287456.000,,,331562.000
LiabilitiesAndStockholdersEquity,140528.000,119045.000,113720.000,100860.000,93420.000,83539.000,79705.000,75933.000,72247.000
LiabilitiesCurrent,69629.000,125344.000,175615.000,217796.000,246427.000,287456.000,305571.000,319764.000,331562.000
NotesPayableRelatedPartiesClassifiedCurrent,,44735.000,5000.000,,,,,,219531.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,,192138.000,208643.000,215919.000,
OilAndGasPropertyFullCostMethodGross,,,,,102135.000,,,,
OilAndGasPropertyFullCostMethodNet,,,,,86549.000,,,,
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,,,,,15586.000,,,,
OtherNotesPayableCurrent,,,96842.000,139430.000,166530.000,192138.000,208653.000,215919.000,
OtherReceivablesNetCurrent,750.000,,,,0.000,,,,
PreferredStockNoParValue,0.000,,,,,,,,
PreferredStockParOrStatedValuePerShare,,,,0.000,0.000,0.000,0.000,0.000,
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,0.000,0.000,0.000,0.000,0.000,
PrepaidExpenseAndOtherAssetsCurrent,,,471.000,,,,,,
PrepaidExpenseCurrent,,,10000.000,10000.000,,,,,
PrepaidInsurance,,,,0.000,,,,,
PropertyPlantAndEquipmentGross,,,,,,,,,102135.000
PropertyPlantAndEquipmentNet,82583.000,97492.000,93846.000,90197.000,,82901.000,79254.000,75606.000,71958.000
RetainedEarningsAccumulatedDeficit,-474296.000,,,,,,,,-804287.000
StockholdersEquity,70899.000,-6299.000,-61895.000,-116936.000,-153007.000,-203917.000,-225866.000,-243831.000,-259315.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,-153007.000,-203917.000,,,-259315.000
