,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,1689497.000,2488807.000,2622101.000,1991753.000,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,1998453.000,2795831.000,2789814.000,2909715.000,3020445.000,2788232.000,2834078.000,2759045.000,2796892.000,1341533.000
AccountsPayableCurrent,428936.000,755182.000,1008460.000,1005843.000,816137.000,971097.000,883423.000,902302.000,889919.000,647525.000,433720.000,356193.000,312728.000,410960.000,233162.000,346320.000,359433.000,602961.000,492502.000,425678.000,648638.000,326402.000
AccountsPayableTradeCurrent,,,,,,,,,,,,,,925000.000,925000.000,925000.000,,,,,,
AccountsReceivableNetCurrent,466100.000,885068.000,1021039.000,682117.000,1019282.000,1084233.000,557332.000,336824.000,893826.000,296289.000,326947.000,343305.000,208486.000,353510.000,145181.000,263916.000,171867.000,351779.000,340126.000,199337.000,122910.000,442071.000
AccruedLiabilitiesCurrent,599116.000,325466.000,408684.000,420701.000,410902.000,496662.000,349420.000,331524.000,704539.000,740992.000,892555.000,207112.000,283582.000,312924.000,287178.000,409512.000,509477.000,266006.000,303110.000,224854.000,249482.000,256604.000
AccruedRoyaltiesCurrent,,,,,,,,,,4953.000,4953.000,,,,,,,,,,,
AccruedRoyaltiesCurrentAndNoncurrent,,,,,,59033.000,33395.000,32943.000,9638.000,,,,,,,,,,,,,
AccruedSalariesCurrent,,,,,,,,,59958.000,72815.000,62788.000,119758.000,50288.000,68324.000,88053.000,85620.000,96385.000,107643.000,116385.000,119608.000,132827.000,159929.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-62755.000,65423.000,68018.000,70444.000,81645.000,94115.000,106753.000,119420.000,132129.000,143999.000,62179.000,72930.000,90887.000,107522.000,123951.000,140525.000,157218.000,174151.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,,,,,,-833.000,-839.000,-2758.000,-2758.000
AdditionalPaidInCapital,2392432.000,6869548.000,6959083.000,8757861.000,9818795.000,9890868.000,9988677.000,10245468.000,28914238.000,29371960.000,34854040.000,34860281.000,34866521.000,34872611.000,34878685.000,34884910.000,41846023.000,41836034.000,42891483.000,46349747.000,46697005.000,50418011.000
AdvanceRoyalties,,,,,,,,,,,,,817167.000,822050.000,,,599167.000,2544667.000,,,,
AdvancesToAffiliate,,,,,,,,,,,,871667.000,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,110658.000,110658.000,110658.000,110658.000,110658.000,110658.000
Assets,2469484.000,2309767.000,2652257.000,2278608.000,2680677.000,2816021.000,2013134.000,1885025.000,14592177.000,14651910.000,18910297.000,18276353.000,17325014.000,17530081.000,16442292.000,15991007.000,18870536.000,19762979.000,19115779.000,18102843.000,17939668.000,21608076.000
AssetsCurrent,1743134.000,1591653.000,1935648.000,1572943.000,1808799.000,1997836.000,1192571.000,1036775.000,2227343.000,2159340.000,6467938.000,5819652.000,4738898.000,4623750.000,3228240.000,2617458.000,5432031.000,6472818.000,5496506.000,4167708.000,3376788.000,6111777.000
AssetsFairValueDisclosure,,,,,2489082.000,,,,0.000,,,,,,,,,,,,,
BusinessCombinationAcquiredReceivablesFairValue,,,,,,,,,89398.000,89398.000,89398.000,89398.000,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,,,,,,,,,2333556.000,2333556.000,2333556.000,2333556.000,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,,,,,283199.000,283199.000,283199.000,283199.000,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,,,,,,,,,145574.000,145574.000,145574.000,145574.000,,,,,,,,,,
