,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,1635353.000,1309726.000,1257595.000,1436813.000,1888924.000,2122007.000,1956101.000,2210484.000,2179775.000,2807097.000,2480909.000,3286480.000,3751600.000,5032382.000,5554175.000,5595059.000
AccountsPayableTradeCurrent,,,,,1142672.000,1496657.000,1578522.000,1588135.000,1598838.000,2079746.000,1461212.000,2005702.000,1958696.000,2158194.000,2015537.000,2546705.000
AccountsReceivableNetCurrent,411336.000,406441.000,748941.000,225360.000,70744.000,213161.000,75351.000,57451.000,7403.000,2011.000,752011.000,777500.000,862794.000,299910.000,237915.000,704701.000
AccruedPayrollTaxesCurrent,,,,,372940.000,372940.000,0.000,,,,,,,,,
AccruedPayrollTaxesCurrentAndNoncurrent,,,,,,372940.000,0.000,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-342323.000,-456377.000,-454374.000,561298.000,665794.000,679189.000,752438.000,825855.000,891629.000,975921.000,1039478.000,728488.000,780619.000
AdditionalPaidInCapitalCommonStock,48752581.000,48931422.000,49764479.000,53373148.000,54972338.000,57137514.000,57495576.000,58705806.000,59481081.000,60355353.000,60849922.000,61194119.000,61617019.000,85019795.000,85782745.000,88168568.000
AllowanceForDoubtfulAccountsReceivable,,,,,155781.000,155781.000,155781.000,155781.000,0.000,,,,17500.000,17500.000,17500.000,31039.000
Assets,4269583.000,6889099.000,5386139.000,7771017.000,6029787.000,7321583.000,4462923.000,4545570.000,4162628.000,6074159.000,6194224.000,5547393.000,5101567.000,4774164.000,6008344.000,6728841.000
AssetsCurrent,1238321.000,3887560.000,2382948.000,4740701.000,3073851.000,4384268.000,1458524.000,1785306.000,1659168.000,3643948.000,3830855.000,3262755.000,2901221.000,2626543.000,3896757.000,4655920.000
BillingsInExcessOfCost,,,,-514408.000,-5147.000,0.000,36364.000,,,,,,,,,
BillingsInExcessOfCostCurrent,0.000,27298.000,563434.000,514408.000,5147.000,0.000,36364.000,8243.000,0.000,966396.000,2094260.000,2265455.000,3688059.000,2993132.000,3829843.000,5170762.000
CashAndCashEquivalentsAtCarryingValue,65590.000,2532236.000,417145.000,3261098.000,2079235.000,3085216.000,666120.000,1326380.000,636940.000,997601.000,1087994.000,1637448.000,958877.000,965956.000,1895130.000,2041644.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,5.000,2.150,2.150,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,,690493.000,634508.000,1657788.000,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,15203419.000,15477247.000,15860476.000,16781520.000,17060953.000,17049804.000,10619134.000,12774302.000,15856215.000
