,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-176000.000,,-189000.000,,,,-153000.000,,,,-145000.000,,,,-139000.000,,,,-137000.000
AllocatedShareBasedCompensationExpense,,,,,7000.000,,,,11000.000,,,,33000.000,,,,37000.000,,,,36000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,34000.000,,,,12000.000,,,,4000.000,,,,36000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,,125000.000,,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,,163000.000,,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,-279000.000,,,,-36000.000,,,,15000.000,,,,15000.000,,,,16000.000
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,,8000.000,,,,8000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,318000.000,,-256000.000,,,,,,,,272000.000,,,,305000.000,,,,64000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,-441000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,-879000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,-438000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,,,,,,,,40000.000,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,2000.000,,,,,,,,,,,,5000.000,,,,57000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,,,,,,,,,,,0.000,,,,44000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,754000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,879000.000,,,,,,,,,,,,
BankOwnedLifeInsuranceIncome,,,,,,,,,25000.000,,,,28000.000,,,,43000.000,,,,48000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-3000.000,,2644000.000,,,,-3753000.000,,,,1160000.000,,,,-855000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,,,,,,,,,,,,,,,,9776000.000
ComprehensiveIncomeNetOfTax,,,3203000.000,858000.000,350000.000,-625000.000,478000.000,507000.000,1320000.000,1091000.000,888000.000,1170000.000,970000.000,488000.000,1029000.000,1008000.000,1002000.000,365000.000,776000.000,-76000.000,807000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,29000.000,7000.000,,14000.000,2000.000,33000.000,13000.000,12000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,517000.000,1036000.000,,1016000.000,367000.000,809000.000,-63000.000,819000.000
DepreciationAmortizationAndAccretionNet,,,134000.000,,129000.000,,,,155000.000,,,,185000.000,,,,189000.000,,,,185000.000
EarningsPerShareBasic,,,,,,0.150,0.090,,0.180,0.190,0.170,0.240,0.170,0.200,0.200,0.250,0.180,0.000,0.160,0.110,0.130
EarningsPerShareBasicAndDiluted,0.140,0.150,0.990,0.130,0.110,0.150,0.090,,,,,,,,,,,,,,
EarningsPerShareDiluted,,,,,,,0.090,,0.150,0.150,0.140,0.180,0.140,0.160,0.150,0.190,0.140,0.000,0.160,0.070,0.130
FederalDepositInsuranceCorporationPremiumExpense,163000.000,99000.000,121000.000,126000.000,142000.000,129000.000,128000.000,115000.000,44000.000,68000.000,85000.000,86000.000,75000.000,84000.000,80000.000,81000.000,83000.000,75000.000,89000.000,59000.000,32000.000
FeesAndCommissionsDepositorAccounts,125000.000,117000.000,74000.000,68000.000,68000.000,82000.000,77000.000,87000.000,91000.000,117000.000,118000.000,126000.000,110000.000,124000.000,128000.000,161000.000,154000.000,164000.000,178000.000,173000.000,149000.000
FeesAndCommissionsMortgageBanking,11000.000,35000.000,74000.000,110000.000,80000.000,83000.000,62000.000,57000.000,30000.000,17000.000,102000.000,82000.000,120000.000,258000.000,161000.000,164000.000,175000.000,181000.000,251000.000,247000.000,207000.000
FeesAndCommissionsOther,,,,55000.000,74000.000,79000.000,80000.000,77000.000,94000.000,109000.000,113000.000,127000.000,122000.000,146000.000,148000.000,159000.000,147000.000,168000.000,176000.000,179000.000,178000.000
FinancingReceivableModificationsNumberOfContracts2,,,,,,,,,3.000,,1.000,,1.000,,0.000,,,,,,5.000
FinancingReceivableModificationsPostModificationRecordedInvestment2,,,,,,,,,0.000,,,,267000.000,,,,,,,,247000.000
FinancingReceivableModificationsPreModificationRecordedInvestment2,,,,,,,,,,,,,260000.000,,,,,,,,229000.000
ForeclosedRealEstateExpense,,,105000.000,72000.000,52000.000,49000.000,91000.000,58000.000,64000.000,59000.000,50000.000,51000.000,30000.000,40000.000,35000.000,46000.000,22000.000,25000.000,25000.000,25000.000,13000.000
GainLossOnSaleOfInterestInProjects,-17000.000,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfLoansAndLeases,,,,,,,,,,,,,,,,,144000.000,,,,138000.000
GainLossOnSaleOfSecuritiesNet,125000.000,67000.000,,,2000.000,106000.000,8000.000,36000.000,0.000,108000.000,,,40000.000,,12000.000,,5000.000,209000.000,43000.000,0.000,13000.000
GainsLossesOnSalesOfOtherRealEstate,,,,-111000.000,-2000.000,-349000.000,,,5000.000,,,,,,-140000.000,,,-91000.000,,,
ImpairedFinancingReceivableWithNoRelatedAllowanceAverageRecordedInvestment,,,,,13546000.000,,,,11166000.000,,,,7980000.000,,,,127000.000,,,,5011000.000
ImpairedFinancingReceivableWithNoRelatedAllowanceInterestIncomeAccrualMethod,,,,,187000.000,,,,108000.000,,,,65000.000,,,,,,,,
ImpairedFinancingReceivableWithRelatedAllowanceAverageRecordedInvestment,,,,,1324000.000,,,,462000.000,,,,140000.000,,,,7706000.000,,,,114000.000
ImpairedFinancingReceivableWithRelatedAllowanceInterestIncomeAccrualMethod,,,,,28000.000,,,,1000.000,,,,,,,,79.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,590000.000,637000.000,658000.000,876000.000,787000.000,962000.000,1148000.000,1172000.000,1165000.000,1213000.000,1121000.000,1503000.000,1136000.000,1273000.000,1243000.000,1554000.000,1168000.000,660000.000,1352000.000,841000.000,1119000.000
IncomeTaxExpenseBenefit,,,-2702000.000,292000.000,262000.000,320000.000,376000.000,382000.000,362000.000,380000.000,344000.000,501000.000,346000.000,381000.000,381000.000,487000.000,353000.000,434000.000,416000.000,237000.000,342000.000
IncomeTaxesPaid,,,,,0.000,,,,17000.000,,,,646000.000,,,,28000.000,,,,
IncreaseDecreaseInAccruedInterestReceivableNet,,,-76000.000,,-27000.000,,,,22000.000,,,,64000.000,,,,-47000.000,,,,-39000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,2940000.000,,-271000.000,,,,-325000.000,,,,92000.000,,,,303000.000,,,,-178000.000
IncreaseDecreaseInFederalFundsSold,,,3759000.000,,149000.000,,,,240000.000,,,,-721000.000,,,,247000.000,,,,-9000.000
IncreaseDecreaseInInterestPayableNet,,,3000.000,,-38000.000,,,,-15000.000,,,,31000.000,,,,197000.000,,,,134000.000
IncreaseDecreaseInLoansFromOtherFederalHomeLoanBanks,,,,,,,,,,,,,4000000.000,,,,,,,,1917000.000
IncreaseDecreaseInLoansHeldForSale,,,,,,,,,509000.000,,,,297000.000,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,-159000.000,,-636000.000,,,,18000.000,,,,18000.000,,,,-7000.000,,,,334000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,267000.000,,-457000.000,,,,582000.000,,,,-373000.000,,,,299000.000,,,,155000.000
