,2013-02-28,2013-05-31,2013-08-31,2013-11-30
AccountsPayableAndAccruedLiabilitiesCurrent,16334.000,21475.000,,
AccruedLiabilitiesCurrent,,,72456.000,55563.000
AdditionalPaidInCapital,4807208.000,4810208.000,4872200.000,5381369.000
Assets,191402.000,162627.000,140089.000,42450.000
AssetsCurrent,191402.000,162627.000,140089.000,42450.000
CashAndCashEquivalentsAtCarryingValue,191402.000,162627.000,140089.000,42450.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,68825188.000,68825188.000,9833310.000,26166643.000
CommonStockValue,68825.000,68825.000,9833.000,26167.000
DeferredTaxAssetsOperatingLossCarryforwards,,,490861.000,
DeferredTaxAssetsValuationAllowance,,,490861.000,
Liabilities,346334.000,351475.000,402456.000,385563.000
LiabilitiesAndStockholdersEquity,191402.000,162627.000,140089.000,42450.000
LiabilitiesCurrent,346334.000,351475.000,402456.000,385563.000
NotesPayableRelatedPartiesClassifiedCurrent,330000.000,330000.000,330000.000,330000.000
PreferredStockParOrStatedValuePerShare,1.000,1.000,0.001,0.001
PreferredStockSharesAuthorized,100000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000
RetainedEarningsAccumulatedDeficit,-5030965.000,-5067881.000,-5144400.000,-5750649.000
StockholdersEquity,-154932.000,-188848.000,-262367.000,-343113.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-154932.000,-188848.000,-262367.000,-343113.000
