,2011-06-30,2011-09-30
AccountsPayableCurrent,1786000.000,1707000.000
AccountsReceivableNet,4784000.000,4076000.000
AccruedEmployeeBenefitsCurrent,552000.000,501000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3000.000,-101000.000
AdditionalPaidInCapital,2000000.000,2022000.000
AllowanceForDoubtfulAccountsReceivable,109000.000,109000.000
Assets,13097000.000,12958000.000
AssetsCurrent,9954000.000,9847000.000
Cash,1292000.000,1529000.000
CashAndCashEquivalentsAtCarryingValue,1292000.000,1529000.000
CommonStockSharesAuthorized,25000000.000,25000000.000
CommonStockSharesIssued,7871000.000,7888000.000
CommonStockSharesOutstanding,7871000.000,7888000.000
CommonStockValue,5793000.000,5802000.000
DeferredRevenueCurrent,168000.000,101000.000
DeferredTaxAssetsNetCurrent,806000.000,771000.000
DeferredTaxAssetsNetNoncurrent,1200000.000,1224000.000
Goodwill,830000.000,767000.000
InventoryNet,2698000.000,3046000.000
Liabilities,3573000.000,3287000.000
LiabilitiesAndStockholdersEquity,13097000.000,12958000.000
LiabilitiesCurrent,3082000.000,2838000.000
OtherAssetsCurrent,374000.000,425000.000
OtherAssetsNoncurrent,179000.000,105000.000
OtherLiabilitiesCurrent,576000.000,529000.000
OtherLiabilitiesNoncurrent,491000.000,449000.000
PreferredStockSharesAuthorized,4000000.000,4000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PropertyPlantAndEquipmentNet,934000.000,1015000.000
RetainedEarningsAccumulatedDeficit,1734000.000,1948000.000
StockholdersEquity,9524000.000,9671000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9524000.000,9671000.000
