,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,7000.000,14000.000,20329.000,63000.000,53000.000,58000.000,63000.000,68000.000,68000.000,68000.000,73000.000,62000.000,64000.000,66000.000,72000.000,85042.000,62589.000
AccountsReceivableRelatedPartiesCurrent,3854.000,0.000,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,66043.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,4040.000,7666.000,-1894.000,-3664.000,-6647.000,-7714.000,-8954.000,-3804.000,-6716.000,-7730.000,-7729.000,-6799.000,-9293.000,-4181.000,-6630.000,-7982.000,-8828.000
AdditionalPaidInCapital,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000,197570.000
AllowanceForDoubtfulAccountsReceivable,,,,0.000,0.000,,0.000,,,,,,,,,,
Assets,40927.000,42752.000,45758.000,31319.000,19043.000,15628.000,1017.000,951.000,236.000,236.000,236.000,236.000,236.000,236.000,236.000,236.000,72.000
AssetsCurrent,12897.000,14826.000,21402.000,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,9043.000,14826.000,21402.000,10187.000,1131.000,951.000,1017.000,951.000,236.000,236.000,236.000,236.000,236.000,236.000,236.000,236.000,72.000
CommitmentsAndContingencies,0.000,0.000,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000
CommonStockSharesOutstanding,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000,1996355.000
CommonStockValue,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000,1996.000
DeferredTaxAssetsNet,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
