,2011-06-30
AccountsPayableCurrent,193229.000
AccountsPayableRelatedPartiesCurrent,339000.000
AccountsReceivableNetCurrent,350.000
AdditionalPaidInCapital,2390434.000
Assets,382560.000
AssetsCurrent,52786.000
Cash,24706.000
CommonStockParOrStatedValuePerShare,0.000
CommonStockSharesAuthorized,100000000.000
CommonStockSharesIssued,24863141.000
CommonStockSharesOutstanding,24863141.000
CommonStockValue,2486.000
ConvertibleDebtNoncurrent,205694.000
DepositsAssetsNoncurrent,1904.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,3387600.000
DueToRelatedPartiesCurrent,48324.000
DueToRelatedPartiesNoncurrent,25500.000
FiniteLivedComputerSoftwareGross,303857.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,204.000
FiniteLivedIntangibleAssetsNet,76.000
InventoryNet,27730.000
Liabilities,1377239.000
LiabilitiesAndStockholdersEquity,382560.000
LiabilitiesCurrent,761733.000
LiabilitiesNoncurrent,615507.000
LinesOfCreditCurrent,50031.000
NotesPayableRelatedPartiesClassifiedCurrent,70000.000
NotesPayableRelatedPartiesNoncurrent,372646.000
OtherAssetsNoncurrent,329774.000
OtherLiabilitiesCurrent,61149.000
OtherLongTermDebtNoncurrent,11667.000
PreferredStockParOrStatedValuePerShare,0.000
PreferredStockSharesAuthorized,10000000.000
PreferredStockValue,0.000
PropertyPlantAndEquipmentNet,23936.000
StockholdersEquity,-994679.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-994679.000
