,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentForAmortization,,,,,,,4000000.000,,7000000.000,8000000.000,8000000.000,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,,15000000.000,11000000.000,,9000000.000,14000000.000,10000000.000,9000000.000,14000000.000,11000000.000
AmortizationOfIntangibleAssets,3000000.000,4000000.000,4000000.000,4000000.000,5000000.000,4000000.000,4000000.000,6000000.000,7000000.000,8000000.000,8000000.000,8000000.000,8000000.000,8000000.000,9000000.000,8000000.000,12000000.000,16000000.000,12000000.000,14000000.000,14000000.000,15000000.000,17000000.000,18000000.000,17000000.000,18000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,38000000.000,36000000.000,,138000000.000,135000000.000,23000000.000,-269000000.000,14000000.000,20000000.000,144000000.000,-141000000.000,162000000.000,20000000.000,27000000.000,-194000000.000,117000000.000,
AssetImpairmentCharges,,,,,,,,,,,,,14000000.000,,,,,,,,64000000.000,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,,,,,5000000.000,,,,4000000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,,,,,5000000.000,,,,4000000.000,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,,22000000.000,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-28000000.000,,,,829000000.000,,,,-191000000.000,,,,264000000.000,,,,-1005000000.000,,,,-960000000.000,,,,-447000000.000,
CommonStockDividendsPerShareDeclared,0.050,0.050,0.050,0.080,0.075,0.075,0.075,0.095,0.090,0.100,0.100,0.100,0.100,0.100,0.100,0.220,0.000,0.120,0.120,0.120,0.135,0.135,0.135,0.135,0.155,0.155
ComprehensiveIncomeNetOfTax,,,,,,,,,6000000.000,382000000.000,721000000.000,540000000.000,187000000.000,424000000.000,340000000.000,170000000.000,158000000.000,461000000.000,0.000,216000000.000,39000000.000,2645000000.000,535000000.000,611000000.000,566000000.000,434000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,411000000.000,466000000.000,762000000.000,-126000000.000,,,,,,,,,,,,,,,,,,
ConvertiblePreferredDividendsNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,24000000.000
CostOfRevenue,1049000000.000,1116000000.000,1097000000.000,1062000000.000,1106000000.000,1111000000.000,1159000000.000,1239000000.000,1044000000.000,1099000000.000,1166000000.000,1186000000.000,1354000000.000,1450000000.000,1451000000.000,1408000000.000,1336000000.000,1368000000.000,1380000000.000,1374000000.000,1283000000.000,1409000000.000,1466000000.000,1486000000.000,1418000000.000,1512000000.000
DeferredIncomeTaxExpenseBenefit,15000000.000,,,,47000000.000,,,,-30000000.000,,,,22000000.000,,,,-5000000.000,,,,-345000000.000,,,,-121000000.000,
