,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,33114000.000,,,,34918000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3177000.000,4516000.000,-1162000.000,-2186000.000,-1892000.000,569000.000,-7027000.000,-9224000.000,-23094000.000,-22640000.000,-21354000.000,-17316000.000,-12867000.000,-16126000.000
AdditionalPaidInCapitalCommonStock,349221000.000,349994000.000,351107000.000,351638000.000,352112000.000,353049000.000,354082000.000,354636000.000,355436000.000,356109000.000,356963000.000,358719000.000,360521000.000,361816000.000
Assets,4712481000.000,4632608000.000,4596104000.000,4596888000.000,4851237000.000,4818667000.000,5006404000.000,4763621000.000,4701490000.000,4684588000.000,4583413000.000,4537476000.000,4425734000.000,4359892000.000
AssetsFairValueDisclosureRecurring,,,,,1059110000.000,,,,,,,,,
AssetsHeldForSaleLongLived,,,,,653000.000,653000.000,441000.000,405000.000,,,,,35000.000,
AvailableForSaleSecurities,901563000.000,814857000.000,875011000.000,1091268000.000,1053597000.000,1031188000.000,1267491000.000,1150475000.000,1152199000.000,1101128000.000,1034180000.000,861558000.000,840551000.000,798599000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,10876000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,6363000.000
AvailableForSaleSecuritiesAmortizedCost,870834000.000,783435000.000,842354000.000,1060645000.000,1022944000.000,997073000.000,1237876000.000,1124991000.000,1149191000.000,1097943000.000,1042208000.000,858125000.000,830467000.000,794086000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,,,61677000.000,61268000.000,55352000.000,53018000.000,49623000.000,48244000.000,45206000.000,
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,,,64402000.000,63895000.000,57019000.000,54409000.000,50659000.000,49276000.000,46291000.000,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,,,6415000.000,5671000.000,5393000.000,5455000.000,8016000.000,8021000.000,9290000.000,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,,,6643000.000,5862000.000,5570000.000,5620000.000,8328000.000,8295000.000,9579000.000,
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,,,,,38459000.000,33922000.000,29535000.000,27893000.000,16693000.000,16694000.000,16126000.000,
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,,,,38546000.000,33789000.000,29524000.000,27644000.000,17085000.000,17324000.000,16885000.000,
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,,,,,5545000.000,5634000.000,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,,,,,5654000.000,5731000.000,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis,,,,,68380000.000,45102000.000,,,,,,,,16125000.000
