,2011-12-31,2012-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,107504.000,54991.000
AllowanceForDoubtfulAccountsReceivableRecoveries,,-14472.000
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,,9000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,5157655.000,-1106461.000
ComprehensiveIncomeNetOfTax,6894732.000,6665056.000
ConversionOfStockAmountConverted1,,48.000
CostOfGoodsSold,27781305.000,27085734.000
CostOfGoodsSoldAmortization,,283185.000
CurrentForeignTaxExpenseBenefit,,1340909.000
DepreciationDepletionAndAmortization,774710.000,1118955.000
EarningsPerShareBasic,0.310,0.330
EarningsPerShareDiluted,0.250,0.270
EffectOfExchangeRateOnCashAndCashEquivalents,584590.000,165091.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340
GrossProfit,9220588.000,9683177.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,7203107.000,7747981.000
IncomeTaxExpenseBenefit,1277126.000,1340909.000
IncomeTaxExpenseBenefitContinuingOperations,,1340909.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,273248.000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,-1566653.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,2634314.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,0.000
IncomeTaxesPaidNet,1223177.000,1336617.000
IncreaseDecreaseInAccountsPayableTrade,162.000,704495.000
IncreaseDecreaseInAccountsReceivable,-374116.000,8099566.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,53949.000,4292.000
IncreaseDecreaseInInventories,359727.000,-171600.000
IncreaseDecreaseInOtherCurrentLiabilities,120003.000,298852.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-671508.000,1901956.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,106165.000
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,4112679.000
InterestExpense,12965.000,15884.000
InterestPaid,12965.000,15884.000
InvestmentIncomeInterest,43492.000,20983.000
NetCashProvidedByUsedInFinancingActivities,-2525.000,-2861.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-2525.000,-2861.000
NetCashProvidedByUsedInInvestingActivities,-1720822.000,-12954.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1720822.000,-12954.000
NetCashProvidedByUsedInOperatingActivities,6296412.000,-1255737.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,6296412.000,-1255737.000
NetIncomeLoss,5925981.000,6407072.000
NonoperatingIncomeExpense,50979.000,58975.000
OperatingExpenses,2068460.000,
OperatingIncomeLoss,7152128.000,7689006.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,968751.000,257984.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,257984.000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,,257984.000
OtherNonoperatingExpense,102.000,4823.000
OtherNonoperatingIncome,20554.000,58699.000
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,30.000,
PaymentsToAcquireOtherPropertyPlantAndEquipment,2057209.000,12954.000
ProceedsFromSaleOfEquityMethodInvestments,336387.000,
RepaymentsOfLongTermCapitalLeaseObligations,2525.000,2861.000
RestrictedStockExpense,,7631.000
Revenues,37001893.000,36768911.000
SalesRevenueNet,37001893.000,36768911.000
SellingGeneralAndAdministrativeExpense,2068460.000,1994171.000
ShareBasedCompensation,107504.000,54991.000
ShippingHandlingAndTransportationCosts,,417256.000
StockIssued1,,63.000
WeightedAverageNumberOfDilutedSharesOutstanding,23591142.000,23673170.000
WeightedAverageNumberOfSharesOutstandingBasic,19388260.000,19454326.000
