,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccountsPayableCurrent,,20371000.000,26064000.000,25720000.000,26354000.000,29965000.000,36383000.000,35476000.000,29622000.000,31279000.000,25952000.000,24885000.000,22126000.000,22707000.000,24745000.000,28361000.000,38922000.000,39295000.000,34553000.000,30306000.000,42127000.000,42579000.000,41152000.000,39591000.000,39577000.000,43781000.000,39989000.000
AccountsReceivableGrossCurrent,,,,,,,,,,,,,,,,,,,,,,,,,75035000.000,,
AccountsReceivableNetCurrent,,58493000.000,70351000.000,58370000.000,55351000.000,61425000.000,72666000.000,75749000.000,78023000.000,72766000.000,68635000.000,68499000.000,72124000.000,64672000.000,69042000.000,71355000.000,70367000.000,66563000.000,71403000.000,61030000.000,73601000.000,74591000.000,71990000.000,84923000.000,74401000.000,75852000.000,75488000.000
AccruedIncomeTaxesCurrent,,3922000.000,1102000.000,809000.000,665000.000,1302000.000,707000.000,3339000.000,1087000.000,978000.000,926000.000,1457000.000,2693000.000,1330000.000,896000.000,1319000.000,2084000.000,1340000.000,942000.000,1074000.000,2615000.000,3084000.000,3567000.000,5638000.000,4450000.000,4396000.000,3543000.000
AccruedLiabilitiesCurrent,,26492000.000,26944000.000,31842000.000,30857000.000,30810000.000,30955000.000,41441000.000,40410000.000,36886000.000,36012000.000,42639000.000,45975000.000,67745000.000,65672000.000,74732000.000,73646000.000,45391000.000,49327000.000,50080000.000,52131000.000,58391000.000,47004000.000,51561000.000,50100000.000,47416000.000,50797000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,72352000.000,,,,65698000.000,,,,73523000.000,,,,77318000.000,,,,86031000.000,,,,97994000.000,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,-1080000.000,-888000.000,-1168000.000,-714000.000,,,-518000.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,-1912000.000,-1642000.000,-1299000.000,-1103000.000,,,-428000.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-3416000.000,-2992000.000,-2530000.000,-2467000.000,-1817000.000,-1648000.000,-881000.000,-946000.000,-875000.000,-929000.000,-781000.000,-684000.000,-414000.000,-599000.000,-110000.000,-82000.000,-411000.000,-529000.000,-619000.000,-507000.000,-813000.000,-727000.000,-609000.000,492000.000,-525000.000,-418000.000
AdditionalPaidInCapitalCommonStock,,56534000.000,49041000.000,,14749000.000,24251000.000,,,10122000.000,20954000.000,32837000.000,55085000.000,48630000.000,62883000.000,65199000.000,31467000.000,29501000.000,28833000.000,44152000.000,,13868000.000,,,6344000.000,24463000.000,59714000.000,76409000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,724000.000,727000.000,733000.000,725000.000,925000.000,669000.000,789000.000,670000.000,673000.000,720000.000,717000.000,797000.000,767000.000,788000.000,784000.000,786000.000,785000.000,624000.000,695000.000,671000.000,657000.000,,,634000.000,,
Assets,,733510000.000,744257000.000,677345000.000,705991000.000,732810000.000,721274000.000,855043000.000,871966000.000,896633000.000,913021000.000,999727000.000,991150000.000,1010053000.000,1024465000.000,1014917000.000,1042561000.000,1021226000.000,1035931000.000,978051000.000,1011463000.000,998282000.000,992588000.000,1030216000.000,1081844000.000,1399426000.000,1434327000.000
AssetsCurrent,,471214000.000,486808000.000,426768000.000,453049000.000,481525000.000,474865000.000,444955000.000,467682000.000,502711000.000,526928000.000,452165000.000,459317000.000,487511000.000,508977000.000,504868000.000,528537000.000,457811000.000,481596000.000,429355000.000,423140000.000,421250000.000,425364000.000,468395000.000,490851000.000,813246000.000,851506000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,54786000.000,,,,,,,,,,277575000.000,290926000.000,221071000.000,215115000.000,187755000.000,191913000.000,185285000.000,184800000.000,178586000.000,240698000.000,557781000.000,568466000.000
AvailableForSaleSecurities,,,,,,54787000.000,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,,920000.000,581000.000,599000.000,821000.000,760000.000,876000.000,1158000.000,1080000.000,1020000.000,804000.000,742000.000,621000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,,,,964000.000,654000.000,620000.000,875000.000,773000.000,916000.000,1187000.000,1090000.000,1077000.000,1092000.000,977000.000,842000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,40846000.000,66414000.000,63663000.000,64626000.000,34588000.000,17754000.000,38064000.000,36696000.000,43950000.000,28840000.000,24316000.000,29586000.000,35001000.000,43591000.000,59077000.000,35034000.000,42417000.000,17713000.000,40811000.000,45323000.000,24761000.000,64308000.000,106676000.000,140061000.000,200606000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,,44000.000,73000.000,21000.000,54000.000,13000.000,40000.000,29000.000,10000.000,57000.000,288000.000,235000.000,221000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,23650000.000,48574000.000,46186000.000,46897000.000,23560000.000,6336000.000,26695000.000,25507000.000,33753000.000,18169000.000,13684000.000,18589000.000,24008000.000,32086000.000,51658000.000,27633000.000,35238000.000,10473000.000,32487000.000,35770000.000,16335000.000,57328000.000,101480000.000,134804000.000,195227000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,17196000.000,17840000.000,17477000.000,17729000.000,11028000.000,11418000.000,11369000.000,11189000.000,10197000.000,10671000.000,10632000.000,10997000.000,10993000.000,11505000.000,7419000.000,7401000.000,7179000.000,7240000.000,8324000.000,9553000.000,8426000.000,6980000.000,5196000.000,5257000.000,5379000.000
