,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31
AccountsReceivableNetCurrent,304701000.000,287751000.000,322396000.000,310655000.000,293564000.000
AccruedIncomeTaxesCurrent,40169000.000,46658000.000,47987000.000,40736000.000,42115000.000
AccruedRentCurrent,258000.000,944000.000,279000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,316762000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-71601000.000,-48617000.000,-89835000.000,-116937000.000,-106964000.000
AdditionalPaidInCapital,55541000.000,55652000.000,80686000.000,80803000.000,140915000.000
AllowanceForDoubtfulAccountsReceivable,2300000.000,2395000.000,4300000.000,6000000.000,3800000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,-4303000.000,,
Assets,2809928000.000,2878844000.000,2892616000.000,2929870000.000,2892198000.000
AssetsCurrent,561766000.000,543263000.000,650979000.000,656586000.000,611161000.000
AssetsHeldForSaleLongLived,63295000.000,42174000.000,32047000.000,51858000.000,38519000.000
AssetsHeldForSaleOtherNoncurrent,63295000.000,42174000.000,32047000.000,51858000.000,38519000.000
CashAndCashEquivalentsAtCarryingValue,68778000.000,59320000.000,123714000.000,114569000.000,84102000.000
CommonStockSharesAuthorized,1228377770.000,1228377770.000,1228377771.000,1228377771.000,1228377772.000
CommonStockSharesIssued,1228377770.000,1228377770.000,1228377771.000,1228377771.000,1228377772.000
CommonStockValue,1607101000.000,1607101000.000,1607101000.000,1607101000.000,1607101000.000
CostMethodInvestments,,,1000.000,,
DebtAndCapitalLeaseObligations,1415543000.000,1503326000.000,1477225000.000,1656580000.000,1665279000.000
DebtInstrumentCarryingAmount,,,39259000.000,,
DebtInstrumentUnamortizedDiscount,,,12700000.000,,
DeferredCostsLeasingNetCurrent,4195000.000,3180000.000,3465000.000,3387000.000,3340000.000
DeferredFinanceCostsCurrentNet,8709000.000,8593000.000,8771000.000,9410000.000,9641000.000
DeferredFinanceCostsNoncurrentNet,49748000.000,51064000.000,48971000.000,53490000.000,52655000.000
DeferredRentCreditNoncurrent,607000.000,893000.000,1045000.000,1196000.000,1348000.000
DeferredRevenueCurrent,20775000.000,20951000.000,27652000.000,36481000.000,34721000.000
DeferredRevenueNoncurrent,50221000.000,52633000.000,55990000.000,62242000.000,72659000.000
DeferredSetUpCostsCurrent,4961000.000,6313000.000,6474000.000,8609000.000,8240000.000
DeferredSetUpCostsNoncurrent,16700000.000,21015000.000,22645000.000,22190000.000,22683000.000
DeferredTaxAssetsCapitalLossCarryforwards,,,174300000.000,,
DeferredTaxAssetsGross,,,423956000.000,,
DeferredTaxAssetsLiabilitiesNet,,,-444000.000,,
DeferredTaxAssetsLiabilitiesNetCurrent,9361000.000,,49000.000,48000.000,54000.000
DeferredTaxAssetsLiabilitiesNetNoncurrent,49020000.000,10884000.000,10752000.000,9118000.000,9562000.000
DeferredTaxAssetsNet,,,152849000.000,,
DeferredTaxAssetsNetCurrent,,,49000.000,,
DeferredTaxAssetsNetNoncurrent,,,10752000.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,545800000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration,,,1105547000.000,,
DeferredTaxAssetsOther,,,13348000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,9926000.000,,
