,2011-06-30,2011-09-30,2011-12-31,2012-03-31
EarningsPerShareBasicAndDiluted,-0.010,-0.310,-0.240,-0.160
GeneralAndAdministrativeExpense,,,500.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-297.000,-15299.000,-12028.000,-8289.000
IncomeTaxesPaid,,,0.000,
IncreaseDecreaseInAccountsPayable,297.000,15299.000,12028.000,8289.000
InterestPaid,,,0.000,
NetCashProvidedByUsedInFinancingActivities,0.000,0.000,0.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,0.000,0.000,
NetCashProvidedByUsedInInvestingActivities,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInOperatingActivities,0.000,0.000,0.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,0.000,0.000,0.000,
NetIncomeLoss,-297.000,-15299.000,-12028.000,-8289.000
NonoperatingIncomeExpense,0.000,,,
OperatingExpenses,297.000,15299.000,12028.000,8289.000
OperatingIncomeLoss,-297.000,-15299.000,-12028.000,-8289.000
PaymentsForRepurchaseOfCommonStock,,,0.000,
PaymentsToAcquirePropertyPlantAndEquipment,,,0.000,
ProfessionalFees,297.000,15299.000,11528.000,8129.000
Revenues,0.000,,,
SalesRevenueNet,0.000,,,
