,2011-12-31,2012-12-31
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,1788000.000
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,4975000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,-9990000.000
AmortizationOfIntangibleAssets,16.000,16000.000
AvailableForSaleSecuritiesGrossRealizedGains,,3137000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,26366.000,
ComprehensiveIncomeNetOfTax,-32594.000,437000.000
CurrentFederalTaxExpenseBenefit,,0.000
CurrentStateAndLocalTaxExpenseBenefit,,0.000
DeferredIncomeTaxExpenseBenefit,8616.000,563000.000
Depreciation,,1577000.000
DepreciationAmortizationAndAccretionNet,4341.000,7728000.000
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,,0.000
DividendsPreferredStock,0.000,0.000
EarningsPerShareBasic,-1.610,-0.040
EarningsPerShareDiluted,-1.610,-0.040
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,-22000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,,-70000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,,0.000
FederalDepositInsuranceCorporationPremiumExpense,2818.000,2223000.000
FeesAndCommissionsDepositorAccounts,765.000,594000.000
FeesAndCommissionsMortgageBanking,,443000.000
GainLossOnSaleOfLoansAndLeases,219.000,0.000
GainLossOnSaleOfPropertyPlantEquipment,-104.000,0.000
GainLossOnSaleOfSecuritiesNet,2153.000,3137000.000
GainsLossesOnSalesOfOtherRealEstate,-9632.000,-4285000.000
GoodwillImpairmentLoss,1149.000,0.000
ImpairedFinancingReceivableAverageRecordedInvestment,,49323000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,57000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-25382.000,1368000.000
IncomeTaxExpenseBenefit,8616.000,0.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-563000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,465000.000
IncomeTaxReconciliationOtherAdjustments,,293000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,0.000
IncomeTaxReconciliationTaxExemptIncome,,195000.000
IncreaseDecreaseInAccruedInterestReceivableNet,-321.000,-485000.000
IncreaseDecreaseInDeposits,-193273.000,-62422000.000
IncreaseDecreaseInInterestPayableNet,-647.000,-168000.000
InformationTechnologyAndDataProcessing,1678.000,1727000.000
InterestAndDividendIncomeOperating,49161.000,36902000.000
InterestAndFeeIncomeLoansAndLeases,42885.000,32486000.000
InterestAndFeeIncomeLoansHeldForSaleMortgages,20.000,46000.000
InterestExpense,15286.000,9369000.000
InterestExpenseCustomerDeposits,,6884000.000
InterestExpenseDeposits,11770.000,6884000.000
InterestExpenseFederalHomeLoanBankAndFederalReserveBankAdvancesLongTerm,3403.000,2406000.000
InterestExpenseSavingsDeposits,,877000.000
InterestExpenseShortTermBorrowings,113.000,79000.000
InterestExpenseTimeDeposits100000OrMore,,2108000.000
InterestExpenseTimeDepositsLessThan100000,,2900000.000
