,2011-12-31,2012-12-29,2013-12-28
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,41175000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,3507000.000,5048000.000,9268000.000
AdvertisingExpense,,5759000.000,5580000.000
AmortizationOfAcquiredIntangibleAssets,,10394000.000,
AmortizationOfFinancingCosts,,2658000.000,2659000.000
AmortizationOfFinancingCostsAndDiscounts,3290000.000,3212000.000,3269000.000
AmortizationOfIntangibleAssets,9612000.000,10394000.000,7881000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,5481000.000,11347000.000,2846000.000
ComprehensiveIncomeNetOfTax,8480000.000,-2789000.000,-18988000.000
ConcentrationRiskPercentage1,,,0.126
CostOfGoodsAndServicesSold,551409000.000,544691000.000,511087000.000
CurrentFederalTaxExpenseBenefit,,-415000.000,
CurrentForeignTaxExpenseBenefit,,1576000.000,1286000.000
CurrentIncomeTaxExpenseBenefit,,2389000.000,1914000.000
CurrentStateAndLocalTaxExpenseBenefit,,1228000.000,628000.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,11000.000,34000.000
DeferredFederalIncomeTaxExpenseBenefit,,1454000.000,-3773000.000
DeferredForeignIncomeTaxExpenseBenefit,,-251000.000,-100000.000
DeferredIncomeTaxExpenseBenefit,8005000.000,719000.000,-1527000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-490000.000,128000.000
DefinedBenefitPlanAdministrationExpenses,,25000.000,38000.000
DefinedContributionPlanAdministrativeExpenses,,1650000.000,1632000.000
Depreciation,,21593000.000,20992000.000
DepreciationDepletionAndAmortization,28842000.000,31987000.000,28873000.000
EffectOfExchangeRateOnCashAndCashEquivalents,-399000.000,700000.000,-4193000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350
EntityWideRevenueMajorCustomerPercentage,,0.129,
GainLossOnSaleOfPropertyPlantEquipment,-53000.000,,-334000.000
GoodwillAndIntangibleAssetImpairment,,2658000.000,2659000.000
GoodwillImpairmentLoss,,,958000.000
GoodwillPeriodIncreaseDecrease,,0.000,
