,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2013-03-31,2013-06-30,2013-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2355000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,854000.000,,,,,,,
CommonStockDividendsPerShareCashPaid,0.150,0.150,0.150,0.150,,,,
ComprehensiveIncomeNetOfTax,59427000.000,49658000.000,32425000.000,34879000.000,,,39000000.000,66000000.000
CostOfGoodsSoldDirectTaxesAndLicensesCosts,17367000.000,5200000.000,4268000.000,8773000.000,,,,
CostOfPurchasedOilAndGas,425632000.000,315575000.000,304535000.000,316435000.000,,,,
CostsAndExpenses,638790000.000,516585000.000,506685000.000,526036000.000,,,,
DeferredIncomeTaxExpenseBenefit,26807000.000,,,,,,,
DepreciationAndAmortization,59327000.000,59295000.000,59327000.000,59741000.000,,,47000000.000,41000000.000
DerivativeCashReceivedOnHedge,,7300000.000,6300000.000,,,,,
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,0.000,0.000
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,,,,-3000000.000,0.000
DividendsCommonStockCash,-18700000.000,,,,,30000000.000,,
DividendsPreferredStock,,0.000,0.000,,,,,
EarningsPerShareBasic,0.490,0.480,0.470,0.610,,,,
EarningsPerShareDiluted,0.480,0.470,0.460,0.610,,,,
EffectiveIncomeTaxRateContinuingOperations,,0.300,0.300,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.350,0.350,,
EquityMethodInvestmentDividendsOrDistributions,,,,,,2000000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,106000000.000,40000000.000
IncomeLossFromEquityMethodInvestments,26701000.000,25048000.000,26686000.000,20500000.000,,1000000.000,5000000.000,9000000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,26701000.000,,,,,,,
IncomeTaxExpenseBenefit,18642000.000,25588000.000,24446000.000,35104000.000,,,,
IncreaseDecreaseInNotesReceivableRelatedParties,12500000.000,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,63062000.000,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,1163000.000,1924000.000,,,,,
InterestExpense,55571000.000,54933000.000,54925000.000,53803000.000,,,12000000.000,39000000.000
InterestExpenseRelatedParty,,,,,,,1000000.000,14000000.000
NetCashProvidedByUsedInFinancingActivities,-119731000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-119731000.000,,,,,,,
NetCashProvidedByUsedInInvestingActivities,-79671000.000,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-79671000.000,,,,,,,
NetCashProvidedByUsedInOperatingActivities,200256000.000,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,200256000.000,,,,,,,
NetIncomeLoss,60662000.000,59773000.000,58032000.000,76957000.000,,36000000.000,40000000.000,58000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,60662000.000,59773000.000,58032000.000,76957000.000,,,,
NonoperatingIncomeExpense,-28728000.000,-29661000.000,-28048000.000,-32217000.000,,,,
OperatingIncomeLoss,108032000.000,115022000.000,110526000.000,144278000.000,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,-3000000.000,0.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,-1000000.000,8000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-1235000.000,-10115000.000,-25607000.000,-42078000.000,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,,,,,0.000,0.000
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostNetOfTax,,706000.000,709000.000,,,,2000000.000,8000000.000
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostTax,,568000.000,566000.000,,,,,
OtherCostAndExpenseOperating,120994000.000,123858000.000,125710000.000,127693000.000,,,,
OtherNonoperatingIncomeExpense,142000.000,224000.000,191000.000,1086000.000,,,-2000000.000,3000000.000
PaymentsForProceedsFromOtherInvestingActivities,-345000.000,,,,,,,
PaymentsOfDividendsCommonStock,18690000.000,18709000.000,18712000.000,18700000.000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,67516000.000,,,,,,,
PreferredStockRedemptionPremium,,0.000,0.000,,,,,
ProceedsFromPaymentsForOtherFinancingActivities,840000.000,,,,,,,
ProceedsFromRepaymentsOfBankOverdrafts,-853000.000,,,,,,,
ProceedsFromRepaymentsOfShortTermDebt,-100892000.000,,,,,,,
RepaymentsOfLongTermDebt,136000.000,,,,,,,
RevenueFromRelatedParties,,,,,,20000000.000,9000000.000,5000000.000
Revenues,746822000.000,631607000.000,617211000.000,670314000.000,,,,
RevenuesFromExternalCustomers,,,,,,,316000000.000,182000000.000
RevenuesFromTransactionsWithOtherOperatingSegmentsOfSameEntity,,0.000,0.000,,,,,
SalesRevenueNet,746822000.000,631607000.000,617211000.000,670314000.000,,,,
ShareBasedCompensation,2355000.000,,,,,-1000000.000,,
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,-1000.000,,,,,,,
StockIssuedDuringPeriodValueStockOptionsExercised,841000.000,,,,,,,
StockholdersEquityOther,,,,,,1000000.000,,
TaxesExcludingIncomeAndExciseTaxes,15470000.000,12657000.000,12845000.000,13394000.000,,,,
UnrealizedGainLossOnDerivatives,-14744000.000,300000.000,5100000.000,9294000.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,125548000.000,125875000.000,126668000.000,-251808000.000,,,,
WeightedAverageNumberOfSharesOutstandingBasic,124658000.000,124712000.000,124744000.000,-249394000.000,,,,
