,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AmortizationOfIntangibleAssets,,,1231.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-343908.000,,,,-610176.000,
ComprehensiveIncomeNetOfTax,2276216.000,1859022.000,1791670.000,1603152.000,2061102.000,1371724.000,184164.000,1173934.000
CostOfGoodsSoldDepreciation,,,,423676.000,422362.000,,210540.000,441914.000
CostOfRevenue,10552294.000,8364288.000,9655740.000,10257861.000,9999108.000,5394737.000,4574689.000,4187517.000
Depreciation,,,440307.000,449400.000,448006.000,468289.000,462771.000,473292.000
DepreciationDepletionAndAmortization,,,,,,,464009.000,
DepreciationNonproduction,57586.000,58342.000,25808.000,25724.000,25644.000,156240.000,,
EarningsPerShareBasic,0.040,0.030,0.040,0.040,0.030,,0.010,0.010
EarningsPerShareDiluted,0.040,0.030,0.040,0.040,0.030,,0.010,0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,,-4476.000,,,,-39516.000,
EffectiveIncomeTaxRateContinuingOperations,,,,0.267,0.267,,0.404,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.340,0.340,,0.340,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,0.017,0.017,,0.227,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,-0.090,-0.090,,-0.150,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,,-0.013,
EntityWideRevenueMajorCustomerPercentage,,,,0.620,0.620,,,
GrossProfit,2948578.000,2632928.000,2925952.000,2936673.000,2700188.000,2067555.000,1389256.000,1299793.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,,,2727759.000,2480614.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2691182.000,2141966.000,2489299.000,2553771.000,2315274.000,1542204.000,654512.000,882936.000
IncomeTaxExpenseBenefit,709742.000,614304.000,682218.000,682294.000,617359.000,465429.000,264559.000,260414.000
IncomeTaxesPaid,,,589467.000,,,,461021.000,
IncreaseDecreaseInAccountsPayable,,,-841890.000,,,,-198306.000,
IncreaseDecreaseInAccountsReceivable,,,1074448.000,,,,-895816.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,182751.000,,,,-578795.000,
IncreaseDecreaseInAccruedLiabilities,,,47231.000,,,,14832.000,
IncreaseDecreaseInInventories,,,143372.000,,,,-704049.000,
