,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,-286000.000,-311000.000,-130000.000,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,145000.000,146000.000,148000.000,,,,,
AssetManagementCosts,,563000.000,790000.000,988000.000,,,,,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,-15840000.000,,,,5298000.000,,,,8241000.000,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,2540000.000,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,6697000.000,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,4157000.000,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,8810000.000,-34000.000,-845000.000,323000.000,4271000.000,,,
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,554400000.000,,743600000.000,0.000,288572000.000,-3323000.000,430852000.000,0.000,71057000.000,58346000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,48600000.000,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,42000.000,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,6697000.000,,,,,,,
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,,,,,,,,,,4271000.000,-3000.000,797000.000,41000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-8256000.000,,,,-8980000.000,,,,-10377000.000,,,
CommonStockDividendsPerShareCashPaid,0.000,0.690,0.690,0.690,,0.450,0.450,0.450,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,,,,0.360,0.270,0.270,
ComprehensiveIncomeNetOfTax,-60.000,-4864000.000,-39224000.000,3601000.000,-1828000.000,-5375000.000,5555000.000,-1134000.000,-9059000.000,-2215000.000,3798000.000,-9978000.000,-4052000.000
DerivativeGainLossOnDerivativeNet,,2494000.000,,,,,,,,,,,
DividendsCommonStock,,5175000.000,,,,5397000.000,,,,4315000.000,,,
DividendsCommonStockCash,,5175000.000,7935000.000,9315000.000,,5397000.000,5398000.000,5400000.000,,,,,
EarningsPerShareBasic,,,3.560,-2.760,,,,,,,,,
EarningsPerShareBasicAndDiluted,-1.200,1.460,3.560,-2.760,-6.150,-0.160,-0.730,0.550,-1.470,-0.520,1.440,-1.390,0.450
EarningsPerShareBasicDistributed,,1.460,,,,,,,,,,,
GainLossOnDerivativeInstrumentsNetPretax,,2494000.000,41192000.000,-2404000.000,13671000.000,-23135000.000,-18800000.000,-1838000.000,-23684000.000,-17896000.000,11651000.000,-19628000.000,3176000.000
GainLossOnSaleOfDerivatives,,,-1989000.000,-2673000.000,,-3106000.000,-3097000.000,-3131000.000,-3252000.000,-2263000.000,-1104000.000,-703000.000,-1863000.000
GeneralInsuranceExpense,,56000.000,56000.000,57000.000,111000.000,110000.000,111000.000,112000.000,101000.000,99000.000,99000.000,101000.000,86000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-60.000,10978000.000,38237000.000,-37217000.000,-55770000.000,-1863000.000,-8776000.000,6572000.000,-17692000.000,,,,
IncomeTaxExpenseBenefit,0.000,2000.000,,,,0.000,0.000,0.000,0.000,,,,
IncomeTaxReconciliationNondeductibleExpenseAmortization,,,,,,628000.000,,,,,,,
IncomeTaxReconciliationOtherAdjustments,,1726000.000,-8359000.000,,,,,,,,,,
IncreaseDecreaseCashCollateralFromCounterparties,,,,,,,,,,-10934000.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,27000.000,,,,-1037000.000,,,,-599000.000,,,
IncreaseDecreaseInAccruedInterestReceivableNet,,-46000.000,,,,1001000.000,,,,-470000.000,,,
IncreaseDecreaseInDerivativeAssetsAndLiabilities,,,,,,,,,,-12716000.000,,,
IncreaseDecreaseInDerivativeLiabilities,,-2494000.000,,,,21192000.000,,,,,,,
IncreaseDecreaseInInterestPayableNet,,-108000.000,,,,67000.000,,,,-134000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,153000.000,,,,-50000.000,,,,-78000.000,,,
IncreaseDecreaseInRestrictedCash,,,,,,19223000.000,,,,,,,
InterestAndDividendIncomeSecurities,,,,,,,,,,8001000.000,8193000.000,8015000.000,7636000.000
InterestAndDividendIncomeSecuritiesAvailableForSale,,,,,,,8031000.000,7246000.000,,5304000.000,5172000.000,4626000.000,4365000.000
InterestAndDividendIncomeSecuritiesTradingOrMeasuredAtFairValue,,,,,,,2410000.000,2478000.000,,2697000.000,3021000.000,3389000.000,3271000.000
InterestExpense,0.000,,1924000.000,2001000.000,,1448000.000,1769000.000,1698000.000,1720000.000,1430000.000,1530000.000,1749000.000,1748000.000
InterestExpenseOtherShortTermBorrowings,,,915000.000,170000.000,,372000.000,161000.000,229000.000,,,,,
InterestIncomeExpenseNet,0.000,7277000.000,9244000.000,9938000.000,9265000.000,9305000.000,8672000.000,8026000.000,7685000.000,6571000.000,6663000.000,6266000.000,5888000.000
InterestIncomeOperating,0.000,9004000.000,11168000.000,11939000.000,10945000.000,10753000.000,10441000.000,9724000.000,,,,,
InterestIncomeOther,,1860000.000,1832000.000,2105000.000,2178000.000,2308000.000,,,,,,,
InterestIncomeSecuritiesTaxable,,5808000.000,,,,,,,,,,,
InterestIncomeSecuritiesUSTreasuryAndOtherUSGovernment,,7144000.000,9336000.000,9834000.000,8767000.000,8445000.000,,,,,,,
InterestPaidNet,,1808000.000,,,,6361000.000,,,,7674000.000,,,
LaborAndRelatedExpense,,84000.000,67000.000,67000.000,74000.000,125000.000,233000.000,179000.000,178000.000,179000.000,179000.000,179000.000,164000.000
ManagementFeeExpense,,,,,,912000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,-32063000.000,,,,430991000.000,,,,-141018000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-32063000.000,,,,430991000.000,,,,-141018000.000,,,
NetCashProvidedByUsedInInvestingActivities,,16388000.000,,,,-443206000.000,,,,130072000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,16388000.000,,,,-443206000.000,,,,130072000.000,,,
NetCashProvidedByUsedInOperatingActivities,,7419000.000,,,,3235000.000,,,,569000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,7419000.000,,,,3235000.000,,,,569000.000,,,
NetIncomeLoss,-60.000,10976000.000,38237000.000,-37217000.000,-55770000.000,-1863000.000,-8776000.000,6572000.000,-17692000.000,-6185000.000,17229000.000,-16528000.000,5194000.000
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,2210000.000,-5635000.000,735000.000,1713000.000,,,,,,,,
NonoperatingIncomeExpense,,4704000.000,30163000.000,-45761000.000,-63172000.000,-9065000.000,-15596000.000,33000.000,,,,,
OperatingExpenses,60.000,1003000.000,1170000.000,1394000.000,1863000.000,2103000.000,1852000.000,1487000.000,1691000.000,1737000.000,1751000.000,1836000.000,1769000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,0.000,-15840000.000,-77461000.000,40818000.000,53942000.000,-3512000.000,14331000.000,-7706000.000,8633000.000,3970000.000,-13431000.000,6550000.000,-9246000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,0.000,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,,,,-48554000.000,,8810000.000,-34000.000,-845000.000,323000.000,4271000.000,-3000.000,797000.000,41000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,0.000,-15840000.000,-77461000.000,-7736000.000,-22827000.000,5298000.000,14297000.000,-8551000.000,8956000.000,8241000.000,-13434000.000,7347000.000,-9205000.000
OtherExpenses,60.000,106000.000,119000.000,143000.000,150000.000,214000.000,171000.000,146000.000,171000.000,199000.000,241000.000,247000.000,256000.000
PaymentsOfDividends,,,7900000.000,9300000.000,,,,,,,,,
PaymentsOfDividendsCommonStock,,5175000.000,,,,5397000.000,5398000.000,5400000.000,5405000.000,4315000.000,3227000.000,,
PaymentsToAcquireAvailableForSaleSecurities,,,,,,826539000.000,,,,,,,
PaymentsToAcquireAvailableForSaleSecuritiesDebt,,,,,,,,,,128908000.000,,,
PaymentsToAcquireMarketableSecurities,,9757000.000,,,,1250000.000,,,,,,,
PaymentsToAcquireTradingSecuritiesHeldforinvestment,,9757000.000,23518000.000,3056000.000,,,,,,34596000.000,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,1000.000,,,
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,,,,,,,,,21055000.000,,,
ProceedsFromMaturitiesRepaymentsAndCallsOfTradingSecuritiesHeldforinvestment,,,,,,,,,,3734000.000,,,
ProceedsFromPaymentsForInSecuritiesSoldUnderAgreementsToRepurchase,,1609523000.000,,,,2150972000.000,,,,,,,
ProceedsFromPaymentsForTradingSecurities,,,,,,,-16735000.000,,,,,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,,4875000.000,,,,3400000.000,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecurities,,,,,,,,,,279721000.000,,,
ProfessionalFees,,194000.000,138000.000,139000.000,554000.000,742000.000,422000.000,136000.000,324000.000,359000.000,332000.000,410000.000,417000.000
RelatedPartyTransactionAmountsOfTransaction,,115000.000,,,,,,,,,,,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,11000.000,27000.000,38000.000,,,915000.000,914000.000,,901000.000,900000.000,899000.000,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,600000.000,800000.000,1000000000.000,,,,,,,,,
RepurchaseAgreementsInterestExpenseAmount,,1727000.000,,,,,,,,,,,
ShareBasedCompensation,,,,,,45000.000,,,,44000.000,,,
StockIssuedDuringPeriodValueDividendReinvestmentPlan,,,,,,,,,,1000.000,,,
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,,45000.000,,,,44000.000,,,
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount,,,,,,1493000.000,,,,,,,
TradingSecuritiesRealizedGainLoss,,,-5635000.000,734000.000,,833000.000,288000.000,1571000.000,-2133000.000,2606000.000,669000.000,-2127000.000,-2142000.000
UnrealizedGainLossOnDerivatives,,-3444000.000,43181000.000,269000.000,-45881000.000,-20029000.000,-15703000.000,1293000.000,-20432000.000,-15633000.000,12755000.000,-18925000.000,5039000.000
UnrealizedGainOnSecurities,,2210000.000,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,50.000,7500000.000,10731000.000,13500000.000,-20474000.000,11993000.000,11996000.000,11999000.000,-23988000.000,11985000.000,11956000.000,11917000.000,-23915000.000
