,2011-06-30,2011-09-30,2012-03-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,24000.000,37000.000,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalOther,,,,300000.000,,,,,,,,0.000,0.000,0.000,,,,,,
AmortizationOfDebtDiscountPremium,,,,100000.000,100000.000,0.000,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,1300000.000,,,,600000.000,,,,700000.000,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,2806000.000,1539000.000,1397000.000,1400000.000,700000.000,600000.000,600000.000,600000.000,800000.000,1000000.000,700000.000,700000.000,800000.000,700000.000,600000.000,900000.000,,,,800000.000
AmortizationOfIntangibleAssets,,,,100000.000,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,5400000.000,4700000.000,3400000.000,-9100000.000,4700000.000,6100000.000,6200000.000,-11900000.000,6400000.000,7800000.000,5900000.000,-12900000.000,7100000.000,4600000.000,3500000.000,-12500000.000,2100000.000
AssetImpairmentCharges,,,,,-100000.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,-3087000.000,2903000.000,974000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,11800000.000,,,,10800000.000,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,0.000,0.000,,,0.000,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,3200000.000,,,,-5200000.000,2600000.000,4800000.000,-100000.000,-1000000.000,1600000.000,-6900000.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-68200000.000,-75400000.000,-46600000.000,23000000.000,12900000.000,-23000000.000,,,,-29800000.000
ComprehensiveIncomeNetOfTax,30745000.000,12527000.000,14166000.000,-13000000.000,20300000.000,28500000.000,35900000.000,34600000.000,25200000.000,-10400000.000,-11400000.000,-82600000.000,8300000.000,-100000.000,15900000.000,-2200000.000,1400000.000,11500000.000,400000.000,11800000.000
ConcentrationRiskPercentage1,,,,,0.270,0.270,,0.270,0.230,0.210,-0.490,0.210,0.190,0.190,-0.400,0.190,0.190,0.190,-0.390,0.180
CostOfRevenue,,,,154400000.000,169700000.000,178700000.000,175400000.000,171000000.000,171700000.000,164200000.000,159500000.000,153500000.000,163400000.000,168900000.000,170400000.000,162800000.000,173500000.000,170800000.000,288500000.000,187300000.000
CostsAndExpenses,275695000.000,281622000.000,282164000.000,296200000.000,322600000.000,334900000.000,342800000.000,337900000.000,351300000.000,341700000.000,352600000.000,328900000.000,374500000.000,352000000.000,363100000.000,335300000.000,367500000.000,356900000.000,482300000.000,364000000.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,3800000.000,,,,,,,,,,
DebtInstrumentDecreaseRepayments,,,,813100000.000,,,,,,,,,,,,,,,,
DebtInstrumentIncreaseAdditionalBorrowings,,,,850000000.000,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,-7000.000,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanBenefitsPaid,,,,0.000,0.000,,,,,,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,2000000.000,,,,,,,,,,,
DefinedBenefitPlanPurchasesSalesAndSettlements,,,,,,,,,,,,,31300000.000,,,,,,,
DefinedContributionPlanCostRecognized,,,,900000.000,1100000.000,900000.000,,,,,,,,,,,,,,
Depreciation,,,,11700000.000,12200000.000,12500000.000,13600000.000,,,,,,,,,,,,,
DepreciationAndAmortization,,,,,,,,,,,,,,,,21100000.000,20500000.000,18600000.000,19700000.000,18300000.000
DifferenceBetweenReportedAmountAndReportingCurrencyDenominatedAmountValue,,,,-1600000.000,400000.000,1600000.000,500000.000,,,,,,,,,,,,,
DividendsCommonStockCash,,,,,0.000,0.000,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EarningsPerShareBasic,,0.030,0.140,-0.180,0.270,0.310,0.330,0.540,0.400,-0.050,0.210,-1.160,-0.200,0.080,0.040,-0.070,0.050,0.160,0.120,0.140
EarningsPerShareBasicAndDiluted,-1.370,,,,,,,,,,,,,,,,,,,
