,2011-10-31,2012-01-31,2013-01-31,2013-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,1380.000,39215.000,12100.000,0.000
AdditionalPaidInCapital,4007517.000,4007517.000,4171590.000,4245840.000
AssetRetirementObligation,,,0.000,0.000
Assets,53998.000,46862.000,91095.000,25894.000
AssetsCurrent,,,49295.000,25894.000
Cash,,,,25894.000
CashAndCashEquivalentsAtCarryingValue,12198.000,5062.000,34295.000,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,10658.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,600000000.000,600000000.000,600000000.000,600000000.000
CommonStockSharesIssued,21346932.000,21346932.000,59873858.000,60623858.000
CommonStockSharesOutstanding,21346932.000,21346932.000,59873858.000,60623858.000
CommonStockValue,21347.000,21347.000,59874.000,60624.000
DeferredTaxAssetsNet,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,1334000.000,1378000.000
DeferredTaxAssetsValuationAllowance,,,1334000.000,1378000.000
DepositsAssetsNoncurrent,41800.000,41800.000,41800.000,0.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-4027337.000,-4072843.000,4206221.000,4336447.000
EnvironmentalCostsRecognizedCapitalized,,,0.000,0.000
InterestPayableCurrent,1091.000,1626.000,3752.000,5877.000
LiabilitiesAndStockholdersEquity,53998.000,46862.000,91095.000,25894.000
LiabilitiesCurrent,52471.000,90841.000,65852.000,55877.000
LoansPayableCurrent,50000.000,50000.000,50000.000,50000.000
OperatingLossCarryforwards,,,3923713.000,4050197.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,,0.000
PrepaidExpenseCurrent,,,15000.000,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,8900000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,500.000,500.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,500.000,500.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,6.000,6.000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,0.000
StockholdersEquity,1527.000,-43979.000,25243.000,-29983.000
