,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,,-2202000.000,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,3451000.000,,,,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,1087000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,4856000.000,,,,6530000.000,,
AllowanceForDoubtfulAccountsReceivableChargeOffs,,,,,,,10000000.000
AmortizationOfDebtDiscountPremium,2841000.000,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,2085000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,4835.000,76645.000,,25000.000,86760.000,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,1875000.000,595000.000,228000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,,1876000.000,646000.000,236000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,1000.000,51000.000,8000.000
BenefitsLossesAndExpenses,1427138000.000,1457990000.000,1528137000.000,1595283000.000,1715460000.000,2175269000.000,2396155000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,0.670,0.670
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,0.630,0.630
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,31917000.000,32143000.000
BusinessAcquisitionsProFormaRevenue,,,,,,2327573000.000,2446332000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-161996000.000,,,,,,
ComprehensiveIncomeNetOfTax,,50249000.000,48001000.000,,35073000.000,32041000.000,37597000.000
DeferredIncomeTaxExpenseBenefit,227000.000,,,,-1070000.000,,
DepreciationAndAmortization,9090000.000,9332000.000,9322000.000,9625000.000,10900000.000,12290000.000,13916000.000
EarningsPerShareBasic,1.460,0.910,1.010,0.720,0.700,0.680,0.660
EarningsPerShareDiluted,1.370,0.830,0.960,0.660,0.640,0.630,0.620
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,3315000.000,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings,,0.000,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncome,,-47000.000,-178000.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,,0.000,,,,,
GainLossOnSaleOfPropertyPlantEquipment,-159000.000,,,,-51000.000,,
GainsLossesOnExtinguishmentOfDebt,,,2000.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,112777000.000,69444000.000,76514000.000,51111000.000,52736000.000,51924000.000,57462000.000
IncomeTaxEffectsAllocatedDirectlyToEquityEmployeeStockOptions,2725000.000,,,,-3315000.000,,
IncomeTaxExpenseBenefit,42300000.000,25150000.000,28440000.000,18335000.000,19650000.000,19900000.000,25730000.000
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,,,,-22250000.000,,
IncreaseDecreaseInDeferredRevenue,-2836000.000,,,,77912000.000,,
IncreaseDecreaseInHealthCareInsuranceLiabilities,29092000.000,,,,44939000.000,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,5917000.000,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,-3601000.000,,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,975000.000,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,-1970000.000,,
IncreaseDecreaseInOtherOperatingAssets,1296000.000,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,-1471000.000,,,,,,
IncreaseDecreaseInPremiumsReceivable,27112000.000,,,,124047000.000,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,1161100.000,,,1231132.000,914700.000,1948229.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,1764664.000,1400337.000,,1409770.000,1245492.000,1498680.000
InterestAndOtherIncome,,4001000.000,4149000.000,,7391000.000,7955000.000,7285000.000
InterestExpense,4179000.000,4170000.000,4194000.000,8007000.000,12065000.000,10651000.000,9064000.000
LeaseAndRentalExpense,,,4611000.000,,,,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaid,,,,,1456214000.000,,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidCurrentYear,,,,,1056691000.000,,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidPriorYears,,,,,399523000.000,,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaims,,,,,1501153000.000,,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaimsCurrentYear,,,,,1576070000.000,,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaimsPriorYears,,,,,-74917000.000,,
NetCashProvidedByUsedInContinuingOperations,,,,,93651000.000,,
NetCashProvidedByUsedInFinancingActivities,19265000.000,,,,104148000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,19265000.000,,,,104148000.000,,
NetCashProvidedByUsedInInvestingActivities,-264783000.000,,,,-41491000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-264783000.000,,,,-41491000.000,,
NetCashProvidedByUsedInOperatingActivities,83522000.000,,,,30994000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,83522000.000,,,,30994000.000,,
NetIncomeLoss,70477000.000,44294000.000,48074000.000,32776000.000,33086000.000,32024000.000,31732000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentBeforeTaxPeriodIncreaseDecrease,,,,,3662000.000,30000.000,
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,,,,,1987000.000,17000.000,
OtherComprehensiveIncomeAvailableForSaleSecuritiesTax,,,,,-1675000.000,-13000.000,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,,,,,9405000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,5865000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,,,,,,,3540000.000
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,,0.000,0.000,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,9546000.000,-118000.000,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-600000.000,5955000.000,-73000.000,6033000.000,,,
PaymentsForRepurchaseOfCommonStock,24792000.000,,,,,,
PaymentsOfDebtIssuanceCosts,,,,,1061000.000,,
PaymentsToAcquireAvailableForSaleSecurities,449244000.000,,,,286981000.000,,
PaymentsToAcquireOtherInvestments,,,,,13478000.000,,
PaymentsToAcquireProductiveAssets,10890000.000,,,,13062000.000,,
PolicyholderBenefitsAndClaimsIncurredHealthCare,1256962000.000,1281760000.000,1342648000.000,1390889000.000,1501153000.000,1929098000.000,2131911000.000
PremiumsEarnedNet,1535795000.000,1523433000.000,1600502000.000,1641695000.000,1760805000.000,2219238000.000,2446332000.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,15175000.000,,,,9278000.000,,
ProceedsFromIssuanceOfUnsecuredDebt,,,,,77813000.000,,
